# # n, sigma
3.000000000000000000e+01 1.728759659323974684e+00 1.420217741164636338e-01
6.000000000000000000e+01 1.752456665822876181e+00 6.937435412863114659e-02
9.000000000000000000e+01 3.965917680145800706e+00 1.800835157747359416e-01
1.200000000000000000e+02 3.953708034978301811e+00 1.036331880040787939e-01
1.500000000000000000e+02 2.355193573488256309e+00 7.799756203097239771e-02
1.800000000000000000e+02 2.423158083181212508e+00 6.640803907448171450e-02
2.100000000000000000e+02 2.425765172707794015e+00 6.523403666814070467e-02
2.400000000000000000e+02 1.702134909215143876e+00 2.725308325158934952e-01
2.700000000000000000e+02 1.698055519817211367e+00 2.876620464575838643e-01
3.000000000000000000e+02 2.437631598177592007e+00 5.103169158155852758e-02
3.300000000000000000e+02 2.455679872989266599e+00 4.793521648754747039e-02
3.600000000000000000e+02 2.465860999739803106e+00 4.291146644959800693e-02
3.900000000000000000e+02 2.457814984295275451e+00 3.715412656060829155e-02
4.200000000000000000e+02 2.452607433869508302e+00 3.821991044501825419e-02
4.500000000000000000e+02 2.459953336764444831e+00 3.588784534518906638e-02
4.800000000000000000e+02 2.464678099812025458e+00 3.198339048354783415e-02
5.100000000000000000e+02 2.470419106736333248e+00 2.860611401761994216e-02
5.400000000000000000e+02 2.476819593142701059e+00 2.739836910347679191e-02
5.700000000000000000e+02 2.486093685723058666e+00 2.690713245584709645e-02
6.000000000000000000e+02 2.481247617477249978e+00 2.777161616380799739e-02
6.300000000000000000e+02 2.479183156212157346e+00 3.002233717855957995e-02
6.600000000000000000e+02 2.492730599624182197e+00 3.180470011068136510e-02
6.900000000000000000e+02 2.496611381719105793e+00 3.125140468702043706e-02
7.200000000000000000e+02 2.495922893453693003e+00 3.220881702677869107e-02
7.500000000000000000e+02 2.499318094429483494e+00 3.024822007009377381e-02
7.800000000000000000e+02 2.499960080733619083e+00 3.001394323371031972e-02
8.100000000000000000e+02 2.510380334598990792e+00 2.943861508344917249e-02
8.400000000000000000e+02 2.519890874775831957e+00 2.930728571896128176e-02
8.700000000000000000e+02 2.529064536089434156e+00 2.987925538397426944e-02
9.000000000000000000e+02 2.526597616398620350e+00 2.667354530459577211e-02
9.300000000000000000e+02 2.523419578574273014e+00 2.550151842392029550e-02
9.600000000000000000e+02 2.540629586554303820e+00 2.402084996211582835e-02
9.900000000000000000e+02 2.543785289538918803e+00 2.357223973943153167e-02
1.020000000000000000e+03 2.542002993240215059e+00 2.258397073498017230e-02
1.050000000000000000e+03 2.540868107438980950e+00 2.367251332772684486e-02
1.080000000000000000e+03 2.537689829379383699e+00 2.284747347409392393e-02
1.110000000000000000e+03 2.540700067850956145e+00 2.278453650034116193e-02
1.140000000000000000e+03 2.542418630891700726e+00 2.257989267948027484e-02
1.170000000000000000e+03 2.548411818861966438e+00 2.127214727400136146e-02
1.200000000000000000e+03 2.543520270134429939e+00 2.250341741458420503e-02
1.230000000000000000e+03 2.537290219454196638e+00 2.236043149837454308e-02
1.260000000000000000e+03 2.531892817907337001e+00 2.373697812448017849e-02
1.290000000000000000e+03 2.530659114649668417e+00 2.372334513971181835e-02
1.320000000000000000e+03 2.538967503302679507e+00 2.385539307526748920e-02
1.350000000000000000e+03 2.538763208122679860e+00 2.264750089256741331e-02
1.380000000000000000e+03 2.541212420981020070e+00 2.243892972484410817e-02
1.410000000000000000e+03 2.541472028643885661e+00 2.213767926873041678e-02
1.440000000000000000e+03 2.543013058977336982e+00 2.226835602830535416e-02
1.470000000000000000e+03 2.546546403536640746e+00 2.239230451322953702e-02
1.500000000000000000e+03 2.543026267906885796e+00 2.202058506531863816e-02
1.530000000000000000e+03 2.546744189937504732e+00 2.175488110302327416e-02
1.560000000000000000e+03 2.541734972139977344e+00 2.230076215889530838e-02
1.590000000000000000e+03 2.538702335831528600e+00 2.126761080181383337e-02
1.620000000000000000e+03 2.540754824368336440e+00 1.989337354961090432e-02
1.650000000000000000e+03 2.541734538553801936e+00 1.848339513445435706e-02
1.680000000000000000e+03 2.545304192441039781e+00 1.778700371770653918e-02
1.710000000000000000e+03 2.546133097646627874e+00 1.715651954210443628e-02
1.740000000000000000e+03 2.544711077496676577e+00 1.751403892967486747e-02
1.770000000000000000e+03 2.542859687052119178e+00 1.678494088398645862e-02
1.800000000000000000e+03 2.540509074727764549e+00 1.731916238284681234e-02
1.830000000000000000e+03 2.537951222271047413e+00 1.738292993942160483e-02
1.860000000000000000e+03 2.536472678751136911e+00 1.739837655146177914e-02
1.890000000000000000e+03 2.531182555624665209e+00 1.799636882321516487e-02
1.920000000000000000e+03 2.531211211699327279e+00 1.744354079507365665e-02
1.950000000000000000e+03 2.532515748450633097e+00 1.685174467266250392e-02
1.980000000000000000e+03 2.532423001415303077e+00 1.631869999115307529e-02
2.010000000000000000e+03 2.528126313342802689e+00 1.667834489671420409e-02
2.040000000000000000e+03 2.529974846123858701e+00 1.650376125296677127e-02
2.070000000000000000e+03 2.526893172610305438e+00 1.623404098942636542e-02
2.100000000000000000e+03 2.522983355954633300e+00 1.558943796832432810e-02
2.130000000000000000e+03 2.525610133717135941e+00 1.519092288730722155e-02
2.160000000000000000e+03 2.523750149299159862e+00 1.526107081421864721e-02
2.190000000000000000e+03 2.525657847480120122e+00 1.506239739411502528e-02
2.220000000000000000e+03 2.525010508353662253e+00 1.494556328957275665e-02
2.250000000000000000e+03 2.522616756317856090e+00 1.532341165891713125e-02
2.280000000000000000e+03 2.522788977495684204e+00 1.459958675184899399e-02
2.310000000000000000e+03 2.524103880584445569e+00 1.474424609007785741e-02
2.340000000000000000e+03 2.525563170949590042e+00 1.487254489475601377e-02
2.370000000000000000e+03 2.525261200027248965e+00 1.532449245428010517e-02
2.400000000000000000e+03 2.521699317891822112e+00 1.495406718233247001e-02
2.430000000000000000e+03 2.520101858126843286e+00 1.503761280834412482e-02
2.460000000000000000e+03 2.519027845156090351e+00 1.512481560856009273e-02
2.490000000000000000e+03 2.515440826369648164e+00 1.553741703668646244e-02
2.520000000000000000e+03 2.515172060253516584e+00 1.616553684028031179e-02
2.550000000000000000e+03 2.514127493804477531e+00 1.586312125958198177e-02
2.580000000000000000e+03 2.516019833887082058e+00 1.598835683642590294e-02
2.610000000000000000e+03 2.514454700633554474e+00 1.598869507591627395e-02
2.640000000000000000e+03 2.516538292899803242e+00 1.561745516271713895e-02
2.670000000000000000e+03 2.518108522223644563e+00 1.643429844633104847e-02
2.700000000000000000e+03 2.517887918235019562e+00 1.626341433137566683e-02
2.730000000000000000e+03 2.518594941005706467e+00 1.614574663124085721e-02
2.760000000000000000e+03 2.519445535523676227e+00 1.548015615915163297e-02
2.790000000000000000e+03 2.520303065487283778e+00 1.530981146236670871e-02
2.820000000000000000e+03 2.518387652924784614e+00 1.545120739299931344e-02
2.850000000000000000e+03 2.518447938078853365e+00 1.569470521415370148e-02
2.880000000000000000e+03 2.516828839056373557e+00 1.587139528348906897e-02
2.910000000000000000e+03 2.518000901808599146e+00 1.576510568623374492e-02
2.940000000000000000e+03 2.517298971353708392e+00 1.575407375686955699e-02
2.970000000000000000e+03 2.517151180979910308e+00 1.593890425360993540e-02
3.000000000000000000e+03 2.517914044979798316e+00 1.600688786343104283e-02
3.030000000000000000e+03 2.514617655114932848e+00 1.570257731588852942e-02
3.060000000000000000e+03 2.513304232651609738e+00 1.504425509416756901e-02
3.090000000000000000e+03 2.513381604167616246e+00 1.524787934763296646e-02
3.120000000000000000e+03 2.514868073142090932e+00 1.473827106328138084e-02
3.150000000000000000e+03 2.518244960381552211e+00 1.504939967903340045e-02
3.180000000000000000e+03 2.516375136577853500e+00 1.547888191339669151e-02
3.210000000000000000e+03 2.514237861617134584e+00 1.552641640286068006e-02
3.240000000000000000e+03 2.512975295907688977e+00 1.496835548524918375e-02
3.270000000000000000e+03 2.510979560334985816e+00 1.497319342164757199e-02
3.300000000000000000e+03 2.508860815076472850e+00 1.456649493248995085e-02
3.330000000000000000e+03 2.510827379906837020e+00 1.425846070509238957e-02
3.360000000000000000e+03 2.507960533952676929e+00 1.409594242096750584e-02
3.390000000000000000e+03 2.507230472121241949e+00 1.388732298149746719e-02
3.420000000000000000e+03 2.506500611905225995e+00 1.367042556376605981e-02
3.450000000000000000e+03 2.507102818556333546e+00 1.343617290368707452e-02
3.480000000000000000e+03 2.505639107443387026e+00 1.364506417663098950e-02
3.510000000000000000e+03 2.506275923733813471e+00 1.310599432680332500e-02
3.540000000000000000e+03 2.503248090089220668e+00 1.277623652941176080e-02
3.570000000000000000e+03 2.503603895194407070e+00 1.240985879112177850e-02
3.600000000000000000e+03 2.505497820115906826e+00 1.240893364105424834e-02
3.630000000000000000e+03 2.503767254171389123e+00 1.242755724001528596e-02
3.660000000000000000e+03 2.501962175543115396e+00 1.202636686814384168e-02
3.690000000000000000e+03 2.503431211872960471e+00 1.146688172874109866e-02
3.720000000000000000e+03 2.501154761739540877e+00 1.102560161325435474e-02
3.750000000000000000e+03 2.500698361769265965e+00 1.109785082656929329e-02
3.780000000000000000e+03 2.501721856577234782e+00 1.108915940065717531e-02
3.810000000000000000e+03 2.502892157805779227e+00 1.123187528559172789e-02
3.840000000000000000e+03 2.503313865342342570e+00 1.106721481739974047e-02
3.870000000000000000e+03 2.502932404305733716e+00 1.092429540852437285e-02
3.900000000000000000e+03 2.502570972829506690e+00 1.075735527077087590e-02
3.930000000000000000e+03 2.503471255664468931e+00 1.047942570157864295e-02
3.960000000000000000e+03 2.504161779118112996e+00 1.034020114066371010e-02
3.990000000000000000e+03 2.504422135996977161e+00 9.955379097346001363e-03
4.020000000000000000e+03 2.503532045717008270e+00 1.006640681051406382e-02
4.050000000000000000e+03 2.502143921215947309e+00 9.951314911343612721e-03
4.080000000000000000e+03 2.502906064859549584e+00 9.884626071857006979e-03
4.110000000000000000e+03 2.503567763144714409e+00 1.015907656032843595e-02
4.140000000000000000e+03 2.502691767602538864e+00 1.019321434009483156e-02
4.170000000000000000e+03 2.502408297856907105e+00 1.037132847336549868e-02
4.200000000000000000e+03 2.501998413172406011e+00 1.036853484061646402e-02
4.230000000000000000e+03 2.500757049602232662e+00 1.076121711725392012e-02
4.260000000000000000e+03 2.500403261591749970e+00 1.091003825378649393e-02
4.290000000000000000e+03 2.500321768173852544e+00 1.088033268955583728e-02
4.320000000000000000e+03 2.499596118531145716e+00 1.122952847085667040e-02
4.350000000000000000e+03 2.499287048922560039e+00 1.116239255608809586e-02
4.380000000000000000e+03 2.499795899333263627e+00 1.116667540633094549e-02
4.410000000000000000e+03 2.498360440466012911e+00 1.112838405650544253e-02
4.440000000000000000e+03 2.498779248643451467e+00 1.098708261542894957e-02
4.470000000000000000e+03 2.499245596861159768e+00 1.086866778061399558e-02
4.500000000000000000e+03 2.499440370694890667e+00 1.094270525756791887e-02
4.530000000000000000e+03 2.498657486456771437e+00 1.079469497274093345e-02
4.560000000000000000e+03 2.500627063447568244e+00 1.065237822775410431e-02
4.590000000000000000e+03 2.499756523805026553e+00 1.051864832363782511e-02
4.620000000000000000e+03 2.500479039080250487e+00 1.071074316650059630e-02
4.650000000000000000e+03 2.500441276923263789e+00 1.095217217333823052e-02
4.680000000000000000e+03 2.499408279192902871e+00 1.073102934398620888e-02
4.710000000000000000e+03 2.499179559769217018e+00 1.073663742666769276e-02
4.740000000000000000e+03 2.499558417784730313e+00 1.072554968936940273e-02
4.770000000000000000e+03 2.499273301602804587e+00 1.075514223641246651e-02
4.800000000000000000e+03 2.499788878481777221e+00 1.068524211723508553e-02
4.830000000000000000e+03 2.501012388686473908e+00 1.067647294060240608e-02
4.860000000000000000e+03 2.501083728922565808e+00 1.067237795111694240e-02
4.890000000000000000e+03 2.501595576965459866e+00 1.053203332697468485e-02
4.920000000000000000e+03 2.501294766281479731e+00 1.049612022450971752e-02
4.950000000000000000e+03 2.500682080415224995e+00 1.053063060704990776e-02
4.980000000000000000e+03 2.500658370263284525e+00 1.076494882322890506e-02
5.010000000000000000e+03 2.501063203826035419e+00 1.082332341109971952e-02
5.040000000000000000e+03 2.500467456188912863e+00 1.055308440743388081e-02
5.070000000000000000e+03 2.500379028759693423e+00 1.075864151508674864e-02
5.100000000000000000e+03 2.501558742497461907e+00 1.078874928234543895e-02
5.130000000000000000e+03 2.503043436402794697e+00 1.100145314587861432e-02
5.160000000000000000e+03 2.502649707581451111e+00 1.123306992349089317e-02
5.190000000000000000e+03 2.503922732735197609e+00 1.128315908376122112e-02
5.220000000000000000e+03 2.503475640881820841e+00 1.133745152991917117e-02
5.250000000000000000e+03 2.503452847369264322e+00 1.137752435570899001e-02
5.280000000000000000e+03 2.505530283355804411e+00 1.154105555227064733e-02
5.310000000000000000e+03 2.504903489779648051e+00 1.155758416888701817e-02
5.340000000000000000e+03 2.504625670608354504e+00 1.162338357016431088e-02
5.370000000000000000e+03 2.503239079806048650e+00 1.162918078757609920e-02
5.400000000000000000e+03 2.503239684263798281e+00 1.151358897827625336e-02
5.430000000000000000e+03 2.503527718782194267e+00 1.166257985742883384e-02
5.460000000000000000e+03 2.503736101357651567e+00 1.173639165328983769e-02
5.490000000000000000e+03 2.502298399700659814e+00 1.180824838339918081e-02
5.520000000000000000e+03 2.503277886816856590e+00 1.195982687861702615e-02
5.550000000000000000e+03 2.503419438298740474e+00 1.192514846875060083e-02
5.580000000000000000e+03 2.504106316376519814e+00 1.176720947864187510e-02
5.610000000000000000e+03 2.501872939800193762e+00 1.200562889247664203e-02
5.640000000000000000e+03 2.501428439881491439e+00 1.160512169672425244e-02
5.670000000000000000e+03 2.500298689858758472e+00 1.151804829174381435e-02
5.700000000000000000e+03 2.501605428183669044e+00 1.174013310053771166e-02
5.730000000000000000e+03 2.503169961370282692e+00 1.180786864438236605e-02
5.760000000000000000e+03 2.503656400327026521e+00 1.184222604765859839e-02
5.790000000000000000e+03 2.503891344882702263e+00 1.189468732248241678e-02
5.820000000000000000e+03 2.504633548695396783e+00 1.192268976506458134e-02
5.850000000000000000e+03 2.504505365872939926e+00 1.164219083966421160e-02
5.880000000000000000e+03 2.505031338288656872e+00 1.171850254689838292e-02
5.910000000000000000e+03 2.505793439884974383e+00 1.169042970731508542e-02
5.940000000000000000e+03 2.506517145622865428e+00 1.167534626559647327e-02
5.970000000000000000e+03 2.504890273143504764e+00 1.166189295484536086e-02
6.000000000000000000e+03 2.505326839179097931e+00 1.187937693309230359e-02
6.030000000000000000e+03 2.505656645113222059e+00 1.167779403168684241e-02
6.060000000000000000e+03 2.504680726701733029e+00 1.158933237558309320e-02
6.090000000000000000e+03 2.504823495945512235e+00 1.150907138860600941e-02
6.120000000000000000e+03 2.505665252212059713e+00 1.137414464328344831e-02
6.150000000000000000e+03 2.506026125023161910e+00 1.128232555068356402e-02
6.180000000000000000e+03 2.506302788065851050e+00 1.145238312355547142e-02
6.210000000000000000e+03 2.505720147485321903e+00 1.138230267551069985e-02
6.240000000000000000e+03 2.505478959119554538e+00 1.130627447268082834e-02
6.270000000000000000e+03 2.504992000279187003e+00 1.120368058708434873e-02
6.300000000000000000e+03 2.504054493862935882e+00 1.122589379443042837e-02
6.330000000000000000e+03 2.504299025599012296e+00 1.132305326130095442e-02
6.360000000000000000e+03 2.505692237964349811e+00 1.131361164698346453e-02
6.390000000000000000e+03 2.505677931459152852e+00 1.145225585646260716e-02
6.420000000000000000e+03 2.505616623993976777e+00 1.129202927609861649e-02
6.450000000000000000e+03 2.506387809530080446e+00 1.131566478997979124e-02
6.480000000000000000e+03 2.506695019632740440e+00 1.110001683857909059e-02
6.510000000000000000e+03 2.506510126128741245e+00 1.120829817839921055e-02
6.540000000000000000e+03 2.507137613994860015e+00 1.121745029232884550e-02
6.570000000000000000e+03 2.507557463560112332e+00 1.102430252791799549e-02
6.600000000000000000e+03 2.507288250269928742e+00 1.101947541589315925e-02
6.630000000000000000e+03 2.507762790341410142e+00 1.108330076728256293e-02
6.660000000000000000e+03 2.506972518690651519e+00 1.077712200307629799e-02
6.690000000000000000e+03 2.505377991063147292e+00 1.085421539154075680e-02
6.720000000000000000e+03 2.505561932285283788e+00 1.086768935599374472e-02
6.750000000000000000e+03 2.504798421194929681e+00 1.074699096064996202e-02
6.780000000000000000e+03 2.505095389705105369e+00 1.059552171419869682e-02
6.810000000000000000e+03 2.505091768586077627e+00 1.043683125081864942e-02
6.840000000000000000e+03 2.505438811207700400e+00 1.041102293034284337e-02
6.870000000000000000e+03 2.505600064268225236e+00 1.038721448243521556e-02
6.900000000000000000e+03 2.505865614812242459e+00 1.015411892939847328e-02
6.930000000000000000e+03 2.505578044550555994e+00 1.000612918589065779e-02
6.960000000000000000e+03 2.504959810858332858e+00 9.907779513566129098e-03
6.990000000000000000e+03 2.505495117229148860e+00 9.810808228774087203e-03
7.020000000000000000e+03 2.505976032102276374e+00 9.836499507744502976e-03
7.050000000000000000e+03 2.506875598932972515e+00 9.910956248075556904e-03
7.080000000000000000e+03 2.505418698849712023e+00 9.941554542151160787e-03
7.110000000000000000e+03 2.505408210958684823e+00 9.880088264138404269e-03
7.140000000000000000e+03 2.504996969522455874e+00 9.580146177000748581e-03
7.170000000000000000e+03 2.503389757997228848e+00 9.669242565369906908e-03
7.200000000000000000e+03 2.503117368913919005e+00 9.646918078729374568e-03
7.230000000000000000e+03 2.503164738958896240e+00 9.794191113579193628e-03
7.260000000000000000e+03 2.503858375591859087e+00 9.779757920029375634e-03
7.290000000000000000e+03 2.503530137295764124e+00 9.655056326340798536e-03
7.320000000000000000e+03 2.503816333133884520e+00 9.619978647708174804e-03
7.350000000000000000e+03 2.504100869378795391e+00 9.588633565215564508e-03
7.380000000000000000e+03 2.502412103448556469e+00 9.579906628652417461e-03
7.410000000000000000e+03 2.502644811710857287e+00 9.410430858705156471e-03
7.440000000000000000e+03 2.501294682948385084e+00 9.391736552219970627e-03
7.470000000000000000e+03 2.502205297978517873e+00 9.365417642274047327e-03
7.500000000000000000e+03 2.501544301021540573e+00 9.349233330232473507e-03
7.530000000000000000e+03 2.501851260792833820e+00 9.374945447151400088e-03
7.560000000000000000e+03 2.501361087126727334e+00 9.427478921185115587e-03
7.590000000000000000e+03 2.501819187236527409e+00 9.341602485279983797e-03
7.620000000000000000e+03 2.502776944322824715e+00 9.233574266395087882e-03
7.650000000000000000e+03 2.503724962324067160e+00 9.230215776273068343e-03
7.680000000000000000e+03 2.502870767815755570e+00 9.121935794178300666e-03
7.710000000000000000e+03 2.503338938842920136e+00 9.174223266728476558e-03
7.740000000000000000e+03 2.503112510321592765e+00 9.080140289607579671e-03
7.770000000000000000e+03 2.503111776951653766e+00 9.045319353760286271e-03
7.800000000000000000e+03 2.503457478384599533e+00 8.989961416905242406e-03
7.830000000000000000e+03 2.503400310379353400e+00 8.841944994844100347e-03
7.860000000000000000e+03 2.503976693300634437e+00 8.810569626849637168e-03
7.890000000000000000e+03 2.504341829561335775e+00 8.795961329252250174e-03
7.920000000000000000e+03 2.504349906685867655e+00 8.752266471840205661e-03
7.950000000000000000e+03 2.504430856496574265e+00 8.552485622206834961e-03
7.980000000000000000e+03 2.504431243452305722e+00 8.557278658328086249e-03
8.010000000000000000e+03 2.505834061787064471e+00 8.575525098481771857e-03
8.040000000000000000e+03 2.505823409121499701e+00 8.515630962197430834e-03
8.070000000000000000e+03 2.506360808717124300e+00 8.518859928639391232e-03
8.100000000000000000e+03 2.506354144447062282e+00 8.425607368092041111e-03
8.130000000000000000e+03 2.505966147737880512e+00 8.358526059718138224e-03
8.160000000000000000e+03 2.505848364558897590e+00 8.164896852025847057e-03
8.190000000000000000e+03 2.505473170876841849e+00 8.233631033894175597e-03
8.220000000000000000e+03 2.505234556002022384e+00 8.304179567874660564e-03
8.250000000000000000e+03 2.504155414817931469e+00 8.362015818709069709e-03
8.280000000000000000e+03 2.503492715740423424e+00 8.290056205403791706e-03
8.310000000000000000e+03 2.503339313795142740e+00 8.151489707789479414e-03
8.340000000000000000e+03 2.503314652509204929e+00 8.296189539612194158e-03
8.370000000000000000e+03 2.502212304407580135e+00 8.347937787322533276e-03
8.400000000000000000e+03 2.501298304231537983e+00 8.190105356078778917e-03
8.430000000000000000e+03 2.502179087431424698e+00 8.199279858223929712e-03
8.460000000000000000e+03 2.501962386265109028e+00 8.155453173917638979e-03
8.490000000000000000e+03 2.501740836892087039e+00 8.012168752762404561e-03
8.520000000000000000e+03 2.502382131851652147e+00 8.059330127382181158e-03
8.550000000000000000e+03 2.502543372507586739e+00 8.118688649903289811e-03
8.580000000000000000e+03 2.503156155502336055e+00 8.098543213131359497e-03
8.610000000000000000e+03 2.503021647787075032e+00 8.060151363717562786e-03
8.640000000000000000e+03 2.503267341219378661e+00 8.048333257452766967e-03
8.670000000000000000e+03 2.502488401854952471e+00 8.022462740635985870e-03
8.700000000000000000e+03 2.502137181330668980e+00 8.164515795111947430e-03
8.730000000000000000e+03 2.502617477239625909e+00 8.094886773824357812e-03
8.760000000000000000e+03 2.502624603920481139e+00 8.026185909130465271e-03
8.790000000000000000e+03 2.502762802889850313e+00 7.967113445852783138e-03
8.820000000000000000e+03 2.502211552090042090e+00 8.007064819901359848e-03
8.850000000000000000e+03 2.500672548286044350e+00 7.992260715641122046e-03
8.880000000000000000e+03 2.500570774445987521e+00 8.001604020777305926e-03
8.910000000000000000e+03 2.500534591725664058e+00 8.115458954891760154e-03
8.940000000000000000e+03 2.500669387679850253e+00 8.132038267456806122e-03
8.970000000000000000e+03 2.500910946279236491e+00 8.086436803606412982e-03
9.000000000000000000e+03 2.501096198934323667e+00 8.192090422033782016e-03
9.030000000000000000e+03 2.501806623721540390e+00 8.184270296786196747e-03
9.060000000000000000e+03 2.501998784644394735e+00 8.053233654288321358e-03
9.090000000000000000e+03 2.502092702051391004e+00 8.072538162560540312e-03
9.120000000000000000e+03 2.501392601770399349e+00 8.178333690892311547e-03
9.150000000000000000e+03 2.501951995224755532e+00 8.441342608460826111e-03
9.180000000000000000e+03 2.501732619594529528e+00 8.470948019901163029e-03
9.210000000000000000e+03 2.501783967837080347e+00 8.509280599566616116e-03
9.240000000000000000e+03 2.502157911037821147e+00 8.280727532573362026e-03
9.270000000000000000e+03 2.501921434795891575e+00 8.215043171621088866e-03
9.300000000000000000e+03 2.501687768291984693e+00 8.153412749694284589e-03
9.330000000000000000e+03 2.502628987313881836e+00 8.164102078127120563e-03
9.360000000000000000e+03 2.502588151417281193e+00 8.112126304312629668e-03
9.390000000000000000e+03 2.502422373027588076e+00 8.119762005430795557e-03
9.420000000000000000e+03 2.501265068747510867e+00 8.147685648133534686e-03
9.450000000000000000e+03 2.500918725434606138e+00 8.154993129843256944e-03
9.480000000000000000e+03 2.501364210317671422e+00 8.225418674501459859e-03
9.510000000000000000e+03 2.501596643579777179e+00 8.269864052781999292e-03
9.540000000000000000e+03 2.502030012485619626e+00 8.278847981270421458e-03
9.570000000000000000e+03 2.502844355238043494e+00 8.398230371830409796e-03
9.600000000000000000e+03 2.502104482084521297e+00 8.443761972237855476e-03
9.630000000000000000e+03 2.502461228936365689e+00 8.607881735906279877e-03
9.660000000000000000e+03 2.501714972460891140e+00 8.411156905115547977e-03
9.690000000000000000e+03 2.502186141667391617e+00 8.364068754422675916e-03
9.720000000000000000e+03 2.502668086172116446e+00 8.209669903039200009e-03
9.750000000000000000e+03 2.502711317792701173e+00 8.104903476439828669e-03
9.780000000000000000e+03 2.501593796052125729e+00 8.118171102100531569e-03
9.810000000000000000e+03 2.501794373602121091e+00 8.107049489250612098e-03
