# # n, sigma
3.000000000000000000e+01 3.521928700404152401e+00 1.104662708446047942e-01
6.000000000000000000e+01 3.526819684674994182e+00 5.507608882650971011e-02
9.000000000000000000e+01 3.546538088320904780e+00 1.457843892413387965e-01
1.200000000000000000e+02 3.598669165315103946e+00 2.598955188774654257e-01
1.500000000000000000e+02 2.488934614945863100e+00 7.765133869595322591e-02
1.800000000000000000e+02 2.393546700861628018e+00 6.897182617810299066e-02
2.100000000000000000e+02 2.499092038695605034e+00 5.503271226644367020e-02
2.400000000000000000e+02 2.505967325243991795e+00 4.905850498181377195e-02
2.700000000000000000e+02 2.486741557437668337e+00 4.752677850929929587e-02
3.000000000000000000e+02 2.477891953440626516e+00 4.507319539041346884e-02
3.300000000000000000e+02 2.465969396689688065e+00 4.290770527625867997e-02
3.600000000000000000e+02 2.453545279750886987e+00 4.237679519995155020e-02
3.900000000000000000e+02 2.420760627218629946e+00 4.438262552155158858e-02
4.200000000000000000e+02 2.404978230014191531e+00 4.436389770973790669e-02
4.500000000000000000e+02 2.406142883723294101e+00 4.520977974349948969e-02
4.800000000000000000e+02 2.418090186929502838e+00 4.464488779285959857e-02
5.100000000000000000e+02 2.472003815967869222e+00 4.058152592002547965e-02
5.400000000000000000e+02 2.488546201777047884e+00 4.094663275210716491e-02
5.700000000000000000e+02 2.506627816152051214e+00 4.352937663116811240e-02
6.000000000000000000e+02 2.512437487147708204e+00 3.986313693932185681e-02
6.300000000000000000e+02 2.506703710048014955e+00 3.858323717981617523e-02
6.600000000000000000e+02 2.510481555308689661e+00 3.483776277083139306e-02
6.900000000000000000e+02 2.493847323485663736e+00 3.481816225312416718e-02
7.200000000000000000e+02 2.498347630298086042e+00 3.481742953583713551e-02
7.500000000000000000e+02 2.515565988020719956e+00 3.494501050581108603e-02
7.800000000000000000e+02 2.518303764493694974e+00 3.327658610494692998e-02
8.100000000000000000e+02 2.523170288613176826e+00 3.091719325275399041e-02
8.400000000000000000e+02 2.527547133126683221e+00 3.099738845117963951e-02
8.700000000000000000e+02 2.517491126781550292e+00 3.075809202869714612e-02
9.000000000000000000e+02 2.524441375883473171e+00 3.063117390464936349e-02
9.300000000000000000e+02 2.530508831966233441e+00 2.943026224711358524e-02
9.600000000000000000e+02 2.533659187340330021e+00 2.846508667527365005e-02
9.900000000000000000e+02 2.540276642630028725e+00 2.884473799239907141e-02
1.020000000000000000e+03 2.544207310175775394e+00 2.895026593376517562e-02
1.050000000000000000e+03 2.535765903858937520e+00 2.869461601983976096e-02
1.080000000000000000e+03 2.544037567077489292e+00 2.767229547086749730e-02
1.110000000000000000e+03 2.543154516753959093e+00 2.681993280144730554e-02
1.140000000000000000e+03 2.537706351550217843e+00 2.741183979612034013e-02
1.170000000000000000e+03 2.536092397309764213e+00 2.722448190845053878e-02
1.200000000000000000e+03 2.538113195366699326e+00 2.567764432431852983e-02
1.230000000000000000e+03 2.536514187148870114e+00 2.564677328523657859e-02
1.260000000000000000e+03 2.534148870026570410e+00 2.449301834771502179e-02
1.290000000000000000e+03 2.526709684314096371e+00 2.443871565029557061e-02
1.320000000000000000e+03 2.532004835526229680e+00 2.323597639510867341e-02
1.350000000000000000e+03 2.525888793058826742e+00 2.114379905075623733e-02
1.380000000000000000e+03 2.521331475557943680e+00 2.131561383347748556e-02
1.410000000000000000e+03 2.518290051561812959e+00 2.121096798571543013e-02
1.440000000000000000e+03 2.516149280366033025e+00 2.104906121916067310e-02
1.470000000000000000e+03 2.512906564309073776e+00 2.069848400487386136e-02
1.500000000000000000e+03 2.506554575102063698e+00 2.015036925259999084e-02
1.530000000000000000e+03 2.509470719506361469e+00 2.006505057894112862e-02
1.560000000000000000e+03 2.510154932789199211e+00 1.904794174154116407e-02
1.590000000000000000e+03 2.508839644632738342e+00 1.990769559348824769e-02
1.620000000000000000e+03 2.512186357510547197e+00 2.009419697057823403e-02
1.650000000000000000e+03 2.509403787266537567e+00 1.904220093006534290e-02
1.680000000000000000e+03 2.507045989953043730e+00 1.895039141337045985e-02
1.710000000000000000e+03 2.508360838409698701e+00 1.929966422640281426e-02
1.740000000000000000e+03 2.501583685976338511e+00 1.853871730118744274e-02
1.770000000000000000e+03 2.503302407865858559e+00 1.799886281158848828e-02
1.800000000000000000e+03 2.498836345628683731e+00 1.796509396691872706e-02
1.830000000000000000e+03 2.499463808763296768e+00 1.794611165589835716e-02
1.860000000000000000e+03 2.494124858884889218e+00 1.847125640420594142e-02
1.890000000000000000e+03 2.495456680785220538e+00 1.842642218690698774e-02
1.920000000000000000e+03 2.493673409280730446e+00 1.847287896497698187e-02
1.950000000000000000e+03 2.494083078389048858e+00 1.830100185269739610e-02
1.980000000000000000e+03 2.499185710911278502e+00 1.733599900823682913e-02
