# # n, sigma
3.000000000000000000e+01 1.819918619621111677e+00 8.572383914019197915e-02
6.000000000000000000e+01 2.360588109741639684e+00 6.213432166685885216e-02
9.000000000000000000e+01 1.640292178883634655e+00 9.856370480267855061e-02
1.200000000000000000e+02 2.401977765343819016e+00 7.783398028464705298e-02
1.500000000000000000e+02 2.430852491951701833e+00 7.324878955276613313e-02
1.800000000000000000e+02 2.427722408501674423e+00 5.429811549021073408e-02
2.100000000000000000e+02 2.437967628472927917e+00 5.019772733885665555e-02
2.400000000000000000e+02 2.434226237511378343e+00 4.187580927148981669e-02
2.700000000000000000e+02 2.428968956425430203e+00 4.863155541613115723e-02
3.000000000000000000e+02 2.455689999487185471e+00 5.232480435298256238e-02
3.300000000000000000e+02 2.432579059121743104e+00 5.176948710710192053e-02
3.600000000000000000e+02 2.458927707122250617e+00 4.540951893186352673e-02
3.900000000000000000e+02 2.479492616603553579e+00 4.310909022262546242e-02
4.200000000000000000e+02 2.476465705049964772e+00 4.131818387022695438e-02
4.500000000000000000e+02 2.476659796974986172e+00 3.690365401257957034e-02
4.800000000000000000e+02 2.476643261186133760e+00 3.132470646120059932e-02
5.100000000000000000e+02 2.462827146696001890e+00 3.127315012087208967e-02
5.400000000000000000e+02 2.465711235989028527e+00 2.833423849675554412e-02
5.700000000000000000e+02 2.468458945465341614e+00 2.572823793628844016e-02
6.000000000000000000e+02 2.476413647749290181e+00 2.598029710807374729e-02
6.300000000000000000e+02 2.480422870607465136e+00 2.527112880519364127e-02
6.600000000000000000e+02 2.480126946294856527e+00 2.674390867456174353e-02
6.900000000000000000e+02 2.483576762167245544e+00 2.721136945021241163e-02
7.200000000000000000e+02 2.495941431329053106e+00 2.527647824188702583e-02
7.500000000000000000e+02 2.500746372224114111e+00 2.482791327527961861e-02
7.800000000000000000e+02 2.510198766588235042e+00 2.364568380187020979e-02
8.100000000000000000e+02 2.511853908938715296e+00 2.393232763214573483e-02
8.400000000000000000e+02 2.513074501998947774e+00 2.560834397383246822e-02
8.700000000000000000e+02 2.504440247964807575e+00 2.672082418589742658e-02
9.000000000000000000e+02 2.516655661218349493e+00 2.618705756271664728e-02
9.300000000000000000e+02 2.514317165970928691e+00 2.508475770819934905e-02
9.600000000000000000e+02 2.519492089217578723e+00 2.518990923272720547e-02
9.900000000000000000e+02 2.523683317634652035e+00 2.401314094977331781e-02
1.020000000000000000e+03 2.529522808691662572e+00 2.383288340575611883e-02
1.050000000000000000e+03 2.533284917706112083e+00 2.229231298332217531e-02
1.080000000000000000e+03 2.525755079367601574e+00 2.190868101376707705e-02
1.110000000000000000e+03 2.519209690182470318e+00 2.313590194194661137e-02
1.140000000000000000e+03 2.518070632644551221e+00 2.440958513602690949e-02
1.170000000000000000e+03 2.521608502933238238e+00 2.615984294636630042e-02
1.200000000000000000e+03 2.516589379937508753e+00 2.474984015421832426e-02
1.230000000000000000e+03 2.517250950809077903e+00 2.267156165854953068e-02
1.260000000000000000e+03 2.522509281913855261e+00 2.255615282035603950e-02
1.290000000000000000e+03 2.520535975311905208e+00 2.209390575258124087e-02
1.320000000000000000e+03 2.517680336533967722e+00 2.249238336272806407e-02
1.350000000000000000e+03 2.515603529803375871e+00 2.106932064125674811e-02
1.380000000000000000e+03 2.515256484425021810e+00 1.989417722396531404e-02
1.410000000000000000e+03 2.516691625319371184e+00 2.038204761635361434e-02
1.440000000000000000e+03 2.519057626056284249e+00 2.041804907470989514e-02
1.470000000000000000e+03 2.518216773823281684e+00 1.972561503551722648e-02
1.500000000000000000e+03 2.513537196013787334e+00 1.998660400273248247e-02
1.530000000000000000e+03 2.510144931148158065e+00 1.980941866659359507e-02
1.560000000000000000e+03 2.512813175546877886e+00 1.905688278194880500e-02
1.590000000000000000e+03 2.520044330302229518e+00 1.843884874604975743e-02
1.620000000000000000e+03 2.518132300782849331e+00 1.922520220201416954e-02
