# # n, sigma
3.000000000000000000e+01 2.326612635746278634e+00 1.158036274253643749e-01
6.000000000000000000e+01 2.326501845736736129e+00 5.611461949306022212e-02
9.000000000000000000e+01 2.517184501709837097e+00 7.859308254692012885e-02
1.200000000000000000e+02 2.298952544884877991e+00 6.088188161527242903e-02
1.500000000000000000e+02 2.552230428448283295e+00 5.855163783802046218e-02
1.800000000000000000e+02 2.545378353099107649e+00 4.381126588777847081e-02
2.100000000000000000e+02 2.533237409622940195e+00 4.219743579446130072e-02
2.400000000000000000e+02 2.533016791088718911e+00 4.463514143068463003e-02
2.700000000000000000e+02 2.522825532045951835e+00 4.139528896317231504e-02
3.000000000000000000e+02 2.532459622771191743e+00 4.053269399586834076e-02
3.300000000000000000e+02 2.537611078529659281e+00 3.936674472835553773e-02
3.600000000000000000e+02 2.539062388222765865e+00 3.709707518435081258e-02
3.900000000000000000e+02 2.537439023443044395e+00 3.350244026290495614e-02
4.200000000000000000e+02 2.542112157131882544e+00 3.541864570126264378e-02
4.500000000000000000e+02 2.542855474330051990e+00 3.651482855092122448e-02
4.800000000000000000e+02 2.536193151087019260e+00 4.139138245564301377e-02
5.100000000000000000e+02 2.540309833912186122e+00 4.162747849945507006e-02
5.400000000000000000e+02 2.525460793802508430e+00 4.291751510554382698e-02
5.700000000000000000e+02 2.508364328992221282e+00 3.870973528852915402e-02
6.000000000000000000e+02 2.505152690668640769e+00 3.744865581866725635e-02
6.300000000000000000e+02 2.511233665402976989e+00 3.974183934663108597e-02
6.600000000000000000e+02 2.528373425818022380e+00 4.203954977429792683e-02
6.900000000000000000e+02 2.512484453150652719e+00 3.809089394998745742e-02
7.200000000000000000e+02 2.504546138378267450e+00 3.875219859911593207e-02
7.500000000000000000e+02 2.493181107696517795e+00 3.751215238481602626e-02
7.800000000000000000e+02 2.493444921874882869e+00 3.479782024474346175e-02
8.100000000000000000e+02 2.493973194006036564e+00 3.411923375850722112e-02
8.400000000000000000e+02 2.499286309742288825e+00 3.411512976290693999e-02
8.700000000000000000e+02 2.486153714806837556e+00 3.397669597577061829e-02
9.000000000000000000e+02 2.481426952113889861e+00 3.277487562470665639e-02
9.300000000000000000e+02 2.480970188917082986e+00 3.173850124040526050e-02
9.600000000000000000e+02 2.475688278642374840e+00 3.186175009427529708e-02
9.900000000000000000e+02 2.473519108130013411e+00 2.916106922499939538e-02
1.020000000000000000e+03 2.473386864037039334e+00 2.936165527776724710e-02
1.050000000000000000e+03 2.463809998715358773e+00 2.660519772236656297e-02
1.080000000000000000e+03 2.461506229836485815e+00 2.536757652468023261e-02
1.110000000000000000e+03 2.471556896302085082e+00 2.516012728135649107e-02
1.140000000000000000e+03 2.479969815790241228e+00 2.356458433611105519e-02
1.170000000000000000e+03 2.475913782334758118e+00 2.347139273533699333e-02
1.200000000000000000e+03 2.488216474853023552e+00 2.222269046516515620e-02
1.230000000000000000e+03 2.495167554338654003e+00 2.074740767138567865e-02
1.260000000000000000e+03 2.496607292596236150e+00 1.955934501075129450e-02
1.290000000000000000e+03 2.494652637798669303e+00 1.924821673270241118e-02
1.320000000000000000e+03 2.495028053288826708e+00 1.868420567657042008e-02
1.350000000000000000e+03 2.495848825741041388e+00 1.843606018799033575e-02
1.380000000000000000e+03 2.493071938475283300e+00 1.908909995717083044e-02
1.410000000000000000e+03 2.493126361911921052e+00 1.840876982777974596e-02
1.440000000000000000e+03 2.489858248228648652e+00 1.766567424883062204e-02
1.470000000000000000e+03 2.489070610210361245e+00 1.825868197082609196e-02
1.500000000000000000e+03 2.494076360385082403e+00 1.857322157748324265e-02
1.530000000000000000e+03 2.501341049066436728e+00 1.862871696473323083e-02
1.560000000000000000e+03 2.501578027347099553e+00 1.836601902813092546e-02
1.590000000000000000e+03 2.499511923456559703e+00 1.879480793510242623e-02
1.620000000000000000e+03 2.498092546597765029e+00 1.780829654388669386e-02
1.650000000000000000e+03 2.501479309801453166e+00 1.691863941023456080e-02
1.680000000000000000e+03 2.500710836694968631e+00 1.627257568092844997e-02
1.710000000000000000e+03 2.503721429236362539e+00 1.644542170737987516e-02
1.740000000000000000e+03 2.503340108762221128e+00 1.619954783183881822e-02
1.770000000000000000e+03 2.503636458689070476e+00 1.616567410004304470e-02
1.800000000000000000e+03 2.505062285945789835e+00 1.507651893777069152e-02
1.830000000000000000e+03 2.505375931220923391e+00 1.519791481942033180e-02
1.860000000000000000e+03 2.510451703540122370e+00 1.490625573342838420e-02
1.890000000000000000e+03 2.509011469296510644e+00 1.540359249558614398e-02
1.920000000000000000e+03 2.509994540809397101e+00 1.520733607544215091e-02
1.950000000000000000e+03 2.512544557447200066e+00 1.497406864933610235e-02
1.980000000000000000e+03 2.512092111923956761e+00 1.537321696005185603e-02
2.010000000000000000e+03 2.514349163036317059e+00 1.554709967525472018e-02
2.040000000000000000e+03 2.514641857840654193e+00 1.590434960397152028e-02
2.070000000000000000e+03 2.513854565680500475e+00 1.548348303793270139e-02
2.100000000000000000e+03 2.515802356090998781e+00 1.493517559134798986e-02
2.130000000000000000e+03 2.519241791865001634e+00 1.460178210122277387e-02
2.160000000000000000e+03 2.516784960372604019e+00 1.365383546249664300e-02
2.190000000000000000e+03 2.517574335671024510e+00 1.366800408875185578e-02
2.220000000000000000e+03 2.516140689716024337e+00 1.389711421893937739e-02
2.250000000000000000e+03 2.514589874187241669e+00 1.324542323680885127e-02
2.280000000000000000e+03 2.515273906036491258e+00 1.347845984750875060e-02
2.310000000000000000e+03 2.514859779576692933e+00 1.358508088880908821e-02
2.340000000000000000e+03 2.515731159266854089e+00 1.382060774358455542e-02
2.370000000000000000e+03 2.517764222369793803e+00 1.336560718132057471e-02
2.400000000000000000e+03 2.519826050762239866e+00 1.327874226170126792e-02
2.430000000000000000e+03 2.518496061192233793e+00 1.339293739897301494e-02
2.460000000000000000e+03 2.515451345867928623e+00 1.309676898533374337e-02
2.490000000000000000e+03 2.514609663696344644e+00 1.276476973273030745e-02
2.520000000000000000e+03 2.514910919641008658e+00 1.307048310535540055e-02
2.550000000000000000e+03 2.514553851094811332e+00 1.316316298623240733e-02
2.580000000000000000e+03 2.515772973289459369e+00 1.343839774834892746e-02
2.610000000000000000e+03 2.514853410068651929e+00 1.365574258237136837e-02
2.640000000000000000e+03 2.512755302013346181e+00 1.338367196773544363e-02
2.670000000000000000e+03 2.512397195720621923e+00 1.367770978612869136e-02
2.700000000000000000e+03 2.512272795253459368e+00 1.372807145963143675e-02
2.730000000000000000e+03 2.512607177493809463e+00 1.400151330443911296e-02
2.760000000000000000e+03 2.514491368882949995e+00 1.440111164505190021e-02
2.790000000000000000e+03 2.514821901325549280e+00 1.395573448209230100e-02
2.820000000000000000e+03 2.515490924384106375e+00 1.391185763481935130e-02
2.850000000000000000e+03 2.514632060039274641e+00 1.421087196917359373e-02
2.880000000000000000e+03 2.513957342207212786e+00 1.437771693708291866e-02
2.910000000000000000e+03 2.514156807491336298e+00 1.440984487581201470e-02
2.940000000000000000e+03 2.516662303930453870e+00 1.453377995501648270e-02
2.970000000000000000e+03 2.517602252466094814e+00 1.437124304758891080e-02
3.000000000000000000e+03 2.516536175762174032e+00 1.490561710506779769e-02
3.030000000000000000e+03 2.517327165252117194e+00 1.492120794447794954e-02
3.060000000000000000e+03 2.515608784603702741e+00 1.441131968669392797e-02
3.090000000000000000e+03 2.514881921466305403e+00 1.420324379292463822e-02
3.120000000000000000e+03 2.513136166735855159e+00 1.430620046692408602e-02
3.150000000000000000e+03 2.513271815749317017e+00 1.400474850187173430e-02
3.180000000000000000e+03 2.513144399006034035e+00 1.415719586567931905e-02
3.210000000000000000e+03 2.514048462466136336e+00 1.424903361965735790e-02
3.240000000000000000e+03 2.511608708396952494e+00 1.429868854895914067e-02
3.270000000000000000e+03 2.512295432999032574e+00 1.426167001291299766e-02
3.300000000000000000e+03 2.513411626442239477e+00 1.434238074041605318e-02
3.330000000000000000e+03 2.513839201188885042e+00 1.424027778188412773e-02
