# # n, sigma
3.000000000000000000e+01 4.269576908639575841e+00 2.547850596117404165e-01
6.000000000000000000e+01 2.590524885144239509e+00 9.052651536396620624e-02
9.000000000000000000e+01 2.531695673795352430e+00 7.702734029391170023e-02
1.200000000000000000e+02 2.528756336225323587e+00 7.065707258805414837e-02
1.500000000000000000e+02 2.520516400010665681e+00 5.871178402296883814e-02
1.800000000000000000e+02 2.510737834831612059e+00 5.124293684346459266e-02
2.100000000000000000e+02 2.515393499395500942e+00 4.898014162601047744e-02
2.400000000000000000e+02 2.526832965980251533e+00 5.286547791731519008e-02
2.700000000000000000e+02 2.511682701101933368e+00 5.325984401551596414e-02
3.000000000000000000e+02 2.485581420437211086e+00 4.805341650922981961e-02
3.300000000000000000e+02 2.508132104801489515e+00 4.185256873600867039e-02
3.600000000000000000e+02 2.519183209820219371e+00 4.088477530266560606e-02
3.900000000000000000e+02 2.522097757063586965e+00 3.758691663925822768e-02
4.200000000000000000e+02 2.527535794929917756e+00 3.781512361045672593e-02
4.500000000000000000e+02 2.522103134555254034e+00 3.437142756473095945e-02
4.800000000000000000e+02 2.522417867594600072e+00 3.102681806447969010e-02
5.100000000000000000e+02 2.515475788590631812e+00 2.844030138932847687e-02
5.400000000000000000e+02 2.504983586176426247e+00 2.824029774474458646e-02
5.700000000000000000e+02 2.507433353330640990e+00 3.111770222018916260e-02
6.000000000000000000e+02 2.510088165737193400e+00 3.073714515620244378e-02
6.300000000000000000e+02 2.509865959806632851e+00 2.998388741842215183e-02
6.600000000000000000e+02 2.512354891161780124e+00 3.210275641440929473e-02
6.900000000000000000e+02 2.507590108114298832e+00 3.039759247661484587e-02
7.200000000000000000e+02 2.514397371074254650e+00 3.269849577551554171e-02
7.500000000000000000e+02 2.521436354593981743e+00 3.052553465342169522e-02
7.800000000000000000e+02 2.521276369592269972e+00 3.080978562544746391e-02
8.100000000000000000e+02 2.516230398163799453e+00 3.328802529652086228e-02
8.400000000000000000e+02 2.517447473152813586e+00 3.110448027980433280e-02
8.700000000000000000e+02 2.512508636941142015e+00 2.850555468732106704e-02
9.000000000000000000e+02 2.513219228572780573e+00 2.789363797259528793e-02
9.300000000000000000e+02 2.510951797019749687e+00 2.563726096951204902e-02
9.600000000000000000e+02 2.513717549718318622e+00 2.513142940933078134e-02
9.900000000000000000e+02 2.518494200095204860e+00 2.534938526956748150e-02
1.020000000000000000e+03 2.519549454193742211e+00 2.419552801751305438e-02
1.050000000000000000e+03 2.515652905301919873e+00 2.366349924719024500e-02
1.080000000000000000e+03 2.510789902167870569e+00 2.362620732373187787e-02
1.110000000000000000e+03 2.510134060265288181e+00 2.184663714335166596e-02
1.140000000000000000e+03 2.513214545031382752e+00 2.112486447403002718e-02
