# # n, sigma
3.000000000000000000e+01 2.939134726180353763e+00 2.368613308537828865e-01
6.000000000000000000e+01 2.919681563426551829e+00 1.565131267037420948e-01
9.000000000000000000e+01 4.382725397658279398e+00 5.023815489320006655e+00
1.200000000000000000e+02 2.506662470624053007e+00 9.035375316482599506e-02
1.500000000000000000e+02 2.502770718111532400e+00 6.612063736689779980e-02
1.800000000000000000e+02 2.535724489759602296e+00 6.512066760301064849e-02
2.100000000000000000e+02 2.506843745133498391e+00 5.511006737490790203e-02
2.400000000000000000e+02 2.502358723019076692e+00 6.186541852853525564e-02
2.700000000000000000e+02 2.506711649220429106e+00 6.526227829608431674e-02
3.000000000000000000e+02 3.433466930477508949e+00 1.027873037807415790e-01
3.300000000000000000e+02 2.513526545096292697e+00 5.271001745365105906e-02
3.600000000000000000e+02 2.521109915022745174e+00 4.722593213129330086e-02
3.900000000000000000e+02 2.536537601304480027e+00 4.221467653007797416e-02
4.200000000000000000e+02 2.526928246018727009e+00 4.028008798674876517e-02
4.500000000000000000e+02 2.519620152738706764e+00 4.237063334859569180e-02
4.800000000000000000e+02 2.513983843976631327e+00 3.815030334107742671e-02
5.100000000000000000e+02 2.512356779811958152e+00 3.769268762759922509e-02
5.400000000000000000e+02 2.506576829133458695e+00 3.757748563847300438e-02
5.700000000000000000e+02 2.507280147031615058e+00 3.674922904794268586e-02
6.000000000000000000e+02 2.511123303177793087e+00 3.714641012367275730e-02
6.300000000000000000e+02 2.510340014271396303e+00 3.476960799665333723e-02
6.600000000000000000e+02 2.504938430746546985e+00 3.104919541489023493e-02
6.900000000000000000e+02 2.496884698247535450e+00 2.875004584996715754e-02
7.200000000000000000e+02 2.500692003118356599e+00 3.037388692116626751e-02
7.500000000000000000e+02 2.509663393007017351e+00 3.057790105782489179e-02
7.800000000000000000e+02 2.509026471064756958e+00 3.146779424381002110e-02
8.100000000000000000e+02 2.517456627463797947e+00 3.048970705432383146e-02
8.400000000000000000e+02 2.522567550002934755e+00 2.991613006725634891e-02
8.700000000000000000e+02 2.519575619740866301e+00 2.871526770648954313e-02
9.000000000000000000e+02 2.524825676456662560e+00 2.744284265301710421e-02
9.300000000000000000e+02 2.523012875348551454e+00 2.728904451235297096e-02
9.600000000000000000e+02 2.528821888020513331e+00 2.711919220512770679e-02
9.900000000000000000e+02 2.532063230802349629e+00 2.625454187928872446e-02
1.020000000000000000e+03 2.531384624362590152e+00 2.623978394816515666e-02
1.050000000000000000e+03 2.534419737678692552e+00 2.588531797275182150e-02
1.080000000000000000e+03 2.531905916959325431e+00 2.530795939256485008e-02
1.110000000000000000e+03 2.532649886600550904e+00 2.587106173314922611e-02
1.140000000000000000e+03 2.534883607325264077e+00 2.558982690168567706e-02
1.170000000000000000e+03 2.535278815398901653e+00 2.489228638149341630e-02
1.200000000000000000e+03 2.531889881645499329e+00 2.531968590197356678e-02
1.230000000000000000e+03 2.529770540090873432e+00 2.485277706081901600e-02
1.260000000000000000e+03 2.531893771643441760e+00 2.427423792488976953e-02
1.290000000000000000e+03 2.532278363450733316e+00 2.334585165872200829e-02
1.320000000000000000e+03 2.526080682747275485e+00 2.288800093156970542e-02
1.350000000000000000e+03 2.524818128272312556e+00 2.317787828565388147e-02
1.380000000000000000e+03 2.529337479464328187e+00 2.328826974906787056e-02
1.410000000000000000e+03 2.530104239302951363e+00 2.333503650517534944e-02
1.440000000000000000e+03 2.527675362001463810e+00 2.306988392970095100e-02
1.470000000000000000e+03 2.526785196332879124e+00 2.370686711602821087e-02
1.500000000000000000e+03 2.527699882416587052e+00 2.296854181345403881e-02
1.530000000000000000e+03 2.528585977105563654e+00 2.396870682932958352e-02
1.560000000000000000e+03 2.526278919077789897e+00 2.337277461295564004e-02
1.590000000000000000e+03 2.523134789021332036e+00 2.332330486253123003e-02
1.620000000000000000e+03 2.527685706915334674e+00 2.389016788812764816e-02
1.650000000000000000e+03 2.523770286569208654e+00 2.363578404233811214e-02
1.680000000000000000e+03 2.521218351436032012e+00 2.402567723640853734e-02
1.710000000000000000e+03 2.517402516214127584e+00 2.389899793425695126e-02
1.740000000000000000e+03 2.516011079979659115e+00 2.322606298248185500e-02
1.770000000000000000e+03 2.513845240344348309e+00 2.237979033438194237e-02
1.800000000000000000e+03 2.515533885391815438e+00 2.339498665436114816e-02
1.830000000000000000e+03 2.517417680498452270e+00 2.365610462941685962e-02
1.860000000000000000e+03 2.514892353617178333e+00 2.313041771597309018e-02
1.890000000000000000e+03 2.513308587018165507e+00 2.251873632353665333e-02
1.920000000000000000e+03 2.516330124490528508e+00 2.165402724053369296e-02
1.950000000000000000e+03 2.517067437683644826e+00 2.118708366840920537e-02
1.980000000000000000e+03 2.515665387648999829e+00 2.045275778001993949e-02
2.010000000000000000e+03 2.512865006654165345e+00 1.993017305973290507e-02
2.040000000000000000e+03 2.511835618184974805e+00 1.928404372342187867e-02
2.070000000000000000e+03 2.512384557138580554e+00 1.878126751842741984e-02
2.100000000000000000e+03 2.511840358076760094e+00 1.843268937036476873e-02
2.130000000000000000e+03 2.509680638286568843e+00 1.841260243290170420e-02
2.160000000000000000e+03 2.512208221499848015e+00 1.862324401001539190e-02
2.190000000000000000e+03 2.513126971670936793e+00 1.897239304377709018e-02
2.220000000000000000e+03 2.515183555095486856e+00 1.857720815148533947e-02
2.250000000000000000e+03 2.516384229001760620e+00 1.862146345846037165e-02
2.280000000000000000e+03 2.517379561420549194e+00 1.861935839418154409e-02
2.310000000000000000e+03 2.517280087279776257e+00 1.889331921644076678e-02
2.340000000000000000e+03 2.516715034716436872e+00 1.863214620003457098e-02
2.370000000000000000e+03 2.515558606886401538e+00 1.785661993166934303e-02
2.400000000000000000e+03 2.516091493517044864e+00 1.790764542578543797e-02
2.430000000000000000e+03 2.513331998869705597e+00 1.766404793740207479e-02
2.460000000000000000e+03 2.513583968384024647e+00 1.763664141872583677e-02
2.490000000000000000e+03 2.514141898279754983e+00 1.700516086710177760e-02
2.520000000000000000e+03 2.517054667994227835e+00 1.633096599211930622e-02
2.550000000000000000e+03 2.519477560832069862e+00 1.670367562376449261e-02
2.580000000000000000e+03 2.519121881132406759e+00 1.687709250060919972e-02
2.610000000000000000e+03 2.516422185822617230e+00 1.649407701537765336e-02
2.640000000000000000e+03 2.514619472911661990e+00 1.640981742320025624e-02
2.670000000000000000e+03 2.513689322631545320e+00 1.596067791972621830e-02
2.700000000000000000e+03 2.513507057861492200e+00 1.619281535555503262e-02
2.730000000000000000e+03 2.514226279476846848e+00 1.631386150853608372e-02
2.760000000000000000e+03 2.514471825620963941e+00 1.614238537164564002e-02
2.790000000000000000e+03 2.515522127090435767e+00 1.635268194379446705e-02
2.820000000000000000e+03 2.513191185059890032e+00 1.645222891206687271e-02
2.850000000000000000e+03 2.512428914452836892e+00 1.613690242960087382e-02
2.880000000000000000e+03 2.512145208347526193e+00 1.606276706973117779e-02
