# # n, sigma
3.000000000000000000e+01 2.485004752909710568e+00 9.069924094893618005e-02
6.000000000000000000e+01 2.455053693240444979e+00 1.946704176362730743e-01
9.000000000000000000e+01 2.432407159603073410e+00 1.035665935701563928e-01
1.200000000000000000e+02 2.439065856293105572e+00 7.354809106904501570e-02
1.500000000000000000e+02 2.502524150968931327e+00 5.058053395026498172e-02
1.800000000000000000e+02 2.501834712182597009e+00 4.219410486408832484e-02
2.100000000000000000e+02 2.495255427133193482e+00 4.151117150036911368e-02
2.400000000000000000e+02 2.503833578479575550e+00 3.819959894677416729e-02
2.700000000000000000e+02 2.502846718787493874e+00 3.291723758481915341e-02
3.000000000000000000e+02 2.483295272748564209e+00 3.339507140191598500e-02
3.300000000000000000e+02 2.487061399366069736e+00 3.051812082838258749e-02
3.600000000000000000e+02 2.484697219791862199e+00 2.878971183851259524e-02
3.900000000000000000e+02 2.501352035136662266e+00 2.697583981039763240e-02
4.200000000000000000e+02 2.507010690830958843e+00 2.832958735502350694e-02
4.500000000000000000e+02 2.512652812667278912e+00 3.126157770495357341e-02
4.800000000000000000e+02 2.510243644944011532e+00 2.975728399207291583e-02
5.100000000000000000e+02 2.507987794762736478e+00 2.703323548947236810e-02
5.400000000000000000e+02 2.516149409745385590e+00 2.539649231388350220e-02
5.700000000000000000e+02 2.515277304416668080e+00 2.460122001975442382e-02
6.000000000000000000e+02 2.525947178614732724e+00 2.508230330975770583e-02
6.300000000000000000e+02 2.526304965263028279e+00 2.529614871032299581e-02
6.600000000000000000e+02 2.529371094869649728e+00 2.631993333081547939e-02
6.900000000000000000e+02 2.544080799101744006e+00 2.759114692666404106e-02
7.200000000000000000e+02 2.542155535838114044e+00 2.848060097592383655e-02
7.500000000000000000e+02 2.531327573035595524e+00 2.749823679727918246e-02
7.800000000000000000e+02 2.540114223638862523e+00 2.663558142865117204e-02
8.100000000000000000e+02 2.541903714432838690e+00 2.587154560630881839e-02
8.400000000000000000e+02 2.546480131709334405e+00 2.639226879964468031e-02
8.700000000000000000e+02 2.543387479822545760e+00 2.662558331745400880e-02
9.000000000000000000e+02 2.530720309748534902e+00 2.772400831336650773e-02
9.300000000000000000e+02 2.517417302090174669e+00 2.638186469376283330e-02
9.600000000000000000e+02 2.522734068204976587e+00 2.647638809682297673e-02
9.900000000000000000e+02 2.524170242115736595e+00 2.506894921600842652e-02
1.020000000000000000e+03 2.524033436427975730e+00 2.660991410665159221e-02
1.050000000000000000e+03 2.527030214839474542e+00 2.783472303195826808e-02
