# # n, sigma
3.000000000000000000e+01 1.702256935452769238e+00 1.125921488568564222e-01
6.000000000000000000e+01 1.664083373721598536e+00 1.450706941366439462e-01
9.000000000000000000e+01 2.559063737404639216e+00 1.145330557882799638e-01
1.200000000000000000e+02 2.537700568754122976e+00 1.224280990376611089e-01
1.500000000000000000e+02 1.646778373642159732e+00 3.609831625314774972e-01
1.800000000000000000e+02 1.649355356319741395e+00 1.513047765634554231e-01
2.100000000000000000e+02 2.546972669402694844e+00 8.464655204473398031e-02
2.400000000000000000e+02 2.547158868079123284e+00 6.751423933181709136e-02
2.700000000000000000e+02 2.531962509446224807e+00 6.386721310731297008e-02
3.000000000000000000e+02 2.534480720462698233e+00 7.624108883752273025e-02
3.300000000000000000e+02 2.525767769505196103e+00 8.296745209845254876e-02
3.600000000000000000e+02 2.532292688037556694e+00 6.323917052615500578e-02
3.900000000000000000e+02 2.533420152480882148e+00 6.560221276210788377e-02
4.200000000000000000e+02 2.540947782012768386e+00 6.105880220071709802e-02
4.500000000000000000e+02 2.530588610089946844e+00 6.535639609794448301e-02
4.800000000000000000e+02 2.541796935265339563e+00 5.959589384477272100e-02
5.100000000000000000e+02 2.537900933466697762e+00 5.750427912180497425e-02
5.400000000000000000e+02 2.538831597805490947e+00 5.462457836837370656e-02
5.700000000000000000e+02 2.550454887711095076e+00 5.558677157446170053e-02
6.000000000000000000e+02 2.551643395027511474e+00 4.961672636693457983e-02
6.300000000000000000e+02 2.557239443472723028e+00 4.469224753360474811e-02
6.600000000000000000e+02 2.565252599682138701e+00 4.071912653750847655e-02
6.900000000000000000e+02 2.558266122008075349e+00 4.064513450760068314e-02
7.200000000000000000e+02 2.552092634987576769e+00 3.741494477015528536e-02
7.500000000000000000e+02 2.557939980931387858e+00 3.270141830665580090e-02
7.800000000000000000e+02 2.560460789709777529e+00 2.923636211655776182e-02
8.100000000000000000e+02 2.562192087428712739e+00 2.888646613065640537e-02
8.400000000000000000e+02 2.556863178146620452e+00 2.916711470268076867e-02
8.700000000000000000e+02 2.548803859044939113e+00 2.819390488672417552e-02
9.000000000000000000e+02 2.549407661571274186e+00 2.657652903724383106e-02
9.300000000000000000e+02 2.553083478838767295e+00 2.327866278993353383e-02
9.600000000000000000e+02 2.553895092555745538e+00 2.277682970924222935e-02
9.900000000000000000e+02 2.545870378042383031e+00 2.146855884199562470e-02
1.020000000000000000e+03 2.546401152214032404e+00 2.069064438116691163e-02
1.050000000000000000e+03 2.538556434919885252e+00 2.217140059100974891e-02
1.080000000000000000e+03 2.535518238593349682e+00 2.289328564332288041e-02
1.110000000000000000e+03 2.537219835014662195e+00 2.029714620034344524e-02
1.140000000000000000e+03 2.539222306841169452e+00 1.861926107089237684e-02
1.170000000000000000e+03 2.541652215305663098e+00 1.862820793882908818e-02
1.200000000000000000e+03 2.549843476945812260e+00 1.875864806006515353e-02
1.230000000000000000e+03 2.558926185769513140e+00 1.825233150717973235e-02
1.260000000000000000e+03 2.551080151358966930e+00 1.892883100482622635e-02
1.290000000000000000e+03 2.547254601121609063e+00 1.771487902097270209e-02
1.320000000000000000e+03 2.548352007200045843e+00 1.796122020978725004e-02
1.350000000000000000e+03 2.548479920171422997e+00 1.725450218222492754e-02
1.380000000000000000e+03 2.551798961547458777e+00 1.775616200990858679e-02
1.410000000000000000e+03 2.551999865841084070e+00 1.763683331247095296e-02
1.440000000000000000e+03 2.552706212103982075e+00 1.738007240531235995e-02
1.470000000000000000e+03 2.549449294735192773e+00 1.635098860811127000e-02
1.500000000000000000e+03 2.549448335619570738e+00 1.587846232280789444e-02
1.530000000000000000e+03 2.554024141147175797e+00 1.560761643948432517e-02
1.560000000000000000e+03 2.545877144872954023e+00 1.579504843154584323e-02
1.590000000000000000e+03 2.547555219221800726e+00 1.563553996060677506e-02
1.620000000000000000e+03 2.548589756284072472e+00 1.578570010356602701e-02
1.650000000000000000e+03 2.541119614821223394e+00 1.534681890264927642e-02
1.680000000000000000e+03 2.538860292525372042e+00 1.488371586495556252e-02
1.710000000000000000e+03 2.540539302722276460e+00 1.449879938344916623e-02
1.740000000000000000e+03 2.542404283163066658e+00 1.372132034215335986e-02
1.770000000000000000e+03 2.542673203147331140e+00 1.301175938807787834e-02
1.800000000000000000e+03 2.541667240349513968e+00 1.272857529786890554e-02
1.830000000000000000e+03 2.541976461912091700e+00 1.212661657023273581e-02
1.860000000000000000e+03 2.536741874038664690e+00 1.202136228216683402e-02
1.890000000000000000e+03 2.541548341204938222e+00 1.244479948197861445e-02
1.920000000000000000e+03 2.544185374716187553e+00 1.248205837605383464e-02
1.950000000000000000e+03 2.546919055568305001e+00 1.189395825139981551e-02
1.980000000000000000e+03 2.546993621953432818e+00 1.160735520334523450e-02
2.010000000000000000e+03 2.547926718845376914e+00 1.179888770803929482e-02
2.040000000000000000e+03 2.543672273492842084e+00 1.203477590419312765e-02
2.070000000000000000e+03 2.542583860573900623e+00 1.229218387055926176e-02
2.100000000000000000e+03 2.544386429544018391e+00 1.234897346433034421e-02
2.130000000000000000e+03 2.545096713259414223e+00 1.239541123662082911e-02
2.160000000000000000e+03 2.542885905384894674e+00 1.243247990729869079e-02
2.190000000000000000e+03 2.544379137159823223e+00 1.250751993504501183e-02
2.220000000000000000e+03 2.542178430599456362e+00 1.371247048508584220e-02
2.250000000000000000e+03 2.538003732781058286e+00 1.370242513019584094e-02
2.280000000000000000e+03 2.539172076063715089e+00 1.348090819276029015e-02
2.310000000000000000e+03 2.538862957477171278e+00 1.334616097229862630e-02
2.340000000000000000e+03 2.538809093060984790e+00 1.384475551722899427e-02
2.370000000000000000e+03 2.536435158192259287e+00 1.453516382483211085e-02
2.400000000000000000e+03 2.541433821703160234e+00 1.452617184358779949e-02
2.430000000000000000e+03 2.542162292389075873e+00 1.459667105891341438e-02
2.460000000000000000e+03 2.540918510007911912e+00 1.456475555653248891e-02
2.490000000000000000e+03 2.536420825104439114e+00 1.481071961880969443e-02
2.520000000000000000e+03 2.533961336867318170e+00 1.465762213597681524e-02
2.550000000000000000e+03 2.536097564000220572e+00 1.502673681747116255e-02
2.580000000000000000e+03 2.534379049106409099e+00 1.487617002069096389e-02
2.610000000000000000e+03 2.533089001008261398e+00 1.456624485623031658e-02
2.640000000000000000e+03 2.534459133868416814e+00 1.458114589542972017e-02
2.670000000000000000e+03 2.534246613584676400e+00 1.528244668734011005e-02
2.700000000000000000e+03 2.532598452421565671e+00 1.496351868719484300e-02
2.730000000000000000e+03 2.535702795181214775e+00 1.560838556659067435e-02
2.760000000000000000e+03 2.536421857765916332e+00 1.534272265595826301e-02
2.790000000000000000e+03 2.538773269002204014e+00 1.501200467736065434e-02
2.820000000000000000e+03 2.534453935193501373e+00 1.496214151225705100e-02
2.850000000000000000e+03 2.530698476694372090e+00 1.461525086993119456e-02
2.880000000000000000e+03 2.527837463048256517e+00 1.436269648026491062e-02
2.910000000000000000e+03 2.530951663369709337e+00 1.418507540178048920e-02
2.940000000000000000e+03 2.531379524541539361e+00 1.463540372857674750e-02
2.970000000000000000e+03 2.531748540439374917e+00 1.498195795506410653e-02
3.000000000000000000e+03 2.530921492275322038e+00 1.524484477374904792e-02
3.030000000000000000e+03 2.530634646798469500e+00 1.517835034390370950e-02
3.060000000000000000e+03 2.530104589601775977e+00 1.506816665191835700e-02
3.090000000000000000e+03 2.530987526367552309e+00 1.534176150984655797e-02
3.120000000000000000e+03 2.528632533239435265e+00 1.563953845032134415e-02
3.150000000000000000e+03 2.527580333984390748e+00 1.587006313572628460e-02
3.180000000000000000e+03 2.522830169577106041e+00 1.554882007139465026e-02
3.210000000000000000e+03 2.522618441968802472e+00 1.476210258832068474e-02
3.240000000000000000e+03 2.522776514084295929e+00 1.486070970418477445e-02
3.270000000000000000e+03 2.521816182288422414e+00 1.490549393044683472e-02
3.300000000000000000e+03 2.520083031103262705e+00 1.472229055869581082e-02
3.330000000000000000e+03 2.519781820106628434e+00 1.435792150402264745e-02
3.360000000000000000e+03 2.517625372555363228e+00 1.429658516340831347e-02
3.390000000000000000e+03 2.519420031340426469e+00 1.412675643395631606e-02
3.420000000000000000e+03 2.520069959912146551e+00 1.398427661765148412e-02
3.450000000000000000e+03 2.520358540051629959e+00 1.412851400185323979e-02
3.480000000000000000e+03 2.519153775939955153e+00 1.390707469182323776e-02
3.510000000000000000e+03 2.520099233698053887e+00 1.386465017328243621e-02
3.540000000000000000e+03 2.520191251794063003e+00 1.408352366190695690e-02
3.570000000000000000e+03 2.521712181936069719e+00 1.461105511405029304e-02
3.600000000000000000e+03 2.519490386288374406e+00 1.382468560951409346e-02
3.630000000000000000e+03 2.518023150592687553e+00 1.360546243869107698e-02
3.660000000000000000e+03 2.519821847651527946e+00 1.358177134805478234e-02
3.690000000000000000e+03 2.518722486481926648e+00 1.346845430137379174e-02
3.720000000000000000e+03 2.519998694338311918e+00 1.337664941482326515e-02
3.750000000000000000e+03 2.521856084313508273e+00 1.314371933562575798e-02
3.780000000000000000e+03 2.523247562472262118e+00 1.297943974879623048e-02
3.810000000000000000e+03 2.522720213498684583e+00 1.299219590319975262e-02
3.840000000000000000e+03 2.524670178425691081e+00 1.277230461539536135e-02
3.870000000000000000e+03 2.523292911175810449e+00 1.246671040890279074e-02
3.900000000000000000e+03 2.520350995753549039e+00 1.228420463170211765e-02
3.930000000000000000e+03 2.520404531244684776e+00 1.207150786620528500e-02
3.960000000000000000e+03 2.520472985904770535e+00 1.198111869400973230e-02
3.990000000000000000e+03 2.520336399097378610e+00 1.180770637044740480e-02
4.020000000000000000e+03 2.520179487052777834e+00 1.185816784542677131e-02
4.050000000000000000e+03 2.523299899212160913e+00 1.197862820600938995e-02
4.080000000000000000e+03 2.523336423419802799e+00 1.160813532844692797e-02
4.110000000000000000e+03 2.521713713338285423e+00 1.167982094830003099e-02
4.140000000000000000e+03 2.518310094760135343e+00 1.203941154041812678e-02
4.170000000000000000e+03 2.518372426124650065e+00 1.190284983958863306e-02
4.200000000000000000e+03 2.517191273367902937e+00 1.175009187863250079e-02
4.230000000000000000e+03 2.516813530814644650e+00 1.151705339466328921e-02
4.260000000000000000e+03 2.515354416506492274e+00 1.144891890295327008e-02
