# # n, sigma
3.000000000000000000e+01 2.557049501236543509e+00 7.699512488344814609e-02
6.000000000000000000e+01 2.549054311754209490e+00 7.978681120429792495e-02
9.000000000000000000e+01 2.539568591152149946e+00 5.585528479825851295e-02
1.200000000000000000e+02 2.519658613577022699e+00 5.937605016292624160e-02
1.500000000000000000e+02 2.520877453562019532e+00 6.321702981873687788e-02
1.800000000000000000e+02 2.516177675468836306e+00 7.089983244734777978e-02
2.100000000000000000e+02 2.512692385164643216e+00 6.233643664675377755e-02
2.400000000000000000e+02 2.538944627735279180e+00 5.286821068950420255e-02
2.700000000000000000e+02 2.516932354062435984e+00 5.097539745309877246e-02
3.000000000000000000e+02 2.490761159743577924e+00 4.365432278839082025e-02
3.300000000000000000e+02 2.475810876982121211e+00 4.331572372531004855e-02
3.600000000000000000e+02 2.463764994387241725e+00 4.980267531137083648e-02
3.900000000000000000e+02 2.467337216339583250e+00 3.628429930710173890e-02
4.200000000000000000e+02 2.468851360360238001e+00 3.556672337280582935e-02
4.500000000000000000e+02 2.471346895095317464e+00 3.228028801269039461e-02
4.800000000000000000e+02 2.467156209449453019e+00 3.114976258630259079e-02
5.100000000000000000e+02 2.467844299955733955e+00 2.890355263999499352e-02
5.400000000000000000e+02 2.465138331850436071e+00 2.762295321233128320e-02
5.700000000000000000e+02 2.467289803595574593e+00 2.726886631050080140e-02
6.000000000000000000e+02 2.463738222273413658e+00 2.638011031169363446e-02
6.300000000000000000e+02 2.465020024950355548e+00 2.469401415419318971e-02
6.600000000000000000e+02 2.466308378760868170e+00 2.530317476364022169e-02
6.900000000000000000e+02 2.466004956165718465e+00 2.509664273169549473e-02
7.200000000000000000e+02 2.460449382234075166e+00 2.447490383786659132e-02
7.500000000000000000e+02 2.456728614143624867e+00 2.511408209358028526e-02
7.800000000000000000e+02 2.460003424756625812e+00 2.395151490335777414e-02
8.100000000000000000e+02 2.460422515566049295e+00 2.299899180472109519e-02
8.400000000000000000e+02 2.462555973207157578e+00 2.193965197824367802e-02
8.700000000000000000e+02 2.464500829171568430e+00 2.260022977499613964e-02
9.000000000000000000e+02 2.466237956699366407e+00 2.240733316175178708e-02
9.300000000000000000e+02 2.465235596583378541e+00 2.107801576917532962e-02
9.600000000000000000e+02 2.468258321594638094e+00 2.192453572207493998e-02
9.900000000000000000e+02 2.471236026561696164e+00 2.153003331071533244e-02
1.020000000000000000e+03 2.468654633302044488e+00 2.214633855840856050e-02
1.050000000000000000e+03 2.471035063152103195e+00 2.089314768307922940e-02
1.080000000000000000e+03 2.476732966935905278e+00 2.151773697646838096e-02
1.110000000000000000e+03 2.477122458142230421e+00 2.005122633952726233e-02
1.140000000000000000e+03 2.479317460777067605e+00 1.983671959222534434e-02
1.170000000000000000e+03 2.478655779776755441e+00 1.909964370613720028e-02
1.200000000000000000e+03 2.479525164575196339e+00 1.919136908223053814e-02
