# # n, sigma
3.000000000000000000e+01 2.724132537488757055e+00 1.045275332413871244e-01
6.000000000000000000e+01 2.592329886431329999e+00 6.289814217380074179e-02
9.000000000000000000e+01 2.500760252462526978e+00 4.930405594029956678e-02
1.200000000000000000e+02 2.572912281924455868e+00 4.942772964392908031e-02
1.500000000000000000e+02 2.558975696479836692e+00 4.782389523760338657e-02
1.800000000000000000e+02 2.541338975845672365e+00 4.100222855338091915e-02
2.100000000000000000e+02 2.538898836372155188e+00 4.316452455708432584e-02
2.400000000000000000e+02 2.510495477602984415e+00 4.027180929386831726e-02
2.700000000000000000e+02 2.500088465813290028e+00 3.404388161843450999e-02
3.000000000000000000e+02 2.489366126579230620e+00 3.263831323488497471e-02
3.300000000000000000e+02 2.485150242305243840e+00 3.129048575214518624e-02
3.600000000000000000e+02 2.492865985831815845e+00 3.069202970798185978e-02
3.900000000000000000e+02 2.480614594386695515e+00 3.250049377250716076e-02
4.200000000000000000e+02 2.470274623780542633e+00 2.946266486398358905e-02
4.500000000000000000e+02 2.471441789624709617e+00 2.794648549149256200e-02
4.800000000000000000e+02 2.465122150250887767e+00 2.938925686393763920e-02
5.100000000000000000e+02 2.462861905505794535e+00 2.909371901633760540e-02
5.400000000000000000e+02 2.464174347359622264e+00 3.048714844365209287e-02
5.700000000000000000e+02 2.456362658924851505e+00 2.869568504148182347e-02
6.000000000000000000e+02 2.457039714492262217e+00 3.002966662762406730e-02
6.300000000000000000e+02 2.451503350116520874e+00 3.289638148268482498e-02
6.600000000000000000e+02 2.453628898120982615e+00 3.218232846016509663e-02
6.900000000000000000e+02 2.452574021945856053e+00 2.971178596499764527e-02
7.200000000000000000e+02 2.448876137916529583e+00 2.780455020627268028e-02
7.500000000000000000e+02 2.448406529598821990e+00 2.688276949219959785e-02
7.800000000000000000e+02 2.449802760826658599e+00 2.691126565403578058e-02
8.100000000000000000e+02 2.453803002423541546e+00 2.571752625470735687e-02
8.400000000000000000e+02 2.458019751766764127e+00 2.466683874339587607e-02
8.700000000000000000e+02 2.460621265339887564e+00 2.275689738407285848e-02
9.000000000000000000e+02 2.460031447601186194e+00 2.152742392121443499e-02
9.300000000000000000e+02 2.460112295577212560e+00 2.171140265884459811e-02
9.600000000000000000e+02 2.465530143457618006e+00 2.105250639039820890e-02
9.900000000000000000e+02 2.461240552729334397e+00 2.255122342419986839e-02
1.020000000000000000e+03 2.461048365685379657e+00 2.247931361629739930e-02
1.050000000000000000e+03 2.467654257231498782e+00 2.128420652178103500e-02
1.080000000000000000e+03 2.461803928332179314e+00 2.053372968036044910e-02
1.110000000000000000e+03 2.456292246497920218e+00 2.187026954027703959e-02
1.140000000000000000e+03 2.453865368316730411e+00 2.148395901639446604e-02
1.170000000000000000e+03 2.457474422888636489e+00 2.117877394418879108e-02
1.200000000000000000e+03 2.454106771546240573e+00 2.083507224371912783e-02
1.230000000000000000e+03 2.451697517977194707e+00 2.210803975879718081e-02
1.260000000000000000e+03 2.448201439907619292e+00 2.177238706373944843e-02
1.290000000000000000e+03 2.449534548300371650e+00 2.190428109443109950e-02
1.320000000000000000e+03 2.454305909815337472e+00 2.035547507955620672e-02
1.350000000000000000e+03 2.460536794697312235e+00 2.010577014865705739e-02
1.380000000000000000e+03 2.463072124490788717e+00 1.969523233702324613e-02
1.410000000000000000e+03 2.458947682455552286e+00 1.970750728154320799e-02
1.440000000000000000e+03 2.463491517357871086e+00 1.893707419598514297e-02
1.470000000000000000e+03 2.466138959601891667e+00 1.820965186688027621e-02
1.500000000000000000e+03 2.468084538496356117e+00 1.778856025078874234e-02
1.530000000000000000e+03 2.465121476648719057e+00 1.785724781574375350e-02
1.560000000000000000e+03 2.463945652050198998e+00 1.833188493682353509e-02
1.590000000000000000e+03 2.462006911093483019e+00 1.823952946884989379e-02
1.620000000000000000e+03 2.462142397841557973e+00 1.835010280937803342e-02
1.650000000000000000e+03 2.460416647360103681e+00 1.833268645714817083e-02
1.680000000000000000e+03 2.464717050552043709e+00 1.854673879075076706e-02
1.710000000000000000e+03 2.463999677644934216e+00 1.814773748400008713e-02
1.740000000000000000e+03 2.461210571210036946e+00 1.770255788006554198e-02
1.770000000000000000e+03 2.464083248524388647e+00 1.744732583252013580e-02
1.800000000000000000e+03 2.461761804389698050e+00 1.707959765523691179e-02
1.830000000000000000e+03 2.459602426571593448e+00 1.690352002199559459e-02
1.860000000000000000e+03 2.460939866332435333e+00 1.640590462991388387e-02
1.890000000000000000e+03 2.462229254091712338e+00 1.651460873232758406e-02
1.920000000000000000e+03 2.465083381462989109e+00 1.777277210958120093e-02
1.950000000000000000e+03 2.465894346934414560e+00 1.723268059945735550e-02
1.980000000000000000e+03 2.467742585136134092e+00 1.640391722924782955e-02
2.010000000000000000e+03 2.473282660441544767e+00 1.616735271921136349e-02
2.040000000000000000e+03 2.469667959675682756e+00 1.610950223558324859e-02
2.070000000000000000e+03 2.471926548828684123e+00 1.634896889374709908e-02
2.100000000000000000e+03 2.476091126136952258e+00 1.564873905865812528e-02
2.130000000000000000e+03 2.478191275135024352e+00 1.512010860449488833e-02
2.160000000000000000e+03 2.478348743638896678e+00 1.475724672146896434e-02
2.190000000000000000e+03 2.475904634907788893e+00 1.435445398081972371e-02
2.220000000000000000e+03 2.474493883389421445e+00 1.418285049632302119e-02
2.250000000000000000e+03 2.476789003119251209e+00 1.431194689781824583e-02
2.280000000000000000e+03 2.474867932629281508e+00 1.425468945067660809e-02
2.310000000000000000e+03 2.473458806499256646e+00 1.426891698461340077e-02
2.340000000000000000e+03 2.475898713841966803e+00 1.467017019260530818e-02
2.370000000000000000e+03 2.474192797784856790e+00 1.471489869738083073e-02
2.400000000000000000e+03 2.473927526286321843e+00 1.463353577329864173e-02
2.430000000000000000e+03 2.476568954213786977e+00 1.428387951303956328e-02
2.460000000000000000e+03 2.474814389502621115e+00 1.458807673103993882e-02
2.490000000000000000e+03 2.478697123210181541e+00 1.439550416022965240e-02
2.520000000000000000e+03 2.477178307264745971e+00 1.452381131048956220e-02
2.550000000000000000e+03 2.474893886935099818e+00 1.425636210679353047e-02
2.580000000000000000e+03 2.476065937915062687e+00 1.451596429456512329e-02
2.610000000000000000e+03 2.474169682201254439e+00 1.434531121181267625e-02
2.640000000000000000e+03 2.472977057272491397e+00 1.420330674730561557e-02
2.670000000000000000e+03 2.470851195685229484e+00 1.440062775332560420e-02
2.700000000000000000e+03 2.469985864379273810e+00 1.464674424108491219e-02
2.730000000000000000e+03 2.468582196403529050e+00 1.421257965754700939e-02
2.760000000000000000e+03 2.465275796108199469e+00 1.470454180948159266e-02
2.790000000000000000e+03 2.466184175591124905e+00 1.488872412004097617e-02
2.820000000000000000e+03 2.468349140327438906e+00 1.467597025988798785e-02
2.850000000000000000e+03 2.469352669281146273e+00 1.431338851506838358e-02
2.880000000000000000e+03 2.469799765470909847e+00 1.368321272947018233e-02
2.910000000000000000e+03 2.473545806020647664e+00 1.340617835897509047e-02
2.940000000000000000e+03 2.471871944141287525e+00 1.396004262638357932e-02
2.970000000000000000e+03 2.472824325612687169e+00 1.401760875634355807e-02
3.000000000000000000e+03 2.474411432483243800e+00 1.388042385743294346e-02
3.030000000000000000e+03 2.476477792638724917e+00 1.399571540442021318e-02
3.060000000000000000e+03 2.478019670870585056e+00 1.407429747244518491e-02
3.090000000000000000e+03 2.479432418812172134e+00 1.386770146825725726e-02
3.120000000000000000e+03 2.480132543605177986e+00 1.327580324456501676e-02
