# # n, sigma
3.000000000000000000e+01 3.177740241382323916e+00 5.184571110032011321e-01
6.000000000000000000e+01 4.090495684929785547e+00 1.702916345932145303e-01
9.000000000000000000e+01 2.762964757551986228e+00 8.153283532723146210e-02
1.200000000000000000e+02 2.536649058442043358e+00 7.581296961018310632e-02
1.500000000000000000e+02 1.702107170713580642e+00 2.855828437215862103e-01
1.800000000000000000e+02 2.482183216589376684e+00 7.197795341626093968e-02
2.100000000000000000e+02 2.490574890416682230e+00 7.471822138858717766e-02
2.400000000000000000e+02 2.509226261927665291e+00 6.036071394800860551e-02
2.700000000000000000e+02 2.527271244638219727e+00 6.227307334225277990e-02
3.000000000000000000e+02 2.582649227076469600e+00 4.326080560033268574e-02
3.300000000000000000e+02 2.575734178159007737e+00 3.749957801611078501e-02
3.600000000000000000e+02 2.562207866128904499e+00 3.578220130328634008e-02
3.900000000000000000e+02 2.567206498702916839e+00 3.825406614004010775e-02
4.200000000000000000e+02 2.576742345312234228e+00 3.205937944752085961e-02
4.500000000000000000e+02 2.576813975830242409e+00 3.017058338460186159e-02
4.800000000000000000e+02 2.579125227283932897e+00 3.130554937794285952e-02
5.100000000000000000e+02 2.572083540811616942e+00 3.045795772252293462e-02
5.400000000000000000e+02 2.578644349588395279e+00 3.426364998373139514e-02
5.700000000000000000e+02 2.570223634423018488e+00 3.197264222407494860e-02
6.000000000000000000e+02 2.565615058178831731e+00 3.379171860408024253e-02
6.300000000000000000e+02 2.564318999709677360e+00 3.209429504820462270e-02
6.600000000000000000e+02 2.557168160309087224e+00 3.044139154899094118e-02
6.900000000000000000e+02 2.561190569713287069e+00 2.521503689767464959e-02
7.200000000000000000e+02 2.559696912993719042e+00 2.637116044564148318e-02
7.500000000000000000e+02 2.565450427069484007e+00 2.703454156657639218e-02
7.800000000000000000e+02 2.564095575795294124e+00 2.686901100995910813e-02
8.100000000000000000e+02 2.569449684596388561e+00 2.618180119680827561e-02
8.400000000000000000e+02 2.569339963103141500e+00 2.685075962851741355e-02
8.700000000000000000e+02 2.566906211844265595e+00 2.635387367550613008e-02
9.000000000000000000e+02 2.560115179510602523e+00 2.474018732241056034e-02
9.300000000000000000e+02 2.562612578249134021e+00 2.314375553087731976e-02
9.600000000000000000e+02 2.560609745695210382e+00 2.300645033695370573e-02
9.900000000000000000e+02 2.566268531415739851e+00 2.221818235542733291e-02
1.020000000000000000e+03 2.571292716551458746e+00 2.192654330403439114e-02
1.050000000000000000e+03 2.573488348087144217e+00 2.112011956026049742e-02
1.080000000000000000e+03 2.573961460559810899e+00 2.074114453576605954e-02
1.110000000000000000e+03 2.572112538367497869e+00 2.207979002309334166e-02
1.140000000000000000e+03 2.572232882551008792e+00 2.278823699675164641e-02
1.170000000000000000e+03 2.571704467916376746e+00 2.192335722842947074e-02
1.200000000000000000e+03 2.567539816496362537e+00 2.060542448922257977e-02
1.230000000000000000e+03 2.564763647972055249e+00 1.978117195670081596e-02
1.260000000000000000e+03 2.559143778494466837e+00 1.994989397364687125e-02
1.290000000000000000e+03 2.560790901641982753e+00 1.941157569107505518e-02
1.320000000000000000e+03 2.557253355869332001e+00 1.959732902938989343e-02
1.350000000000000000e+03 2.555654989530291132e+00 1.944147213668169505e-02
1.380000000000000000e+03 2.557110565761192778e+00 1.974018506399003586e-02
1.410000000000000000e+03 2.559392545309925104e+00 1.828210121851378891e-02
1.440000000000000000e+03 2.558767925739489968e+00 1.769954410089906449e-02
1.470000000000000000e+03 2.549904203464216756e+00 1.807325344851920534e-02
1.500000000000000000e+03 2.549585878842330899e+00 1.743483647057932420e-02
1.530000000000000000e+03 2.548149148623284344e+00 1.730274161633218663e-02
1.560000000000000000e+03 2.545480125222995049e+00 1.660440038740776739e-02
1.590000000000000000e+03 2.545573771567199994e+00 1.728715148628259118e-02
1.620000000000000000e+03 2.544446907612927244e+00 1.784444037499331726e-02
1.650000000000000000e+03 2.548455687630527322e+00 1.782795022523382331e-02
1.680000000000000000e+03 2.548339712469008145e+00 1.754753945083402378e-02
1.710000000000000000e+03 2.546742829176540823e+00 1.675769092585308040e-02
1.740000000000000000e+03 2.546415600413179714e+00 1.546247184737703680e-02
1.770000000000000000e+03 2.546175192893257222e+00 1.557289173722538854e-02
1.800000000000000000e+03 2.544407124004941956e+00 1.543115050581439149e-02
1.830000000000000000e+03 2.543923060114598123e+00 1.494039715991867488e-02
1.860000000000000000e+03 2.544769859232056231e+00 1.438198693213614716e-02
1.890000000000000000e+03 2.542071862583715980e+00 1.419294409082098342e-02
