# # n, sigma
3.000000000000000000e+01 4.071671384511253322e+00 1.588679190440624445e-01
6.000000000000000000e+01 4.078881419444559953e+00 1.561973167789619810e-01
9.000000000000000000e+01 4.124771224533351877e+00 3.063667411219759829e-01
1.200000000000000000e+02 2.510298759011834413e+00 7.805860421173053953e-02
1.500000000000000000e+02 2.503168843605873661e+00 6.028722786920721888e-02
1.800000000000000000e+02 2.490622610390452074e+00 4.754853195681780359e-02
2.100000000000000000e+02 2.457982951558504325e+00 4.407618662870499415e-02
2.400000000000000000e+02 2.475104088667309910e+00 3.779805880445902960e-02
2.700000000000000000e+02 2.457143088853289470e+00 3.616896229246246292e-02
3.000000000000000000e+02 2.457227868357622302e+00 3.180230747594676999e-02
3.300000000000000000e+02 2.470641875088947614e+00 2.979469583869175792e-02
3.600000000000000000e+02 2.464372830436580397e+00 3.400455707947525746e-02
3.900000000000000000e+02 2.467645007062497786e+00 2.935159053969363038e-02
4.200000000000000000e+02 2.459545685395386538e+00 2.882299890713150431e-02
4.500000000000000000e+02 2.474899568948413009e+00 2.499821464238330404e-02
4.800000000000000000e+02 2.474759338125069874e+00 2.231384546458154913e-02
5.100000000000000000e+02 2.478951728444902969e+00 2.379301355240206334e-02
5.400000000000000000e+02 2.475712716489247178e+00 2.338582826459652264e-02
5.700000000000000000e+02 2.480384209527173756e+00 2.225769911168215889e-02
6.000000000000000000e+02 2.484584937190605469e+00 2.496219447631652794e-02
6.300000000000000000e+02 2.482429749479123871e+00 2.470409294824140595e-02
6.600000000000000000e+02 2.484585985566098998e+00 2.432870761299439633e-02
6.900000000000000000e+02 2.478010772453006716e+00 2.591236127480681800e-02
7.200000000000000000e+02 2.488287474429477175e+00 2.541120172903570812e-02
7.500000000000000000e+02 2.483321946415524284e+00 2.541305956875370906e-02
7.800000000000000000e+02 2.487907762181834848e+00 2.591309897496690481e-02
8.100000000000000000e+02 2.485735767282061470e+00 2.591987199739081635e-02
8.400000000000000000e+02 2.488512847458218769e+00 2.449515703083821050e-02
8.700000000000000000e+02 2.488748611572356051e+00 2.295414625053006363e-02
9.000000000000000000e+02 2.491796723462668339e+00 2.259940328690886527e-02
9.300000000000000000e+02 2.491823786671334418e+00 2.073061642622885115e-02
9.600000000000000000e+02 2.489413547676656346e+00 2.017406279042279968e-02
9.900000000000000000e+02 2.484204916154415965e+00 2.122600565692885424e-02
1.020000000000000000e+03 2.489743777197989338e+00 2.095704795293521633e-02
1.050000000000000000e+03 2.489500560701696674e+00 2.026895506565345312e-02
1.080000000000000000e+03 2.487895944707010365e+00 1.995332006907605746e-02
1.110000000000000000e+03 2.484640486045477381e+00 2.078409855274837223e-02
1.140000000000000000e+03 2.485810156428992279e+00 2.025229604186078169e-02
1.170000000000000000e+03 2.481405867003915855e+00 1.999708389583585225e-02
1.200000000000000000e+03 2.484875845445370768e+00 2.106010872894700792e-02
1.230000000000000000e+03 2.488772377406446967e+00 2.137307588804247815e-02
1.260000000000000000e+03 2.485933229530246535e+00 2.000166526178561929e-02
1.290000000000000000e+03 2.486814687958088577e+00 1.970567459568324520e-02
1.320000000000000000e+03 2.491222426621547470e+00 1.745797898818307950e-02
1.350000000000000000e+03 2.489019847260815599e+00 1.693277844887904407e-02
1.380000000000000000e+03 2.499653810424741440e+00 1.611172077349836904e-02
1.410000000000000000e+03 2.500149898738388998e+00 1.503469385814798498e-02
1.440000000000000000e+03 2.496986476075903738e+00 1.349663563195839348e-02
1.470000000000000000e+03 2.496445964426856623e+00 1.291478238798231086e-02
1.500000000000000000e+03 2.493347435024670933e+00 1.338511330377939457e-02
1.530000000000000000e+03 2.493305234089043587e+00 1.358691261247291400e-02
1.560000000000000000e+03 2.491556523714566040e+00 1.345786176333707215e-02
1.590000000000000000e+03 2.489479621897682904e+00 1.309341012811027910e-02
1.620000000000000000e+03 2.493184737499527959e+00 1.454580876232960431e-02
1.650000000000000000e+03 2.493172811382800003e+00 1.513563044055885563e-02
1.680000000000000000e+03 2.494456660245149671e+00 1.526627868208598610e-02
1.710000000000000000e+03 2.490393249303572976e+00 1.517405164172203752e-02
1.740000000000000000e+03 2.490669147815817830e+00 1.408380231229294961e-02
1.770000000000000000e+03 2.485965277946681873e+00 1.376455655380298508e-02
1.800000000000000000e+03 2.486520953814363999e+00 1.310491939564468154e-02
1.830000000000000000e+03 2.488397064259783686e+00 1.303515223194072307e-02
1.860000000000000000e+03 2.490248418543477005e+00 1.307406284947803740e-02
