# # n, sigma
3.000000000000000000e+01 2.535052458521453111e+00 2.257342252861154475e-01
6.000000000000000000e+01 1.414378901464940830e+00 1.515412501798890421e+00
9.000000000000000000e+01 1.410575139417035828e+00 1.164162769859868662e+00
1.200000000000000000e+02 2.205298827356612978e+00 1.071002084871382071e-01
1.500000000000000000e+02 2.218849041820559531e+00 8.436151051356199915e-02
1.800000000000000000e+02 2.208959149689609269e+00 7.245144907885377183e-02
2.100000000000000000e+02 2.541589625999338242e+00 6.664787920034952184e-02
2.400000000000000000e+02 2.539876065962047846e+00 6.384240688724036883e-02
2.700000000000000000e+02 2.539335195319807781e+00 6.592686153889103229e-02
3.000000000000000000e+02 2.536422056215752008e+00 5.384455653109993661e-02
3.300000000000000000e+02 2.528552547928892835e+00 5.013354871569421917e-02
3.600000000000000000e+02 2.534739361591809015e+00 4.608065814503175400e-02
3.900000000000000000e+02 2.537600225472223414e+00 4.199618746602909458e-02
4.200000000000000000e+02 2.544365089982862482e+00 3.718115101885280382e-02
4.500000000000000000e+02 2.554191915243479105e+00 4.258715498347089012e-02
4.800000000000000000e+02 2.543022775646881506e+00 4.116247652030170789e-02
5.100000000000000000e+02 2.541627434661332341e+00 4.169432428796551043e-02
5.400000000000000000e+02 2.538235408902878021e+00 3.775704661986119259e-02
5.700000000000000000e+02 2.531604880596091345e+00 3.423071187889085293e-02
6.000000000000000000e+02 2.523239478671210456e+00 2.949330201547079727e-02
6.300000000000000000e+02 2.520946523270489514e+00 3.042019996270398097e-02
6.600000000000000000e+02 2.519320225226490351e+00 2.843323648919067817e-02
6.900000000000000000e+02 2.529981457051518223e+00 2.893971383321575566e-02
7.200000000000000000e+02 2.526516319229638707e+00 2.746397567573436588e-02
7.500000000000000000e+02 2.525782360694049267e+00 2.796698673747834846e-02
7.800000000000000000e+02 2.521515593053170523e+00 2.858566188539008596e-02
8.100000000000000000e+02 2.517775437260559190e+00 2.893895711197222442e-02
8.400000000000000000e+02 2.514420057853101298e+00 2.866136567094835705e-02
8.700000000000000000e+02 2.512594012511738750e+00 2.688617137980449032e-02
9.000000000000000000e+02 2.516772339012183668e+00 2.494721343278668430e-02
9.300000000000000000e+02 2.521879354181497668e+00 2.487774831480784807e-02
9.600000000000000000e+02 2.524628280519835677e+00 2.367692137228845708e-02
9.900000000000000000e+02 2.519585296627910420e+00 2.189165338677154238e-02
1.020000000000000000e+03 2.512452394041924109e+00 2.113803724250203422e-02
1.050000000000000000e+03 2.515588680190525395e+00 2.126363668084439718e-02
