# # n, sigma
3.000000000000000000e+01 4.254062572485934446e+00 1.155289215759071897e-01
6.000000000000000000e+01 2.645555326745502089e+00 7.986215758687560673e-02
9.000000000000000000e+01 2.694172147917648807e+00 9.821594143756316730e-02
1.200000000000000000e+02 2.369993071231020210e+00 6.977365031664892192e-02
1.500000000000000000e+02 2.629145698358274164e+00 6.056396084157070897e-02
1.800000000000000000e+02 2.586037430308119056e+00 5.160331548397992241e-02
2.100000000000000000e+02 2.614139537358727061e+00 5.172858797593109237e-02
2.400000000000000000e+02 2.552598132862926583e+00 4.543651520932276422e-02
2.700000000000000000e+02 2.483468636803194851e+00 4.478230995797295028e-02
3.000000000000000000e+02 2.487594845212740324e+00 4.153599512779534986e-02
3.300000000000000000e+02 2.584291371614830357e+00 4.271829995869145385e-02
3.600000000000000000e+02 2.599575038890598933e+00 4.061086495890949694e-02
3.900000000000000000e+02 2.592404191900536503e+00 3.514728657549302804e-02
4.200000000000000000e+02 2.602919248031162702e+00 3.684983113136714589e-02
4.500000000000000000e+02 2.611324221990890315e+00 3.422706721106413136e-02
4.800000000000000000e+02 2.608274564366781512e+00 3.183287262668745704e-02
5.100000000000000000e+02 2.611307886800989131e+00 3.272169733731694619e-02
5.400000000000000000e+02 2.609756618717891108e+00 3.309765195172051366e-02
5.700000000000000000e+02 2.610020115601807689e+00 3.290956075446841572e-02
6.000000000000000000e+02 2.617863660335897791e+00 3.241542285307669885e-02
6.300000000000000000e+02 2.617230220553787401e+00 3.062247016589967480e-02
6.600000000000000000e+02 2.604723557124977162e+00 2.965969777196522314e-02
6.900000000000000000e+02 2.596935839187240358e+00 2.893333879413874030e-02
7.200000000000000000e+02 2.600487882967783104e+00 2.806516419247010244e-02
7.500000000000000000e+02 2.585223871867548873e+00 2.583372475496787876e-02
7.800000000000000000e+02 2.561563278594304105e+00 2.740308324880198418e-02
8.100000000000000000e+02 2.570446591216468679e+00 2.636887589941762713e-02
8.400000000000000000e+02 2.576154875994104643e+00 2.476884780284014514e-02
8.700000000000000000e+02 2.568994732619628074e+00 2.735346601841926253e-02
9.000000000000000000e+02 2.560917004679997611e+00 2.588098213364333627e-02
9.300000000000000000e+02 2.565777809809630217e+00 2.583273690264333011e-02
9.600000000000000000e+02 2.553941542036300305e+00 2.565569327221351933e-02
9.900000000000000000e+02 2.561173007887519226e+00 2.510408040052095405e-02
1.020000000000000000e+03 2.559717627261246076e+00 2.538037446838064051e-02
1.050000000000000000e+03 2.566361969532248821e+00 2.499859902420398933e-02
1.080000000000000000e+03 2.555521172333809155e+00 2.468642782345459655e-02
1.110000000000000000e+03 2.562394760988213616e+00 2.384238338944752456e-02
1.140000000000000000e+03 2.554812706821081303e+00 2.325169049580791403e-02
1.170000000000000000e+03 2.549292519559018810e+00 2.290342283478056726e-02
1.200000000000000000e+03 2.548459299114452126e+00 2.233597123307284535e-02
1.230000000000000000e+03 2.541913521584343805e+00 2.184577796290249410e-02
1.260000000000000000e+03 2.548462597675087871e+00 2.099157287008568060e-02
1.290000000000000000e+03 2.551556711129267185e+00 2.058126609007048316e-02
1.320000000000000000e+03 2.548078387292618707e+00 2.156696952001748574e-02
1.350000000000000000e+03 2.546615672692330357e+00 2.048985063312396340e-02
1.380000000000000000e+03 2.547956650207318319e+00 1.981579003262236294e-02
1.410000000000000000e+03 2.549655789300366404e+00 2.058176343517251206e-02
1.440000000000000000e+03 2.546380396656889200e+00 2.037392577697907589e-02
1.470000000000000000e+03 2.538683387203334529e+00 1.953916077144567803e-02
1.500000000000000000e+03 2.548751924871484942e+00 1.901521414708947852e-02
1.530000000000000000e+03 2.544448836845938811e+00 1.822428869838793250e-02
1.560000000000000000e+03 2.546908275251284159e+00 1.767600856844787904e-02
1.590000000000000000e+03 2.541669873552936831e+00 1.799996852790301805e-02
1.620000000000000000e+03 2.546252159970499473e+00 1.694586330930070162e-02
1.650000000000000000e+03 2.551245210583316325e+00 1.638997886740593823e-02
1.680000000000000000e+03 2.554916427703882054e+00 1.679546996671363313e-02
1.710000000000000000e+03 2.556758360991172818e+00 1.559020009861635664e-02
1.740000000000000000e+03 2.559063395508805350e+00 1.601032129867968612e-02
1.770000000000000000e+03 2.560208361439883173e+00 1.648099261794164910e-02
1.800000000000000000e+03 2.553346377352488705e+00 1.675676814899510272e-02
1.830000000000000000e+03 2.547801712710210609e+00 1.662767030226170589e-02
1.860000000000000000e+03 2.547902499121438957e+00 1.644936711119132644e-02
1.890000000000000000e+03 2.547023466810238279e+00 1.577654495373742929e-02
1.920000000000000000e+03 2.551004491487321335e+00 1.509977477640818411e-02
1.950000000000000000e+03 2.543876845599065017e+00 1.518058290724082562e-02
1.980000000000000000e+03 2.539577323975401590e+00 1.486784874286247067e-02
2.010000000000000000e+03 2.535137012630079401e+00 1.499833260497769952e-02
2.040000000000000000e+03 2.528518099112326833e+00 1.488405121783066727e-02
2.070000000000000000e+03 2.525490486248511246e+00 1.474271660653354507e-02
2.100000000000000000e+03 2.519755273358405656e+00 1.468669665970694441e-02
2.130000000000000000e+03 2.513705672628538501e+00 1.428756686936784488e-02
2.160000000000000000e+03 2.517183709718014306e+00 1.449258590162443017e-02
2.190000000000000000e+03 2.521203099720763952e+00 1.484095586343419163e-02
2.220000000000000000e+03 2.519373428227195344e+00 1.447266599316344472e-02
2.250000000000000000e+03 2.520354634947215899e+00 1.485763702850438975e-02
2.280000000000000000e+03 2.519199068169502898e+00 1.473249252506493405e-02
2.310000000000000000e+03 2.515195763362536141e+00 1.445210992104925020e-02
2.340000000000000000e+03 2.514438879374390368e+00 1.475997944174420491e-02
2.370000000000000000e+03 2.512246270322668451e+00 1.479466881398949600e-02
2.400000000000000000e+03 2.513547831104271602e+00 1.423135491145715095e-02
2.430000000000000000e+03 2.513930177603824756e+00 1.391287056289075910e-02
2.460000000000000000e+03 2.507018910777223830e+00 1.340611773951613274e-02
2.490000000000000000e+03 2.512717177187866024e+00 1.414202634372165902e-02
2.520000000000000000e+03 2.513210854252665438e+00 1.369553401189136169e-02
2.550000000000000000e+03 2.513640468532216676e+00 1.347242124158701086e-02
2.580000000000000000e+03 2.514049284287903419e+00 1.383573990501028514e-02
2.610000000000000000e+03 2.518170237397745037e+00 1.377235847988683357e-02
2.640000000000000000e+03 2.519750065342882372e+00 1.398697411916344745e-02
2.670000000000000000e+03 2.518675045809659174e+00 1.373933537879854123e-02
2.700000000000000000e+03 2.518839985388875213e+00 1.376342288171752970e-02
2.730000000000000000e+03 2.513720538430204599e+00 1.328503623416468077e-02
2.760000000000000000e+03 2.514708628435433635e+00 1.360009463685953740e-02
