# # n, sigma
3.000000000000000000e+01 2.436757393994965604e+00 1.515643356140529696e-01
6.000000000000000000e+01 2.445732988766106786e+00 6.059656228524498700e-02
9.000000000000000000e+01 2.461860946316866361e+00 4.532151842399797376e-02
1.200000000000000000e+02 2.455830615416898510e+00 4.374973602318092680e-02
1.500000000000000000e+02 2.436494824200164722e+00 4.053813748774551945e-02
1.800000000000000000e+02 2.440487554710767171e+00 3.229811458392876228e-02
2.100000000000000000e+02 2.442335847038282104e+00 2.911016967758368185e-02
2.400000000000000000e+02 2.431562205087065998e+00 2.711748139937924726e-02
2.700000000000000000e+02 2.429090875617949674e+00 2.757461429861327029e-02
3.000000000000000000e+02 2.440687611132240864e+00 2.651434829944316479e-02
3.300000000000000000e+02 2.443596100296919982e+00 2.790774492984454333e-02
3.600000000000000000e+02 2.456055939124992982e+00 2.706057050048364318e-02
3.900000000000000000e+02 2.457105050096778598e+00 2.343145235081381741e-02
4.200000000000000000e+02 2.459719753368796447e+00 2.428125635762759180e-02
4.500000000000000000e+02 2.461811403621849692e+00 2.294282745783112962e-02
4.800000000000000000e+02 2.468373967230029553e+00 2.397251607593187464e-02
5.100000000000000000e+02 2.471728169279388432e+00 2.380468015632553752e-02
5.400000000000000000e+02 2.470011336893379816e+00 2.246653797941791306e-02
5.700000000000000000e+02 2.461018981773658076e+00 2.234217878938911384e-02
6.000000000000000000e+02 2.471450296658713963e+00 2.044206890877291877e-02
6.300000000000000000e+02 2.466515244546067631e+00 2.158252543149105293e-02
6.600000000000000000e+02 2.473555096321489177e+00 2.321073946025029727e-02
6.900000000000000000e+02 2.476117362058421367e+00 2.310654155163141543e-02
7.200000000000000000e+02 2.482251519092327996e+00 2.226989351704432296e-02
7.500000000000000000e+02 2.476889693464639386e+00 2.114191157260790488e-02
7.800000000000000000e+02 2.478368334062896139e+00 2.307043051830128325e-02
8.100000000000000000e+02 2.483189582454426336e+00 2.285609470191077991e-02
8.400000000000000000e+02 2.482631601590698622e+00 2.292293161745740521e-02
8.700000000000000000e+02 2.486273448309406664e+00 2.154356691469343568e-02
9.000000000000000000e+02 2.483161747748861892e+00 1.992315342526659178e-02
9.300000000000000000e+02 2.484640741434554378e+00 1.961326796252615273e-02
9.600000000000000000e+02 2.473765251804555643e+00 1.937141440029829798e-02
9.900000000000000000e+02 2.478647049438075900e+00 1.873270806138641748e-02
1.020000000000000000e+03 2.476070973035948253e+00 1.808853869847720439e-02
1.050000000000000000e+03 2.472163422844933400e+00 1.801829414207041860e-02
1.080000000000000000e+03 2.467985550269697903e+00 1.712422144144389383e-02
1.110000000000000000e+03 2.466511244263536184e+00 1.753349621795632571e-02
1.140000000000000000e+03 2.469774375430879410e+00 1.803800172430037457e-02
1.170000000000000000e+03 2.465048877171166275e+00 1.847067985359115289e-02
1.200000000000000000e+03 2.468363287938297290e+00 1.801285706178664195e-02
1.230000000000000000e+03 2.473313602529521038e+00 1.830755096314231473e-02
1.260000000000000000e+03 2.475152946626928419e+00 1.823343331663838940e-02
1.290000000000000000e+03 2.474602174140144495e+00 1.843690385308026022e-02
1.320000000000000000e+03 2.474467684744910301e+00 1.894671943235272729e-02
1.350000000000000000e+03 2.475582620751841656e+00 1.959022857934694314e-02
1.380000000000000000e+03 2.477269870745081537e+00 1.866485471972615176e-02
1.410000000000000000e+03 2.481682677843686236e+00 1.887234168676397289e-02
1.440000000000000000e+03 2.476934266022863262e+00 1.797610677121387612e-02
1.470000000000000000e+03 2.479705613646906226e+00 1.675593899162081818e-02
1.500000000000000000e+03 2.477089690464660432e+00 1.606101426521669082e-02
1.530000000000000000e+03 2.478741853791988525e+00 1.610982597873007044e-02
1.560000000000000000e+03 2.481338318302499957e+00 1.647513892848726305e-02
1.590000000000000000e+03 2.481101227603276449e+00 1.713611666971485634e-02
1.620000000000000000e+03 2.482475664872594301e+00 1.761431130492265712e-02
1.650000000000000000e+03 2.482359027583123545e+00 1.844349532854255846e-02
1.680000000000000000e+03 2.485389742986829020e+00 1.881121097311447971e-02
1.710000000000000000e+03 2.483846904306254544e+00 1.909512450044432291e-02
1.740000000000000000e+03 2.485791403024727231e+00 1.840925653493484179e-02
1.770000000000000000e+03 2.484916262977328039e+00 1.823814287286322847e-02
1.800000000000000000e+03 2.486051542608941123e+00 1.730882384197066082e-02
1.830000000000000000e+03 2.488409953359290050e+00 1.717133943654106445e-02
1.860000000000000000e+03 2.486401181137142480e+00 1.678339716038778143e-02
1.890000000000000000e+03 2.488604642689196123e+00 1.660073011846898566e-02
1.920000000000000000e+03 2.490089136707770656e+00 1.628722692191824500e-02
1.950000000000000000e+03 2.494205406940114500e+00 1.647878521441094313e-02
1.980000000000000000e+03 2.495090253546589310e+00 1.580825715481936136e-02
2.010000000000000000e+03 2.493176213807810626e+00 1.618150464146051251e-02
2.040000000000000000e+03 2.493585466343727131e+00 1.593130107252953287e-02
2.070000000000000000e+03 2.494365897672444987e+00 1.556594787818685148e-02
