# # n, sigma
3.000000000000000000e+01 2.369376587936043332e+00 9.996578722610936774e-02
6.000000000000000000e+01 3.364256478012896068e+00 1.863553962918516882e-01
9.000000000000000000e+01 3.369251184446913960e+00 2.659515708748282359e-01
1.200000000000000000e+02 3.354890599060159850e+00 4.607795189058703778e-01
1.500000000000000000e+02 3.353666840556401851e+00 6.217626321925365795e-01
1.800000000000000000e+02 3.351657801749207799e+00 3.467832071959324192e-01
2.100000000000000000e+02 3.347722613742093234e+00 2.562643483151763046e-01
2.400000000000000000e+02 3.351477766859072727e+00 8.636736134996915171e-01
2.700000000000000000e+02 3.358215269586594776e+00 1.039992431868895784e+00
3.000000000000000000e+02 3.865307263845691121e+00 1.336017156083410817e-01
3.300000000000000000e+02 3.376046836072378987e+00 4.268588725644109627e-01
3.600000000000000000e+02 3.360020687955183938e+00 4.028462404530556151e-01
3.900000000000000000e+02 3.359880005854474661e+00 3.822350847445552535e-01
4.200000000000000000e+02 3.359896404300260375e+00 3.736256463934856664e-01
4.500000000000000000e+02 3.366612960969787682e+00 3.753203452941467066e-01
4.800000000000000000e+02 3.364633912130478688e+00 7.092220954317732806e-01
5.100000000000000000e+02 3.368681617380495652e+00 3.169422843489284602e-01
5.400000000000000000e+02 3.366269392615238942e+00 4.532142895810901129e-01
5.700000000000000000e+02 3.366990305220216140e+00 5.894721968220306696e-01
6.000000000000000000e+02 3.370451156665723591e+00 4.964820237767202826e+00
6.300000000000000000e+02 3.370370223573546653e+00 1.256940519263603395e+00
6.600000000000000000e+02 3.371744375837682828e+00 1.175526382259628022e+01
6.900000000000000000e+02 3.137158426670662692e+00 1.172601194649603579e-01
7.200000000000000000e+02 3.373936546212688459e+00 1.306699281280436109e+00
7.500000000000000000e+02 3.378786853735161522e+00 6.624499780833743579e-01
7.800000000000000000e+02 3.375117764275217702e+00 5.726705750141459772e-01
8.100000000000000000e+02 3.378374576123349904e+00 4.890982584397217114e-01
8.400000000000000000e+02 3.374856310004216375e+00 3.501864933120025225e-01
8.700000000000000000e+02 3.376429043614214365e+00 3.577221977926378083e-01
