# # n, sigma
3.000000000000000000e+01 2.602815103757917914e+00 6.335397835834712110e-02
6.000000000000000000e+01 2.696165801065774748e+00 3.809487846564736657e-02
9.000000000000000000e+01 2.681236024643428806e+00 4.345098129248437663e-02
1.200000000000000000e+02 2.655314931164908465e+00 6.500281777175588582e-02
1.500000000000000000e+02 2.014103514987628962e+00 2.165210394682071104e-01
1.800000000000000000e+02 2.526164555578312321e+00 6.918166154979522864e-02
2.100000000000000000e+02 2.546952974512103118e+00 6.246660265795622724e-02
2.400000000000000000e+02 2.516646556500015564e+00 5.293593988742101991e-02
2.700000000000000000e+02 2.528323014197937812e+00 4.884927438299211527e-02
3.000000000000000000e+02 2.562693744420702302e+00 4.216658287706072372e-02
3.300000000000000000e+02 2.565610470894069906e+00 4.819918202947170993e-02
3.600000000000000000e+02 2.581228113356584419e+00 3.811184503607185220e-02
3.900000000000000000e+02 2.572240764606448238e+00 3.496097473317498483e-02
4.200000000000000000e+02 2.583372570228628096e+00 3.305161649783062983e-02
4.500000000000000000e+02 2.578309660318655716e+00 3.359402984788283780e-02
4.800000000000000000e+02 2.566584002658172992e+00 3.293294425067518766e-02
5.100000000000000000e+02 2.579007265454353881e+00 3.117398474262532068e-02
5.400000000000000000e+02 2.548756910227756300e+00 3.309661251788070802e-02
5.700000000000000000e+02 2.525356947821050912e+00 3.357244569459578998e-02
6.000000000000000000e+02 2.513135213022207104e+00 3.577106712661265453e-02
6.300000000000000000e+02 2.531711643311241655e+00 3.709655295637077216e-02
6.600000000000000000e+02 2.524574951470286877e+00 3.567215583911686333e-02
6.900000000000000000e+02 2.512539129591208287e+00 3.503520420221212239e-02
7.200000000000000000e+02 2.516748744528234383e+00 3.271907434921603186e-02
7.500000000000000000e+02 2.510406399968547309e+00 3.041122301409958373e-02
7.800000000000000000e+02 2.505262904737103113e+00 3.097326030079111323e-02
8.100000000000000000e+02 2.516658386391884772e+00 3.073382735741833627e-02
8.400000000000000000e+02 2.518097900743976325e+00 3.250773288307195336e-02
8.700000000000000000e+02 2.521161525370275491e+00 3.268280854241437799e-02
9.000000000000000000e+02 2.521791715837141901e+00 3.461531660273212130e-02
9.300000000000000000e+02 2.521938181040625171e+00 3.472208848567501921e-02
9.600000000000000000e+02 2.522792296822741864e+00 3.329465028065523718e-02
9.900000000000000000e+02 2.522634052213680089e+00 3.453513662649644600e-02
1.020000000000000000e+03 2.518391352636584202e+00 3.210114595605065985e-02
