# # n, sigma
3.000000000000000000e+01 2.037162538087635255e+00 5.429328027801664236e-01
6.000000000000000000e+01 3.355571637967925458e+00 1.243435111439837870e-01
9.000000000000000000e+01 3.060805007077377127e+00 1.783575439950881303e-01
1.200000000000000000e+02 3.848407627677254528e+00 1.183105156970151034e-01
1.500000000000000000e+02 2.010045295472336235e+00 2.472503866777691628e-01
1.800000000000000000e+02 2.022025768050842220e+00 1.959084406573407267e-01
2.100000000000000000e+02 2.012941284821101906e+00 1.645287384020381050e-01
2.400000000000000000e+02 2.465259386278254361e+00 6.163909516273241573e-02
2.700000000000000000e+02 2.465023045539187052e+00 5.591665492539610316e-02
3.000000000000000000e+02 2.473768848172178458e+00 5.313549635736084659e-02
3.300000000000000000e+02 2.481951054187656158e+00 4.550280321298397213e-02
3.600000000000000000e+02 2.485310195131493760e+00 4.385792388368537492e-02
3.900000000000000000e+02 2.495416572016544876e+00 4.064931825433131668e-02
4.200000000000000000e+02 2.485705636137048646e+00 3.981428400608262586e-02
4.500000000000000000e+02 2.489022187016570964e+00 4.132051436034944736e-02
4.800000000000000000e+02 2.497854910502258718e+00 4.397720766913416207e-02
5.100000000000000000e+02 2.508646100308398630e+00 3.709060740303213310e-02
5.400000000000000000e+02 2.516222831817059635e+00 3.236406204308573537e-02
5.700000000000000000e+02 2.519564710572075317e+00 3.310024308658143788e-02
6.000000000000000000e+02 2.513803761992877472e+00 3.050597179032451742e-02
6.300000000000000000e+02 2.511440814495119245e+00 3.048205495773981602e-02
6.600000000000000000e+02 2.512338447481191839e+00 2.784523632120848580e-02
6.900000000000000000e+02 2.513373579927641543e+00 2.777054048738351877e-02
7.200000000000000000e+02 2.515266084373159572e+00 2.666620131534341506e-02
7.500000000000000000e+02 2.516451592116753400e+00 2.522366667283941141e-02
7.800000000000000000e+02 2.513653731684732051e+00 2.462473987902232334e-02
8.100000000000000000e+02 2.512713832866266817e+00 2.408803389862387498e-02
8.400000000000000000e+02 2.509258169308859809e+00 2.383683996534790780e-02
8.700000000000000000e+02 2.508305574186442843e+00 2.471848656121038157e-02
9.000000000000000000e+02 2.511152518955624746e+00 2.357365211710616554e-02
9.300000000000000000e+02 2.510481129084048746e+00 2.262151325707976307e-02
9.600000000000000000e+02 2.513508312084085983e+00 2.215943573965097405e-02
9.900000000000000000e+02 2.517787970543529319e+00 2.240503663643493917e-02
1.020000000000000000e+03 2.517396298178559810e+00 2.250976483418407059e-02
1.050000000000000000e+03 2.519819722981604837e+00 2.246534027867256450e-02
1.080000000000000000e+03 2.520964759313918613e+00 2.298708320023405000e-02
1.110000000000000000e+03 2.523096664818196722e+00 2.241549277928970782e-02
1.140000000000000000e+03 2.524469372296615166e+00 2.160679906314647708e-02
1.170000000000000000e+03 2.523291245763374047e+00 2.148162180562382048e-02
1.200000000000000000e+03 2.523201329529726422e+00 2.170983940596731693e-02
1.230000000000000000e+03 2.521933754025315277e+00 2.170120063987361278e-02
1.260000000000000000e+03 2.519024920298404524e+00 2.109375752202594101e-02
1.290000000000000000e+03 2.520008440897025359e+00 2.034388643891953119e-02
1.320000000000000000e+03 2.513356894847873058e+00 1.913939392541859352e-02
1.350000000000000000e+03 2.512914878731569157e+00 1.895837061988801461e-02
1.380000000000000000e+03 2.511815866586251111e+00 1.851857978687800749e-02
1.410000000000000000e+03 2.510191388771201293e+00 1.821716383253925084e-02
1.440000000000000000e+03 2.512845230282319875e+00 1.731377620150869462e-02
1.470000000000000000e+03 2.511908805585704396e+00 1.624951265204865186e-02
1.500000000000000000e+03 2.511838064285936589e+00 1.620645394461859082e-02
1.530000000000000000e+03 2.510853061200415848e+00 1.603615771520852315e-02
1.560000000000000000e+03 2.511360733697487913e+00 1.574288852692581550e-02
1.590000000000000000e+03 2.512309571547550302e+00 1.516459317826060818e-02
1.620000000000000000e+03 2.514821406662838488e+00 1.503716618076902239e-02
1.650000000000000000e+03 2.514293958527281880e+00 1.461285855995872289e-02
1.680000000000000000e+03 2.512495701366518563e+00 1.405690930376400118e-02
1.710000000000000000e+03 2.511903092082213629e+00 1.472821392023753416e-02
1.740000000000000000e+03 2.510826576350579042e+00 1.417149739869606913e-02
1.770000000000000000e+03 2.510749878825425441e+00 1.439401241775975331e-02
1.800000000000000000e+03 2.511625388789342495e+00 1.387304877665020142e-02
1.830000000000000000e+03 2.509264064114357762e+00 1.313024742252619226e-02
1.860000000000000000e+03 2.509539028296380980e+00 1.328683383626926180e-02
1.890000000000000000e+03 2.507520127480200589e+00 1.290087302282626365e-02
1.920000000000000000e+03 2.506074586421600081e+00 1.257135396941168153e-02
1.950000000000000000e+03 2.507447332735448953e+00 1.191284238530004175e-02
1.980000000000000000e+03 2.507235406730289551e+00 1.255546544021713014e-02
2.010000000000000000e+03 2.505889747680276169e+00 1.304394629613196861e-02
2.040000000000000000e+03 2.505539123121091727e+00 1.309844795387771210e-02
2.070000000000000000e+03 2.506644232078014678e+00 1.322886811419433581e-02
2.100000000000000000e+03 2.507429375725267473e+00 1.409918331661530987e-02
2.130000000000000000e+03 2.508133961622877273e+00 1.376844658571444065e-02
2.160000000000000000e+03 2.510688049695702251e+00 1.356701231839133916e-02
2.190000000000000000e+03 2.509351845336353026e+00 1.333769342301064850e-02
2.220000000000000000e+03 2.508829893504785247e+00 1.363776553437204102e-02
2.250000000000000000e+03 2.510329098265629000e+00 1.289676362402153095e-02
2.280000000000000000e+03 2.510794208744372202e+00 1.297289462333541324e-02
2.310000000000000000e+03 2.508551696772429729e+00 1.305274029776934581e-02
2.340000000000000000e+03 2.505944422733235033e+00 1.274295938218263612e-02
2.370000000000000000e+03 2.507090056576973147e+00 1.273472534863429734e-02
2.400000000000000000e+03 2.506811871992634888e+00 1.257168649060542119e-02
2.430000000000000000e+03 2.508508164260834228e+00 1.266272595373859125e-02
2.460000000000000000e+03 2.506885102290306921e+00 1.294664325383623575e-02
2.490000000000000000e+03 2.505248003778923760e+00 1.357368669002933723e-02
2.520000000000000000e+03 2.504338346124964865e+00 1.318897953254495430e-02
2.550000000000000000e+03 2.505379259746420839e+00 1.336666223790122267e-02
2.580000000000000000e+03 2.504923185717637946e+00 1.352810245856924526e-02
2.610000000000000000e+03 2.504521904958777245e+00 1.349923797382125527e-02
2.640000000000000000e+03 2.504089603285800436e+00 1.313216912104320407e-02
2.670000000000000000e+03 2.504547417841539669e+00 1.258423604238791647e-02
2.700000000000000000e+03 2.505251597286518361e+00 1.259536685577256239e-02
2.730000000000000000e+03 2.504649274592775310e+00 1.251013189948410771e-02
2.760000000000000000e+03 2.504265899426996178e+00 1.261150044171255140e-02
2.790000000000000000e+03 2.503950808406833151e+00 1.238129051510365036e-02
2.820000000000000000e+03 2.503063068276912606e+00 1.253925629788754485e-02
2.850000000000000000e+03 2.502464895444499682e+00 1.241162143713406621e-02
2.880000000000000000e+03 2.501580087600310698e+00 1.291771749942418474e-02
2.910000000000000000e+03 2.502414743898192739e+00 1.292564650358263463e-02
2.940000000000000000e+03 2.502168993835498956e+00 1.308809890063257660e-02
2.970000000000000000e+03 2.500570491541347362e+00 1.280686508756374506e-02
3.000000000000000000e+03 2.501357508185448886e+00 1.251124680293237874e-02
3.030000000000000000e+03 2.499066623518069630e+00 1.269111037694353565e-02
3.060000000000000000e+03 2.498159006973367013e+00 1.293542853726190565e-02
3.090000000000000000e+03 2.498225698285456708e+00 1.320887166959639793e-02
3.120000000000000000e+03 2.498733576726481775e+00 1.347067218082319100e-02
3.150000000000000000e+03 2.499189488772282974e+00 1.360789999170657419e-02
3.180000000000000000e+03 2.499672466182805142e+00 1.371321921849491358e-02
3.210000000000000000e+03 2.499659025703747428e+00 1.347375058988055894e-02
3.240000000000000000e+03 2.500108964813086310e+00 1.376008940729565519e-02
3.270000000000000000e+03 2.498689378604934674e+00 1.374000858874409314e-02
3.300000000000000000e+03 2.497091305230369152e+00 1.385568639104352295e-02
3.330000000000000000e+03 2.496192051504756648e+00 1.351828731603362498e-02
3.360000000000000000e+03 2.497540491510791050e+00 1.330782717655368957e-02
3.390000000000000000e+03 2.497670032126769080e+00 1.351925057172233269e-02
3.420000000000000000e+03 2.496900473763495221e+00 1.364636545392489131e-02
3.450000000000000000e+03 2.496007946428334012e+00 1.365798136428028955e-02
3.480000000000000000e+03 2.496455882539935445e+00 1.341881824382295911e-02
3.510000000000000000e+03 2.497383713921969228e+00 1.354810343195996143e-02
3.540000000000000000e+03 2.496952238112568168e+00 1.341237241210716316e-02
3.570000000000000000e+03 2.497468883695420416e+00 1.365444846115979223e-02
3.600000000000000000e+03 2.496444083456558438e+00 1.340499313097161943e-02
3.630000000000000000e+03 2.494710469711218348e+00 1.327852310635915627e-02
3.660000000000000000e+03 2.494885339325535689e+00 1.381163080040015943e-02
3.690000000000000000e+03 2.494447991598804037e+00 1.381669216102842344e-02
3.720000000000000000e+03 2.495075706065775556e+00 1.419044808939714380e-02
3.750000000000000000e+03 2.494299137260636012e+00 1.414669065929947782e-02
3.780000000000000000e+03 2.493693914115383770e+00 1.398000926022636460e-02
3.810000000000000000e+03 2.492782093156836520e+00 1.410406189254438669e-02
3.840000000000000000e+03 2.493024081326619790e+00 1.396546782503145859e-02
3.870000000000000000e+03 2.492764564164280383e+00 1.353364796553576353e-02
3.900000000000000000e+03 2.493972341201510012e+00 1.300590746756718347e-02
3.930000000000000000e+03 2.493825609669561238e+00 1.292398657688425059e-02
3.960000000000000000e+03 2.492986556472958526e+00 1.306622880463627345e-02
3.990000000000000000e+03 2.494318547987490309e+00 1.283510652565498893e-02
4.020000000000000000e+03 2.493660501204064239e+00 1.246013157929810183e-02
4.050000000000000000e+03 2.494251128651746807e+00 1.205506618594800322e-02
4.080000000000000000e+03 2.494235205565362268e+00 1.193478680872147452e-02
4.110000000000000000e+03 2.493183996929432045e+00 1.186544286290543496e-02
4.140000000000000000e+03 2.491714284969492876e+00 1.213417275355176822e-02
4.170000000000000000e+03 2.491100989362890150e+00 1.223077231228275434e-02
4.200000000000000000e+03 2.491924544288254051e+00 1.217312572006380191e-02
4.230000000000000000e+03 2.491518665356749818e+00 1.188045654973770258e-02
4.260000000000000000e+03 2.491545677260051050e+00 1.140508439533949314e-02
4.290000000000000000e+03 2.491382890782182891e+00 1.148754893527699147e-02
4.320000000000000000e+03 2.490888736631497125e+00 1.144277044922397540e-02
4.350000000000000000e+03 2.491285741712675250e+00 1.127783797756111081e-02
4.380000000000000000e+03 2.491246810997806538e+00 1.153514701589583580e-02
4.410000000000000000e+03 2.490576284891520942e+00 1.166594251189394769e-02
4.440000000000000000e+03 2.490972091077198414e+00 1.171379200508252012e-02
4.470000000000000000e+03 2.489229588339669341e+00 1.155651464305973604e-02
4.500000000000000000e+03 2.489373223750015018e+00 1.110526848094363535e-02
4.530000000000000000e+03 2.488222940041688425e+00 1.093821522382259701e-02
4.560000000000000000e+03 2.488381792408413062e+00 1.066803523403816838e-02
4.590000000000000000e+03 2.487317630846060279e+00 1.062290514073529514e-02
4.620000000000000000e+03 2.486898933772181852e+00 1.047468743023581041e-02
4.650000000000000000e+03 2.487405256221601579e+00 1.062529525829682478e-02
4.680000000000000000e+03 2.488034978706053391e+00 1.073653391009177401e-02
4.710000000000000000e+03 2.487829785806290772e+00 1.097377591095228741e-02
4.740000000000000000e+03 2.487521579063720623e+00 1.136305371687805661e-02
4.770000000000000000e+03 2.486771302721368038e+00 1.121561404129310137e-02
4.800000000000000000e+03 2.487823558652715317e+00 1.110907253944165389e-02
4.830000000000000000e+03 2.487525896573209216e+00 1.097391556221844269e-02
4.860000000000000000e+03 2.488839954104040686e+00 1.115687814103773733e-02
4.890000000000000000e+03 2.489569276065014769e+00 1.102340485636245718e-02
4.920000000000000000e+03 2.488244322477753734e+00 1.091157015979096583e-02
4.950000000000000000e+03 2.488728332801065868e+00 1.111983735364552826e-02
4.980000000000000000e+03 2.487627038145213021e+00 1.096702755155310599e-02
5.010000000000000000e+03 2.489029717343425485e+00 1.069025804867528538e-02
5.040000000000000000e+03 2.487243146925398385e+00 1.058496834635535948e-02
5.070000000000000000e+03 2.487981760096658945e+00 1.066846185718291207e-02
5.100000000000000000e+03 2.489112974899335029e+00 1.104089021326562330e-02
5.130000000000000000e+03 2.489729293705811752e+00 1.093206011453021556e-02
5.160000000000000000e+03 2.489909205934870418e+00 1.086071865077670173e-02
5.190000000000000000e+03 2.489073121608003536e+00 1.085629286747654201e-02
5.220000000000000000e+03 2.488823069891335837e+00 1.072329961552985662e-02
5.250000000000000000e+03 2.488892598401293732e+00 1.071541695070198953e-02
5.280000000000000000e+03 2.489151261069699306e+00 1.052375336306783996e-02
5.310000000000000000e+03 2.491029708323506231e+00 1.040913659013944538e-02
5.340000000000000000e+03 2.491486996389087327e+00 1.041297768545775167e-02
5.370000000000000000e+03 2.492063227522679281e+00 1.040134047762938246e-02
5.400000000000000000e+03 2.492632375005430223e+00 1.055092431890539660e-02
5.430000000000000000e+03 2.492880403927724142e+00 1.027735520872910015e-02
5.460000000000000000e+03 2.493626828928319217e+00 1.007724449105171054e-02
5.490000000000000000e+03 2.494026782196964831e+00 9.927859411775045301e-03
5.520000000000000000e+03 2.494121925356598268e+00 9.516496977770690091e-03
5.550000000000000000e+03 2.493810735423676483e+00 9.572334949765564857e-03
5.580000000000000000e+03 2.493656996656597791e+00 9.560310469737678257e-03
5.610000000000000000e+03 2.493912754401703680e+00 9.615440603820295251e-03
5.640000000000000000e+03 2.494407078423394264e+00 9.457675104931798082e-03
5.670000000000000000e+03 2.495005527677579771e+00 9.632107148331478172e-03
5.700000000000000000e+03 2.494780657194786144e+00 9.391908085953769303e-03
5.730000000000000000e+03 2.494639469925691078e+00 9.491445594407293615e-03
5.760000000000000000e+03 2.494813139886861819e+00 9.445227535833619278e-03
5.790000000000000000e+03 2.495255680318359204e+00 9.246458951578785321e-03
5.820000000000000000e+03 2.494428913446370188e+00 9.143212408046511031e-03
5.850000000000000000e+03 2.494670857439076350e+00 8.965349879220879323e-03
5.880000000000000000e+03 2.494791514537440413e+00 8.792637109218756283e-03
5.910000000000000000e+03 2.495249003893915685e+00 8.946738105549228298e-03
5.940000000000000000e+03 2.494415265442276208e+00 9.125210321835743738e-03
5.970000000000000000e+03 2.494637932691377902e+00 9.457773703292747872e-03
6.000000000000000000e+03 2.495713455336761477e+00 9.545475800502568192e-03
6.030000000000000000e+03 2.495273894302150630e+00 9.623396230622180414e-03
6.060000000000000000e+03 2.495770893696961590e+00 9.746134445825397480e-03
6.090000000000000000e+03 2.496236347895123053e+00 9.574062370995006788e-03
6.120000000000000000e+03 2.496389005202750866e+00 9.721999507774626431e-03
6.150000000000000000e+03 2.495799545203194025e+00 9.388522910837417482e-03
6.180000000000000000e+03 2.495502831131682253e+00 9.556192135723310874e-03
6.210000000000000000e+03 2.495082997003501113e+00 9.352631559814464021e-03
6.240000000000000000e+03 2.494627152001475334e+00 9.440197922710865178e-03
6.270000000000000000e+03 2.494974880405618656e+00 9.550018703760284819e-03
6.300000000000000000e+03 2.495637979614850455e+00 9.790693043760631889e-03
6.330000000000000000e+03 2.495688310975010538e+00 9.682801703150084593e-03
6.360000000000000000e+03 2.496484291768398034e+00 9.531380434709191274e-03
6.390000000000000000e+03 2.495316597112378521e+00 9.390543408896917521e-03
6.420000000000000000e+03 2.494858597029660174e+00 9.404877912173542284e-03
6.450000000000000000e+03 2.494989776380857283e+00 9.789250591745549471e-03
6.480000000000000000e+03 2.495655418255388280e+00 9.949565583080809822e-03
6.510000000000000000e+03 2.496563301863211404e+00 1.000233124287833002e-02
6.540000000000000000e+03 2.496626464909953214e+00 1.003164144233006407e-02
6.570000000000000000e+03 2.496770747273155067e+00 9.731658493124368398e-03
6.600000000000000000e+03 2.496912293225734381e+00 9.872170601151239455e-03
6.630000000000000000e+03 2.497267847684105480e+00 9.407504625862055450e-03
6.660000000000000000e+03 2.496830497511536517e+00 9.545634853486374347e-03
6.690000000000000000e+03 2.496961691527261440e+00 9.439183789657912271e-03
6.720000000000000000e+03 2.497267989868005689e+00 9.174920276742444536e-03
6.750000000000000000e+03 2.496735970824019546e+00 9.396272444203018770e-03
6.780000000000000000e+03 2.496226042952049085e+00 9.471106392009140396e-03
6.810000000000000000e+03 2.496562186432614627e+00 9.289872882853144123e-03
6.840000000000000000e+03 2.495897855762382544e+00 9.168558291736529295e-03
6.870000000000000000e+03 2.496080862316623517e+00 9.106088989124695374e-03
6.900000000000000000e+03 2.495945276045550720e+00 9.335699164141919928e-03
6.930000000000000000e+03 2.496282769594769579e+00 9.416673524079075680e-03
6.960000000000000000e+03 2.496284917515323443e+00 9.610036443931900541e-03
6.990000000000000000e+03 2.496389887981345979e+00 9.643048425891692990e-03
7.020000000000000000e+03 2.496037991688278002e+00 9.550022773989972832e-03
7.050000000000000000e+03 2.495708209862742333e+00 9.642488645237689074e-03
7.080000000000000000e+03 2.495738907652692351e+00 9.588457728717185435e-03
7.110000000000000000e+03 2.495299315479851732e+00 9.286442190649618275e-03
7.140000000000000000e+03 2.495067610431026317e+00 9.409790375153838024e-03
7.170000000000000000e+03 2.495393100228038286e+00 9.307658465406293269e-03
7.200000000000000000e+03 2.494977975931845560e+00 9.106782576802252560e-03
