# # n, sigma
3.000000000000000000e+01 2.455561771738390853e+00 6.623954793583294864e-02
6.000000000000000000e+01 2.389352356061331673e+00 4.447966924752608936e-02
9.000000000000000000e+01 2.452816715140349935e+00 4.368869794349135305e-02
1.200000000000000000e+02 2.419824525139393945e+00 5.766447826569812835e-02
1.500000000000000000e+02 2.379363186184489720e+00 5.628848875975806659e-02
1.800000000000000000e+02 2.431886330527761597e+00 4.937492064326306357e-02
2.100000000000000000e+02 2.485989540550406218e+00 4.352496900463245777e-02
2.400000000000000000e+02 2.474774660084136713e+00 3.777913875381891384e-02
2.700000000000000000e+02 2.464569411911555985e+00 3.427191682387223381e-02
3.000000000000000000e+02 2.483395843070543840e+00 3.572194582588298500e-02
3.300000000000000000e+02 2.474234875000086653e+00 3.171796299868412383e-02
3.600000000000000000e+02 2.480405414530505670e+00 3.238142763366612387e-02
3.900000000000000000e+02 2.479018222144756312e+00 3.186400551034561379e-02
4.200000000000000000e+02 2.477267248115362808e+00 2.989661151921930993e-02
4.500000000000000000e+02 2.464712737613771854e+00 2.759527028100908913e-02
4.800000000000000000e+02 2.470373801149507553e+00 2.570037682317691946e-02
5.100000000000000000e+02 2.463554893094805465e+00 2.494731077535931527e-02
5.400000000000000000e+02 2.457280812445691520e+00 2.571173103708327204e-02
5.700000000000000000e+02 2.453671515523053515e+00 2.436703569440868550e-02
6.000000000000000000e+02 2.448323437394406277e+00 2.420619863758415730e-02
6.300000000000000000e+02 2.448174482302594157e+00 2.140057232024119779e-02
6.600000000000000000e+02 2.443077799376599746e+00 2.063383808668347447e-02
6.900000000000000000e+02 2.445609816770489164e+00 1.896761039595306134e-02
7.200000000000000000e+02 2.453956907329186254e+00 1.899670835624122853e-02
7.500000000000000000e+02 2.453339041216543670e+00 1.905209002677771615e-02
7.800000000000000000e+02 2.450851423284210462e+00 1.935643683925195035e-02
8.100000000000000000e+02 2.449215955050425109e+00 2.071662524180752085e-02
8.400000000000000000e+02 2.454347608712749818e+00 1.922782666988596262e-02
8.700000000000000000e+02 2.449738486566599427e+00 1.909385396422347281e-02
9.000000000000000000e+02 2.455548047796437316e+00 1.850759402195595316e-02
9.300000000000000000e+02 2.454708184714712527e+00 1.899546031461022549e-02
9.600000000000000000e+02 2.467344475052509534e+00 1.771776737893426476e-02
9.900000000000000000e+02 2.469745307147478641e+00 1.763459952741185804e-02
1.020000000000000000e+03 2.469129608735148640e+00 1.701791971355618230e-02
1.050000000000000000e+03 2.470673339828271420e+00 1.743739203860431020e-02
1.080000000000000000e+03 2.468296836860568000e+00 1.735390555321208311e-02
1.110000000000000000e+03 2.471936302007943009e+00 1.719517478067221147e-02
1.140000000000000000e+03 2.472837357077114717e+00 1.806823680805872898e-02
1.170000000000000000e+03 2.472930588243595906e+00 1.889682103350267053e-02
1.200000000000000000e+03 2.480804694139874922e+00 1.843059660939695699e-02
1.230000000000000000e+03 2.482431570027743284e+00 1.901382667034318130e-02
1.260000000000000000e+03 2.476564694321064408e+00 1.946200767034003340e-02
1.290000000000000000e+03 2.476277916127335388e+00 1.842844621438665884e-02
1.320000000000000000e+03 2.469883269772063183e+00 1.746509880746874646e-02
1.350000000000000000e+03 2.463967650524366615e+00 1.772199998459273243e-02
1.380000000000000000e+03 2.461261860316395378e+00 1.857460201959407198e-02
1.410000000000000000e+03 2.464524871317059773e+00 1.906788512566373953e-02
1.440000000000000000e+03 2.465134642996518632e+00 1.860255795468980858e-02
1.470000000000000000e+03 2.462941830567623391e+00 1.888194031555836053e-02
1.500000000000000000e+03 2.464991627196985391e+00 1.857254111834332269e-02
1.530000000000000000e+03 2.465529972169616446e+00 1.760069025053797101e-02
1.560000000000000000e+03 2.462229302825106991e+00 1.737966717688193413e-02
1.590000000000000000e+03 2.463381506092311657e+00 1.637821075161919118e-02
1.620000000000000000e+03 2.465151205684543712e+00 1.561886808686253035e-02
1.650000000000000000e+03 2.470002135566935930e+00 1.529783567064680466e-02
1.680000000000000000e+03 2.470909677304340857e+00 1.537853176876091167e-02
1.710000000000000000e+03 2.473079130539681092e+00 1.478762817463710570e-02
1.740000000000000000e+03 2.473893072141915450e+00 1.513974644658981454e-02
1.770000000000000000e+03 2.471818894081755147e+00 1.483868701820402827e-02
1.800000000000000000e+03 2.481098953758779313e+00 1.495390687829930426e-02
1.830000000000000000e+03 2.485065509932011807e+00 1.423085358606811408e-02
1.860000000000000000e+03 2.485567166095214553e+00 1.432306751286856195e-02
1.890000000000000000e+03 2.487892707215557220e+00 1.422104328147190053e-02
1.920000000000000000e+03 2.488984860495649265e+00 1.371386504668210479e-02
1.950000000000000000e+03 2.491414660338493459e+00 1.322137600558282930e-02
1.980000000000000000e+03 2.488706758016570042e+00 1.337271532276673898e-02
2.010000000000000000e+03 2.486935783150156176e+00 1.303602179008653619e-02
2.040000000000000000e+03 2.488669166686228618e+00 1.264671164551683935e-02
2.070000000000000000e+03 2.490838375571734709e+00 1.248014522011390084e-02
2.100000000000000000e+03 2.488739142896734702e+00 1.200616403142392395e-02
2.130000000000000000e+03 2.486627404313195289e+00 1.219859105025317483e-02
2.160000000000000000e+03 2.485856967271894202e+00 1.231074524529515712e-02
2.190000000000000000e+03 2.485201180002996058e+00 1.146841666808390454e-02
2.220000000000000000e+03 2.485602852834862375e+00 1.110381716908659215e-02
2.250000000000000000e+03 2.484126662970280730e+00 1.091373958925253261e-02
2.280000000000000000e+03 2.477407861672119349e+00 1.039124719872600196e-02
2.310000000000000000e+03 2.477490553566878972e+00 1.050225242388897612e-02
2.340000000000000000e+03 2.476808765755615926e+00 1.072099742873855281e-02
2.370000000000000000e+03 2.476613369173822576e+00 1.033088695491239488e-02
2.400000000000000000e+03 2.476565889643116858e+00 9.824699101475285745e-03
2.430000000000000000e+03 2.478981568718093609e+00 9.175375955445250198e-03
2.460000000000000000e+03 2.480495623442741771e+00 8.904003344083833218e-03
2.490000000000000000e+03 2.477583923930533505e+00 9.022363364634062785e-03
2.520000000000000000e+03 2.476153007453292698e+00 8.741597600424576633e-03
2.550000000000000000e+03 2.477942122401610270e+00 8.744366417907753486e-03
2.580000000000000000e+03 2.473745657455844960e+00 8.503512880185219378e-03
2.610000000000000000e+03 2.475368449383618774e+00 8.431034229899724702e-03
2.640000000000000000e+03 2.477508236768403371e+00 8.482111997234996481e-03
2.670000000000000000e+03 2.473316805438903199e+00 8.854592035262589395e-03
2.700000000000000000e+03 2.472924198264159656e+00 8.910114761903184868e-03
2.730000000000000000e+03 2.472014643099742948e+00 9.213260087749707700e-03
2.760000000000000000e+03 2.471868867014312965e+00 9.761340217508606906e-03
2.790000000000000000e+03 2.473181579622657278e+00 9.632407589076385709e-03
2.820000000000000000e+03 2.475551664445343913e+00 9.785179581040937338e-03
2.850000000000000000e+03 2.475189028541983749e+00 9.659651962910603684e-03
2.880000000000000000e+03 2.477567099238468185e+00 9.856107532772011640e-03
2.910000000000000000e+03 2.478199386433021179e+00 9.604143887509113825e-03
2.940000000000000000e+03 2.474673467283098116e+00 9.830890544912032278e-03
2.970000000000000000e+03 2.474891108881194679e+00 9.563767180755158165e-03
3.000000000000000000e+03 2.473698157928574837e+00 9.580593054648298135e-03
3.030000000000000000e+03 2.476445684561526139e+00 9.897554854580822153e-03
3.060000000000000000e+03 2.475428532978438678e+00 9.772475552837037518e-03
3.090000000000000000e+03 2.474262436023401346e+00 1.012454394549163438e-02
3.120000000000000000e+03 2.471714581886195194e+00 1.022948431275924781e-02
3.150000000000000000e+03 2.470926684173939236e+00 9.713340382857560754e-03
3.180000000000000000e+03 2.470787681176030315e+00 9.581780376621489015e-03
