# # n, sigma
3.000000000000000000e+01 3.152313396113373578e+00 1.582005116403686074e-01
6.000000000000000000e+01 1.685577045833151821e+00 1.880628066282617750e-01
9.000000000000000000e+01 2.511201977521879236e+00 1.216349845253175826e-01
1.200000000000000000e+02 2.538490055637895537e+00 5.175273221401323342e-02
1.500000000000000000e+02 2.527675400374311376e+00 4.557624891071321294e-02
1.800000000000000000e+02 2.539307506236252010e+00 4.630122596402179436e-02
2.100000000000000000e+02 2.539051137398697922e+00 4.230042556632673811e-02
2.400000000000000000e+02 2.537707018636161216e+00 3.907920481360523807e-02
2.700000000000000000e+02 2.525841306178260748e+00 3.553607448600856755e-02
3.000000000000000000e+02 2.523728228907834659e+00 3.363875348576040453e-02
3.300000000000000000e+02 2.523216662569416791e+00 3.106505520802861631e-02
3.600000000000000000e+02 2.522363689227974604e+00 3.095770251786100075e-02
3.900000000000000000e+02 2.521544107785282041e+00 3.233775739274859229e-02
4.200000000000000000e+02 2.522380272742965612e+00 3.517393533176686043e-02
4.500000000000000000e+02 2.524661496278707951e+00 3.648243861483786016e-02
4.800000000000000000e+02 2.520740909850639699e+00 3.296855938169188788e-02
5.100000000000000000e+02 2.521579438111938298e+00 2.935425714127174249e-02
5.400000000000000000e+02 2.528242714868821572e+00 3.040956350088066737e-02
5.700000000000000000e+02 2.526457254016285958e+00 2.968910652268844444e-02
6.000000000000000000e+02 2.530559506838796935e+00 3.062108161783084342e-02
6.300000000000000000e+02 2.520236338947623445e+00 2.958854963116373110e-02
6.600000000000000000e+02 2.516033478734627238e+00 3.019176363302264812e-02
6.900000000000000000e+02 2.515345599984985192e+00 2.895460187013773959e-02
7.200000000000000000e+02 2.507689192282207991e+00 2.888433484732542619e-02
7.500000000000000000e+02 2.505825929885018954e+00 2.740059715977658655e-02
7.800000000000000000e+02 2.505507692594862057e+00 2.727899033496446538e-02
8.100000000000000000e+02 2.504049602500835192e+00 2.626384424602512535e-02
8.400000000000000000e+02 2.504645737826910690e+00 2.552508414997728056e-02
8.700000000000000000e+02 2.510007635590073338e+00 2.551968755195156702e-02
9.000000000000000000e+02 2.505107136777049881e+00 2.405944245739442822e-02
9.300000000000000000e+02 2.503804689630594549e+00 2.282356097492976160e-02
9.600000000000000000e+02 2.505549467954801379e+00 2.309282524157690170e-02
9.900000000000000000e+02 2.497811384048427730e+00 2.270240235445784502e-02
