# # n, sigma
3.000000000000000000e+01 2.496302149672851467e+00 1.343731805178959016e-01
6.000000000000000000e+01 2.499291533489731432e+00 6.156748774449325584e-02
9.000000000000000000e+01 2.429143726559922722e+00 4.081802458318650739e-02
1.200000000000000000e+02 2.456549721698869870e+00 3.817192380104735688e-02
1.500000000000000000e+02 2.436671632905479168e+00 3.861517283851099991e-02
1.800000000000000000e+02 2.437782175277857455e+00 3.278541129977023683e-02
2.100000000000000000e+02 2.440968233577067270e+00 3.590568418912364751e-02
2.400000000000000000e+02 2.446952673770554476e+00 3.979703266110701243e-02
2.700000000000000000e+02 2.450307652983438000e+00 3.789662428926286047e-02
3.000000000000000000e+02 2.465186405236817535e+00 3.732326056019012739e-02
3.300000000000000000e+02 2.468479523745707116e+00 3.540304764497705092e-02
3.600000000000000000e+02 2.458967095024932270e+00 3.881664420744494748e-02
3.900000000000000000e+02 2.458582090404016984e+00 3.849959382830425714e-02
4.200000000000000000e+02 2.476837900743014576e+00 3.610593416195638505e-02
4.500000000000000000e+02 2.478158502125380913e+00 3.162923681238805074e-02
4.800000000000000000e+02 2.470836614811298571e+00 3.398506558417715984e-02
5.100000000000000000e+02 2.468974082522277236e+00 3.163354987479196495e-02
5.400000000000000000e+02 2.468481647816820779e+00 2.949876263389951750e-02
5.700000000000000000e+02 2.470924774639271071e+00 2.829787073852786314e-02
6.000000000000000000e+02 2.469671151894357930e+00 2.411405464846796964e-02
6.300000000000000000e+02 2.466669368263906925e+00 2.635155438008586135e-02
6.600000000000000000e+02 2.471320304307056848e+00 2.638666505602468154e-02
6.900000000000000000e+02 2.468321959105685970e+00 2.582227513560570592e-02
7.200000000000000000e+02 2.464745831497280548e+00 2.554717908815559019e-02
7.500000000000000000e+02 2.459106674832994166e+00 2.525903412653332167e-02
7.800000000000000000e+02 2.461196827700770751e+00 2.513445718050688268e-02
8.100000000000000000e+02 2.458581626772579298e+00 2.571399127932476672e-02
8.400000000000000000e+02 2.464364481431855491e+00 2.575510268295269634e-02
8.700000000000000000e+02 2.465862037921697780e+00 2.764361385533111934e-02
9.000000000000000000e+02 2.466456135293132679e+00 2.787781430561275808e-02
9.300000000000000000e+02 2.464768378620875389e+00 2.733470468027285674e-02
9.600000000000000000e+02 2.465252949072007205e+00 2.646656486203223871e-02
9.900000000000000000e+02 2.460862859015804371e+00 2.626380601687805863e-02
1.020000000000000000e+03 2.453933974163431841e+00 2.682841773684440864e-02
1.050000000000000000e+03 2.450928169453820082e+00 2.629877304633841673e-02
1.080000000000000000e+03 2.454001161287954424e+00 2.421673554443548593e-02
1.110000000000000000e+03 2.454688826016865555e+00 2.443014152179336790e-02
1.140000000000000000e+03 2.459151692747165274e+00 2.394631076210464171e-02
1.170000000000000000e+03 2.461015656044972300e+00 2.324258593237752205e-02
1.200000000000000000e+03 2.461140253884959606e+00 2.303144393806651202e-02
1.230000000000000000e+03 2.458416186216267452e+00 2.218907947029087960e-02
1.260000000000000000e+03 2.462618492306735352e+00 2.255963875642514466e-02
1.290000000000000000e+03 2.468297252805900399e+00 2.132995950100805005e-02
1.320000000000000000e+03 2.472295797370657855e+00 2.088813061081208622e-02
1.350000000000000000e+03 2.470514449919573696e+00 2.113260321499598263e-02
1.380000000000000000e+03 2.470283170105208370e+00 2.018538408632737646e-02
