# # n, sigma
3.000000000000000000e+01 3.372430376527449258e+00 1.649956016316728169e-01
6.000000000000000000e+01 2.456759345012558438e+00 9.638881706721461051e-02
9.000000000000000000e+01 2.481731755510838688e+00 6.693350267927371255e-02
1.200000000000000000e+02 2.482563008387531855e+00 6.409903904911676276e-02
1.500000000000000000e+02 1.611708138345180341e+00 3.261162533164267407e-01
1.800000000000000000e+02 2.578287705971612720e+00 4.149392942430038533e-02
2.100000000000000000e+02 2.597607568527189326e+00 4.259509701857618763e-02
2.400000000000000000e+02 2.580825883582433811e+00 4.368809808417978974e-02
2.700000000000000000e+02 2.550810318511887331e+00 4.934608373532035214e-02
3.000000000000000000e+02 2.536984673887670905e+00 4.107649232400382294e-02
3.300000000000000000e+02 1.600900771803870137e+00 2.336184972685793892e-01
3.600000000000000000e+02 2.572444119477161451e+00 4.338149760893628831e-02
3.900000000000000000e+02 2.580015236727974060e+00 4.150657726948101672e-02
4.200000000000000000e+02 2.568502642254115287e+00 3.776882920260987014e-02
4.500000000000000000e+02 2.551253919935337677e+00 4.008614072805424117e-02
4.800000000000000000e+02 2.570900808180948349e+00 3.555961231430652958e-02
5.100000000000000000e+02 2.567778071777654603e+00 3.227410154971883938e-02
5.400000000000000000e+02 2.555015237422574081e+00 3.429953829921374153e-02
5.700000000000000000e+02 2.567658192116747617e+00 3.364251956289480289e-02
6.000000000000000000e+02 2.551906085176442129e+00 3.322534258070081181e-02
6.300000000000000000e+02 2.547583988301181712e+00 3.169865590281002732e-02
6.600000000000000000e+02 2.549647450948181682e+00 3.149247622511582717e-02
6.900000000000000000e+02 2.541081622949310059e+00 3.154146623829020418e-02
7.200000000000000000e+02 2.542099024943881069e+00 2.818147348115191547e-02
7.500000000000000000e+02 2.553254090094058792e+00 2.715381658347865504e-02
7.800000000000000000e+02 2.556808951060869806e+00 2.673660637053852304e-02
8.100000000000000000e+02 2.555976712813260665e+00 2.568312032035890979e-02
8.400000000000000000e+02 2.546756746135872440e+00 2.503502600813009918e-02
8.700000000000000000e+02 2.531636202419633275e+00 2.656487703706074399e-02
9.000000000000000000e+02 2.536618042831888076e+00 2.682910425726100709e-02
9.300000000000000000e+02 2.532854662932351175e+00 2.633282275726846200e-02
9.600000000000000000e+02 2.536038627009340463e+00 2.463772031152657721e-02
9.900000000000000000e+02 2.532643487547838301e+00 2.462032215220190043e-02
1.020000000000000000e+03 2.530250011446800951e+00 2.464093052625882657e-02
1.050000000000000000e+03 2.533152795468119667e+00 2.572766180307696146e-02
1.080000000000000000e+03 2.539068372210502744e+00 2.564679592500603705e-02
1.110000000000000000e+03 2.535292228396444525e+00 2.434822168015839464e-02
1.140000000000000000e+03 2.529033539150709498e+00 2.357676305695354663e-02
1.170000000000000000e+03 2.531748736648977260e+00 2.382196120463420802e-02
1.200000000000000000e+03 2.539178304782080176e+00 2.375082608294113232e-02
1.230000000000000000e+03 2.539505222553351871e+00 2.330340317092742530e-02
1.260000000000000000e+03 2.538415183242583861e+00 2.355515561357695090e-02
1.290000000000000000e+03 2.533344743206061622e+00 2.436672781968351673e-02
1.320000000000000000e+03 2.533848975419753291e+00 2.461528739180507061e-02
1.350000000000000000e+03 2.532960315088450542e+00 2.387318228059170586e-02
1.380000000000000000e+03 2.533708213578315327e+00 2.309868881490241901e-02
1.410000000000000000e+03 2.526050709647872594e+00 2.178787626436447245e-02
1.440000000000000000e+03 2.521293595868411508e+00 2.218768173707117569e-02
1.470000000000000000e+03 2.521111339611771918e+00 2.142972035817480511e-02
1.500000000000000000e+03 2.520760792846345133e+00 2.097635104516293314e-02
1.530000000000000000e+03 2.524232014944214786e+00 2.132524887475354541e-02
