# # n, sigma
3.000000000000000000e+01 2.543647537502897737e+00 5.951854624740260391e-02
6.000000000000000000e+01 2.298316731418037495e+00 4.267972977184457395e-02
9.000000000000000000e+01 2.493407102467837699e+00 4.276208561926258395e-02
1.200000000000000000e+02 2.505503433145067405e+00 3.473039641987675508e-02
1.500000000000000000e+02 2.513943942389663011e+00 4.446979225532471380e-02
1.800000000000000000e+02 2.533257632529260395e+00 4.705526170487810134e-02
2.100000000000000000e+02 2.493526123052141941e+00 3.809987144638862788e-02
2.400000000000000000e+02 2.482840718354019316e+00 3.102098866240314556e-02
2.700000000000000000e+02 2.467100437458355167e+00 3.323962667601412097e-02
3.000000000000000000e+02 2.467817455289746942e+00 2.987061151781859880e-02
3.300000000000000000e+02 2.459396186434737341e+00 2.952633505055176147e-02
3.600000000000000000e+02 2.455479717767960146e+00 3.074609010997139680e-02
3.900000000000000000e+02 2.434747501290253524e+00 2.812609296248727228e-02
4.200000000000000000e+02 2.451011717497045161e+00 2.872565019124175348e-02
4.500000000000000000e+02 2.428544650648591485e+00 2.849142183522089186e-02
4.800000000000000000e+02 2.465635233155161199e+00 2.712672890064215733e-02
5.100000000000000000e+02 2.467703864328596008e+00 2.779301278273718992e-02
5.400000000000000000e+02 2.470940007145380424e+00 3.075824848808371773e-02
5.700000000000000000e+02 2.474177414157982202e+00 2.873653614773660422e-02
6.000000000000000000e+02 2.484631273348290925e+00 2.827851048627224792e-02
6.300000000000000000e+02 2.490978367722046283e+00 2.548345084429784468e-02
6.600000000000000000e+02 2.484479143199481932e+00 2.403766223287230955e-02
6.900000000000000000e+02 2.481953250235818587e+00 2.527837706842300108e-02
7.200000000000000000e+02 2.488101037845886321e+00 2.515730032426670773e-02
7.500000000000000000e+02 2.504605942704099864e+00 2.529186232552603497e-02
7.800000000000000000e+02 2.513126223723650909e+00 2.439139780356532755e-02
8.100000000000000000e+02 2.507112564321884562e+00 2.444296929488121856e-02
8.400000000000000000e+02 2.506352581963959381e+00 2.387181300885207053e-02
8.700000000000000000e+02 2.507211276452104176e+00 2.715542017033121397e-02
9.000000000000000000e+02 2.510542627256755921e+00 2.614533449764268325e-02
9.300000000000000000e+02 2.507358469341921303e+00 2.574878881240674766e-02
9.600000000000000000e+02 2.510631703522753444e+00 2.511559707258053525e-02
9.900000000000000000e+02 2.519266456787580655e+00 2.545574121169358328e-02
1.020000000000000000e+03 2.525424854740625058e+00 2.496636737961872160e-02
1.050000000000000000e+03 2.522054550377339499e+00 2.456674134273382354e-02
1.080000000000000000e+03 2.519990686721529816e+00 2.473760319147715048e-02
1.110000000000000000e+03 2.516748544726280290e+00 2.436985057020812917e-02
1.140000000000000000e+03 2.517278565722893102e+00 2.519184882143844437e-02
1.170000000000000000e+03 2.524448829245712123e+00 2.391442768625773665e-02
1.200000000000000000e+03 2.529425004377060304e+00 2.327259871496848570e-02
1.230000000000000000e+03 2.528282937822296628e+00 2.262314612446258977e-02
1.260000000000000000e+03 2.527462535258569343e+00 2.327338374401956983e-02
1.290000000000000000e+03 2.523963534529658936e+00 2.256216104170367248e-02
1.320000000000000000e+03 2.523238155550190154e+00 2.101204256437497891e-02
1.350000000000000000e+03 2.519255075906404961e+00 2.150292943590740788e-02
1.380000000000000000e+03 2.522446077162929345e+00 2.101236518812250181e-02
1.410000000000000000e+03 2.515414124276076357e+00 1.948478780905665841e-02
1.440000000000000000e+03 2.516616178565629358e+00 1.977812032882607027e-02
1.470000000000000000e+03 2.515861631366922424e+00 1.955903728163557384e-02
1.500000000000000000e+03 2.508119830396553951e+00 1.716285749864026461e-02
1.530000000000000000e+03 2.511742294794196084e+00 1.780222312003365559e-02
1.560000000000000000e+03 2.510068287295245337e+00 1.731260051742998518e-02
1.590000000000000000e+03 2.507649394984904134e+00 1.726515844595702051e-02
1.620000000000000000e+03 2.510188405649204757e+00 1.829225940946237888e-02
1.650000000000000000e+03 2.512355464499342439e+00 1.793034014670744081e-02
1.680000000000000000e+03 2.511955914784156807e+00 1.666901069733720334e-02
1.710000000000000000e+03 2.512682138949841271e+00 1.790535707276429134e-02
1.740000000000000000e+03 2.517690101675002179e+00 1.786219227127398834e-02
1.770000000000000000e+03 2.516868312931665574e+00 1.830924237146576428e-02
1.800000000000000000e+03 2.515207747847278963e+00 1.802291607919009539e-02
1.830000000000000000e+03 2.515743214661543270e+00 1.734393250329039141e-02
1.860000000000000000e+03 2.517248883315902130e+00 1.643314472503481019e-02
1.890000000000000000e+03 2.519290602118615219e+00 1.686441244640330198e-02
1.920000000000000000e+03 2.519474352432446107e+00 1.717630916707920188e-02
1.950000000000000000e+03 2.525357871366854301e+00 1.793150382933091785e-02
1.980000000000000000e+03 2.524973330181669695e+00 1.848645528142807068e-02
2.010000000000000000e+03 2.525961033038338410e+00 1.802493145973411981e-02
2.040000000000000000e+03 2.523632896979487672e+00 1.861628208981861224e-02
2.070000000000000000e+03 2.522634773130091990e+00 1.871066196552161401e-02
2.100000000000000000e+03 2.523044462695648082e+00 1.915006351158715647e-02
2.130000000000000000e+03 2.520975726100288750e+00 1.899952351946690085e-02
2.160000000000000000e+03 2.515545854803288961e+00 1.870364927508053748e-02
2.190000000000000000e+03 2.518742003647048922e+00 1.887507317609338903e-02
2.220000000000000000e+03 2.520337595856800839e+00 1.935774166828946666e-02
2.250000000000000000e+03 2.521847610957601571e+00 1.843090483695574919e-02
2.280000000000000000e+03 2.524661542810152870e+00 1.912059118847186587e-02
2.310000000000000000e+03 2.520153691134642937e+00 1.985334989538353398e-02
2.340000000000000000e+03 2.519542106166514639e+00 1.939598193751569666e-02
2.370000000000000000e+03 2.518842987751100271e+00 1.890245092152792114e-02
