# # n, sigma
3.000000000000000000e+01 4.433960062412523051e+00 3.149723581215240209e-01
6.000000000000000000e+01 1.898026436386823113e+00 1.083145291658331316e-01
9.000000000000000000e+01 1.920499943443032098e+00 9.638939796208513544e-02
1.200000000000000000e+02 2.408450471949020955e+00 4.879538249184161430e-02
1.500000000000000000e+02 1.943925800218583966e+00 6.933267263321875318e-02
1.800000000000000000e+02 2.389136938457833814e+00 3.291873621851224008e-02
2.100000000000000000e+02 2.384330391456272125e+00 3.156153605475383456e-02
2.400000000000000000e+02 2.405002994567025265e+00 3.081671768872848438e-02
2.700000000000000000e+02 2.439830464385742470e+00 3.526651229187826447e-02
3.000000000000000000e+02 2.447875029963634042e+00 2.820481552276303885e-02
3.300000000000000000e+02 2.452810400830037096e+00 2.784381210811648702e-02
3.600000000000000000e+02 2.454242843531671880e+00 3.099900295950651363e-02
3.900000000000000000e+02 2.466255020492623018e+00 3.179618440613805885e-02
4.200000000000000000e+02 2.463923058487388129e+00 3.279337925533018505e-02
4.500000000000000000e+02 2.457739388996253993e+00 3.497810132701630742e-02
4.800000000000000000e+02 2.469452995126633077e+00 3.096339820382291302e-02
5.100000000000000000e+02 2.471666561252221950e+00 3.140684140982456102e-02
5.400000000000000000e+02 2.459671323073833182e+00 3.118542091588614312e-02
5.700000000000000000e+02 2.470239863151126869e+00 2.992381707072878580e-02
6.000000000000000000e+02 2.463501393629650149e+00 3.001876638865188379e-02
6.300000000000000000e+02 2.464573971184520040e+00 2.904218111725919566e-02
6.600000000000000000e+02 2.464087396366075655e+00 2.834560654000602836e-02
6.900000000000000000e+02 2.467722574691620263e+00 2.938818883048830918e-02
7.200000000000000000e+02 2.468758425563019721e+00 2.794161528477144205e-02
7.500000000000000000e+02 2.467085885248196497e+00 2.531081478546841693e-02
7.800000000000000000e+02 2.463859169828444884e+00 2.536229788558982609e-02
8.100000000000000000e+02 2.476129238483382178e+00 2.495107413992252512e-02
8.400000000000000000e+02 2.469085984909032749e+00 2.424645942781820593e-02
8.700000000000000000e+02 2.471004399578477617e+00 2.543419048009259303e-02
9.000000000000000000e+02 2.469018743256422788e+00 2.432157027215571185e-02
9.300000000000000000e+02 2.466298811742085650e+00 2.702607954459990136e-02
9.600000000000000000e+02 2.462345748712366778e+00 2.854822297517353377e-02
9.900000000000000000e+02 2.467496586091718402e+00 2.927328597067638608e-02
1.020000000000000000e+03 2.464663662233868013e+00 2.737722528757582582e-02
1.050000000000000000e+03 2.466801018010599478e+00 2.704987742065865369e-02
1.080000000000000000e+03 2.464975693413974600e+00 2.758340215341016990e-02
1.110000000000000000e+03 2.469737700659346835e+00 2.933556503024095652e-02
1.140000000000000000e+03 2.469735603644565458e+00 2.824177727420741288e-02
1.170000000000000000e+03 2.467066946847146003e+00 2.816076659367206317e-02
1.200000000000000000e+03 2.465570701676144338e+00 2.723649818608139470e-02
1.230000000000000000e+03 2.464060526508646820e+00 2.758336349826472078e-02
1.260000000000000000e+03 2.456831684717933673e+00 2.596871285163302595e-02
1.290000000000000000e+03 2.459587753585255943e+00 2.645103340602288078e-02
1.320000000000000000e+03 2.463669495757214722e+00 2.529433542404542143e-02
1.350000000000000000e+03 2.467310862529915383e+00 2.405636177775069898e-02
1.380000000000000000e+03 2.472214317070350553e+00 2.358266574297280052e-02
1.410000000000000000e+03 2.468287259936497335e+00 2.286603163464150448e-02
1.440000000000000000e+03 2.464737966027057414e+00 2.347772641950846353e-02
1.470000000000000000e+03 2.466860932168775999e+00 2.301359690385038070e-02
1.500000000000000000e+03 2.464557084611727511e+00 2.151640676361658844e-02
1.530000000000000000e+03 2.468156822022245400e+00 2.013248172521566251e-02
1.560000000000000000e+03 2.471424453241860331e+00 1.953849022003366354e-02
1.590000000000000000e+03 2.466823885170779551e+00 1.855202631019265552e-02
1.620000000000000000e+03 2.468310441589972370e+00 1.842677133036087211e-02
1.650000000000000000e+03 2.466379837652385554e+00 1.917802481144194326e-02
1.680000000000000000e+03 2.466878485859198999e+00 1.982427701323527525e-02
1.710000000000000000e+03 2.471084332180764065e+00 2.021228329229862036e-02
1.740000000000000000e+03 2.474382576191168415e+00 1.981761324408907662e-02
1.770000000000000000e+03 2.475508342291123043e+00 1.995688840515743440e-02
1.800000000000000000e+03 2.475021655889984906e+00 1.983750326809996870e-02
1.830000000000000000e+03 2.475837809279664903e+00 1.972721941436652790e-02
1.860000000000000000e+03 2.477906826412538788e+00 1.923545788574500259e-02
1.890000000000000000e+03 2.477515709190802884e+00 1.871253604883738042e-02
1.920000000000000000e+03 2.475547435252134498e+00 1.858108706968625290e-02
1.950000000000000000e+03 2.475777842891680347e+00 1.859395397996179908e-02
1.980000000000000000e+03 2.478047878758374623e+00 1.758090914520460055e-02
2.010000000000000000e+03 2.476332617969315475e+00 1.696237900308764784e-02
2.040000000000000000e+03 2.479123175262481382e+00 1.647995553922361814e-02
2.070000000000000000e+03 2.479695983545322058e+00 1.594768060153188907e-02
2.100000000000000000e+03 2.476149600678754226e+00 1.629572434248860793e-02
2.130000000000000000e+03 2.475418869277426381e+00 1.566181679330375803e-02
2.160000000000000000e+03 2.474929498962562313e+00 1.566329310245207981e-02
2.190000000000000000e+03 2.476301257334706296e+00 1.513504453646437667e-02
2.220000000000000000e+03 2.478133248953413137e+00 1.413859646850396980e-02
2.250000000000000000e+03 2.476390141333904449e+00 1.420193681745014237e-02
2.280000000000000000e+03 2.476899262764998610e+00 1.408746250370922562e-02
2.310000000000000000e+03 2.478804305455311052e+00 1.475064290007027309e-02
2.340000000000000000e+03 2.479482768150518712e+00 1.473264873980316414e-02
2.370000000000000000e+03 2.482927479496668255e+00 1.440309997156321610e-02
2.400000000000000000e+03 2.482682916768797377e+00 1.509951535465810582e-02
2.430000000000000000e+03 2.482734409214706783e+00 1.480489688453201849e-02
2.460000000000000000e+03 2.481728994691691170e+00 1.443150245543351265e-02
2.490000000000000000e+03 2.480250690694789650e+00 1.400955010636108222e-02
2.520000000000000000e+03 2.481338243934600563e+00 1.360655319514898244e-02
2.550000000000000000e+03 2.480578552511469859e+00 1.366606255204597282e-02
2.580000000000000000e+03 2.480947030482060889e+00 1.359667568676119383e-02
2.610000000000000000e+03 2.481762522634197943e+00 1.336541773014628988e-02
2.640000000000000000e+03 2.484284830611355410e+00 1.338107295870638418e-02
2.670000000000000000e+03 2.483949730758164165e+00 1.301198124549288009e-02
2.700000000000000000e+03 2.484462729387601598e+00 1.268210632757581745e-02
2.730000000000000000e+03 2.483357227830332636e+00 1.264913642198759770e-02
2.760000000000000000e+03 2.484202627516673090e+00 1.272896110437066186e-02
2.790000000000000000e+03 2.482942276822154959e+00 1.232273071370110391e-02
2.820000000000000000e+03 2.483347752041178857e+00 1.213981471547651882e-02
2.850000000000000000e+03 2.482902472937217553e+00 1.175497241103738537e-02
2.880000000000000000e+03 2.484461171222739129e+00 1.225533816221309989e-02
2.910000000000000000e+03 2.483895392476361597e+00 1.204552982307813269e-02
2.940000000000000000e+03 2.486131223142505675e+00 1.213337725904057966e-02
2.970000000000000000e+03 2.486006739764211826e+00 1.168701464972277809e-02
3.000000000000000000e+03 2.483923553014923957e+00 1.196327911350771218e-02
3.030000000000000000e+03 2.483699179376839705e+00 1.191691779516900092e-02
3.060000000000000000e+03 2.484633554253157239e+00 1.161983795816509159e-02
3.090000000000000000e+03 2.484756170687329124e+00 1.206976000782765054e-02
3.120000000000000000e+03 2.485743818622286661e+00 1.265770941711736979e-02
3.150000000000000000e+03 2.487482700621457266e+00 1.244222767930550436e-02
3.180000000000000000e+03 2.488011968806025376e+00 1.225926122586751092e-02
3.210000000000000000e+03 2.487954334845654536e+00 1.258326654820474989e-02
3.240000000000000000e+03 2.487942291954325036e+00 1.242887229564082312e-02
3.270000000000000000e+03 2.488972872317610108e+00 1.264869816288469347e-02
3.300000000000000000e+03 2.489788126324647077e+00 1.269875233021210657e-02
3.330000000000000000e+03 2.488299743475434589e+00 1.252872426175782178e-02
3.360000000000000000e+03 2.485341628892001165e+00 1.214002755676952226e-02
3.390000000000000000e+03 2.484569378337217582e+00 1.196503398844806117e-02
3.420000000000000000e+03 2.485775420238137912e+00 1.119762205040567872e-02
3.450000000000000000e+03 2.485955885440652935e+00 1.110409224311712482e-02
3.480000000000000000e+03 2.486885292529665392e+00 1.150669899450038752e-02
3.510000000000000000e+03 2.488696795242470117e+00 1.126372162284541498e-02
3.540000000000000000e+03 2.488426266303721768e+00 1.087236821504959129e-02
3.570000000000000000e+03 2.488096439540847804e+00 1.073378462429056338e-02
3.600000000000000000e+03 2.488162382968659436e+00 1.082409668600379203e-02
3.630000000000000000e+03 2.487196087298616298e+00 1.081248679609982805e-02
3.660000000000000000e+03 2.487072803479269290e+00 1.133456645041119003e-02
3.690000000000000000e+03 2.486969799794381153e+00 1.110834081291279217e-02
3.720000000000000000e+03 2.486500062253787391e+00 1.117980081329312744e-02
3.750000000000000000e+03 2.486997106306155558e+00 1.119634969178538025e-02
3.780000000000000000e+03 2.487738469530484942e+00 1.130244780364812913e-02
3.810000000000000000e+03 2.488065097062050590e+00 1.109490502753785433e-02
3.840000000000000000e+03 2.488903049985869753e+00 1.114800631731042123e-02
3.870000000000000000e+03 2.488623874592907015e+00 1.125523636182824277e-02
3.900000000000000000e+03 2.486895344019424137e+00 1.075813128415483398e-02
3.930000000000000000e+03 2.487659650531120370e+00 1.110330853480476915e-02
3.960000000000000000e+03 2.488551524605395748e+00 1.074466162716623124e-02
3.990000000000000000e+03 2.487780519062742890e+00 1.101396291219742737e-02
4.020000000000000000e+03 2.489452059433545639e+00 1.095514824139429307e-02
4.050000000000000000e+03 2.488179007089168060e+00 1.106217706596160193e-02
4.080000000000000000e+03 2.488248798681357954e+00 1.058391989951834415e-02
4.110000000000000000e+03 2.486937600017282701e+00 1.082643750014363089e-02
