# # n, sigma
3.000000000000000000e+01 3.517606150600835146e+00 2.087541099310308013e-01
6.000000000000000000e+01 2.492355421557066464e+00 6.672748849316738340e-02
9.000000000000000000e+01 2.469433106264859124e+00 5.503930492673644870e-02
1.200000000000000000e+02 2.459824886956214929e+00 4.569270341410035241e-02
1.500000000000000000e+02 2.489995632461758035e+00 4.086833023344225296e-02
1.800000000000000000e+02 2.501768649577058579e+00 5.240794391227850124e-02
2.100000000000000000e+02 2.486803892276622019e+00 4.939087887597010118e-02
2.400000000000000000e+02 2.517404319300521109e+00 5.064240958450372948e-02
2.700000000000000000e+02 2.549103947629477229e+00 4.818988323395997919e-02
3.000000000000000000e+02 2.527346479015164071e+00 3.765915974747078426e-02
3.300000000000000000e+02 2.506827080086052373e+00 3.310052436323732139e-02
3.600000000000000000e+02 2.527003975478926634e+00 3.253025112917871248e-02
3.900000000000000000e+02 2.512735637002075695e+00 3.126869359304385032e-02
4.200000000000000000e+02 2.513052604468761775e+00 3.053733680609085205e-02
4.500000000000000000e+02 2.485051235605264530e+00 2.961223411487779941e-02
4.800000000000000000e+02 2.467205466926546631e+00 3.166603479122660075e-02
5.100000000000000000e+02 2.462502252227494193e+00 3.306487307493029965e-02
5.400000000000000000e+02 2.451760567625492104e+00 3.318982421229560442e-02
5.700000000000000000e+02 2.447179119957168858e+00 2.983444699815198525e-02
6.000000000000000000e+02 2.441290099683507631e+00 3.040591742368415132e-02
6.300000000000000000e+02 2.444528332996023234e+00 3.221899732763530699e-02
6.600000000000000000e+02 2.453594902515438214e+00 3.026044817995816524e-02
6.900000000000000000e+02 2.469607510195672262e+00 2.851490700384957250e-02
7.200000000000000000e+02 2.471507361681265280e+00 3.069759180364575388e-02
7.500000000000000000e+02 2.479739123525665612e+00 3.103094208886981314e-02
7.800000000000000000e+02 2.484767216324569539e+00 2.971002362542660494e-02
8.100000000000000000e+02 2.489532718512726284e+00 3.037006830640531091e-02
8.400000000000000000e+02 2.489450753366188707e+00 2.866259452496267013e-02
8.700000000000000000e+02 2.494709998651278848e+00 2.902661944921166789e-02
