# # n, sigma
3.000000000000000000e+01 2.783784979729618581e+00 1.358247245976988427e-01
6.000000000000000000e+01 3.490524705550325013e+00 1.655447183156517066e-01
9.000000000000000000e+01 2.907885200845650164e+00 1.042932067771622368e-01
1.200000000000000000e+02 2.364129787987665043e+00 6.038191486082007675e-02
1.500000000000000000e+02 2.859577042098125688e+00 1.019434884539360819e-01
1.800000000000000000e+02 2.413897600021293499e+00 5.977013157527343717e-02
2.100000000000000000e+02 2.424216048731622664e+00 6.172081077224712831e-02
2.400000000000000000e+02 2.437156521624071814e+00 4.704102027068432501e-02
2.700000000000000000e+02 2.474787577155301399e+00 5.040734608995276617e-02
3.000000000000000000e+02 2.489382415753210065e+00 5.111871053522714509e-02
3.300000000000000000e+02 2.502321001024980340e+00 4.886904587474371481e-02
3.600000000000000000e+02 2.485823251137926349e+00 4.079151508022633987e-02
3.900000000000000000e+02 2.487724000784768297e+00 3.743593490708832516e-02
4.200000000000000000e+02 2.495005847140648658e+00 3.783788742857942256e-02
4.500000000000000000e+02 2.481978729989875010e+00 3.956078548007917889e-02
4.800000000000000000e+02 2.498270708328095946e+00 3.815032327486384683e-02
5.100000000000000000e+02 2.481999593408031224e+00 3.830466540433379724e-02
5.400000000000000000e+02 2.459295972442371525e+00 3.789930524965241104e-02
5.700000000000000000e+02 2.478856766161760206e+00 3.378977973154985437e-02
6.000000000000000000e+02 2.485356690335374541e+00 3.322606758163716006e-02
6.300000000000000000e+02 2.495883569245863409e+00 3.428580016577827821e-02
6.600000000000000000e+02 2.493742940268499186e+00 3.209734700058804180e-02
6.900000000000000000e+02 2.489270894815625912e+00 3.064777824212676707e-02
7.200000000000000000e+02 2.481184499061340087e+00 3.196752335510067572e-02
7.500000000000000000e+02 2.488378049359240229e+00 3.300830464559764005e-02
7.800000000000000000e+02 2.482648612171604263e+00 3.316083776179715864e-02
8.100000000000000000e+02 2.491730839454969537e+00 3.271712298624909754e-02
8.400000000000000000e+02 2.484926503539647502e+00 3.163755035366062895e-02
8.700000000000000000e+02 2.488523856751680974e+00 3.104501968329191619e-02
9.000000000000000000e+02 2.491434654652929570e+00 2.911936577121167907e-02
9.300000000000000000e+02 2.494961372865829308e+00 2.879861386489097896e-02
9.600000000000000000e+02 2.494385938138091952e+00 2.809152808243348814e-02
9.900000000000000000e+02 2.491116793022932097e+00 2.689328944228092447e-02
1.020000000000000000e+03 2.491959786357750950e+00 2.700216505183768503e-02
1.050000000000000000e+03 2.497957522277581610e+00 2.572250901636785950e-02
1.080000000000000000e+03 2.495959309549694805e+00 2.701539279401396140e-02
1.110000000000000000e+03 2.500624945095499818e+00 2.581151395900465467e-02
1.140000000000000000e+03 2.507942041548851808e+00 2.576912254080616568e-02
1.170000000000000000e+03 2.510429662299876075e+00 2.464510212377804196e-02
1.200000000000000000e+03 2.516964526444515737e+00 2.383906315292945097e-02
1.230000000000000000e+03 2.520991921047847750e+00 2.322294781100144728e-02
1.260000000000000000e+03 2.521154052414678493e+00 2.146131754593023563e-02
1.290000000000000000e+03 2.519835749790779289e+00 2.171114113711679339e-02
1.320000000000000000e+03 2.515643976123654202e+00 2.146418466555067781e-02
1.350000000000000000e+03 2.517476570578046413e+00 2.129550301197133053e-02
1.380000000000000000e+03 2.511127489077287667e+00 2.147909082162462874e-02
1.410000000000000000e+03 2.510647664346377095e+00 2.051315549314011721e-02
1.440000000000000000e+03 2.504875485422681791e+00 2.009497332291223376e-02
1.470000000000000000e+03 2.503668119931651059e+00 1.984796932394242153e-02
1.500000000000000000e+03 2.500487433769250867e+00 1.994095466407996495e-02
1.530000000000000000e+03 2.505774019877270220e+00 1.946082642868372445e-02
1.560000000000000000e+03 2.506998553213950931e+00 1.962805280313993650e-02
1.590000000000000000e+03 2.502192450894367148e+00 1.941457196572196967e-02
1.620000000000000000e+03 2.501579595053053939e+00 1.850895940002680526e-02
