# # n, sigma
3.000000000000000000e+01 4.384989345223981871e+00 9.872311539020149629e-02
6.000000000000000000e+01 4.380999119333584879e+00 1.212160448078243719e-01
9.000000000000000000e+01 3.839329694794619385e+00 2.052141915447120712e-01
1.200000000000000000e+02 4.409129680839762422e+00 1.605557388032186061e-01
1.500000000000000000e+02 2.521783812953829251e+00 6.614136507873456805e-02
1.800000000000000000e+02 2.502455134675610093e+00 5.818094562212142856e-02
2.100000000000000000e+02 2.501225113674326650e+00 4.976701310958018404e-02
2.400000000000000000e+02 2.494170660637445636e+00 5.381667413463900318e-02
2.700000000000000000e+02 2.480843919456227287e+00 5.695469891345845276e-02
3.000000000000000000e+02 2.484002060723856431e+00 5.829645992961782902e-02
3.300000000000000000e+02 2.493935332190120757e+00 6.145351425266810941e-02
3.600000000000000000e+02 2.500754489900716138e+00 5.606883263853543881e-02
3.900000000000000000e+02 2.491668323369119253e+00 5.529867857664871184e-02
4.200000000000000000e+02 2.491543289030911268e+00 4.480399949148421851e-02
4.500000000000000000e+02 2.484750782413799541e+00 4.173822436313880807e-02
4.800000000000000000e+02 2.483986319199696258e+00 3.881245936181499517e-02
5.100000000000000000e+02 2.484857026732445462e+00 3.424535688635836628e-02
5.400000000000000000e+02 2.488338801780664689e+00 3.334634951622438004e-02
5.700000000000000000e+02 2.487899803984750857e+00 3.128335920438273660e-02
6.000000000000000000e+02 2.477013458928671419e+00 2.765029013832211169e-02
6.300000000000000000e+02 2.487742319457559859e+00 2.637884812398645640e-02
6.600000000000000000e+02 2.487851564642562963e+00 2.615958245961022208e-02
6.900000000000000000e+02 2.485817262185484378e+00 2.344900077104710226e-02
7.200000000000000000e+02 2.482277063106693049e+00 2.393063356235080805e-02
7.500000000000000000e+02 2.483691312643699245e+00 2.319563606666513386e-02
7.800000000000000000e+02 2.486055573309589484e+00 2.320587116956018131e-02
8.100000000000000000e+02 2.478111824654938733e+00 2.328835306984786135e-02
8.400000000000000000e+02 2.478950269992910904e+00 2.290941742930838881e-02
8.700000000000000000e+02 2.478995075034103213e+00 2.225299095669719049e-02
9.000000000000000000e+02 2.482514896219151890e+00 2.075772715641347257e-02
9.300000000000000000e+02 2.475244113219124742e+00 2.047357083784337797e-02
9.600000000000000000e+02 2.471470928254364985e+00 2.081580488556776867e-02
9.900000000000000000e+02 2.471844867555536673e+00 2.120176656315513053e-02
1.020000000000000000e+03 2.479196279672606362e+00 2.133289312173557162e-02
1.050000000000000000e+03 2.482870855391347220e+00 1.939302270816583434e-02
1.080000000000000000e+03 2.490240501035737353e+00 2.006646102973311252e-02
1.110000000000000000e+03 2.485752364628014188e+00 1.973207781121079016e-02
1.140000000000000000e+03 2.486393519684307662e+00 1.942233948935328733e-02
1.170000000000000000e+03 2.490430114503352055e+00 2.071555649762176279e-02
1.200000000000000000e+03 2.485321715818950228e+00 2.110358448942759035e-02
1.230000000000000000e+03 2.485099159559496673e+00 2.126809542701890016e-02
1.260000000000000000e+03 2.482234667654443339e+00 2.075966227015977814e-02
1.290000000000000000e+03 2.482155374322238650e+00 2.057380371178643003e-02
1.320000000000000000e+03 2.483297804311864976e+00 1.955294391531219381e-02
1.350000000000000000e+03 2.484620158896016839e+00 2.013564879092368670e-02
1.380000000000000000e+03 2.484588424631140047e+00 2.057565794551667257e-02
1.410000000000000000e+03 2.484439257686384739e+00 1.986053615195550182e-02
1.440000000000000000e+03 2.485802694897294440e+00 1.923394773367410535e-02
1.470000000000000000e+03 2.485583750529789970e+00 1.927959172771386009e-02
1.500000000000000000e+03 2.488888339559404805e+00 1.866046854183890658e-02
1.530000000000000000e+03 2.487935564623836804e+00 1.782082009076375526e-02
1.560000000000000000e+03 2.489654271561170251e+00 1.848180798343024983e-02
1.590000000000000000e+03 2.485977470501759434e+00 1.758290271508466604e-02
1.620000000000000000e+03 2.483945916640830642e+00 1.699739077178897065e-02
1.650000000000000000e+03 2.480842539749842590e+00 1.624285598985421297e-02
1.680000000000000000e+03 2.483107435317895462e+00 1.513184034603149569e-02
1.710000000000000000e+03 2.487247579675290421e+00 1.528749055010080772e-02
1.740000000000000000e+03 2.485663290938306957e+00 1.509478529792754667e-02
1.770000000000000000e+03 2.483791292860423106e+00 1.478224269439529920e-02
1.800000000000000000e+03 2.487315924858116034e+00 1.480861872250969352e-02
1.830000000000000000e+03 2.489998145762291948e+00 1.464132826523201029e-02
1.860000000000000000e+03 2.489356353322777604e+00 1.434965956231327479e-02
1.890000000000000000e+03 2.489310740074764272e+00 1.445580190963631322e-02
1.920000000000000000e+03 2.489944689356481167e+00 1.439001045269979080e-02
1.950000000000000000e+03 2.486872124090852232e+00 1.404811637652817434e-02
1.980000000000000000e+03 2.486218564637328932e+00 1.362164778569095736e-02
2.010000000000000000e+03 2.487398691928941474e+00 1.263998362323421470e-02
2.040000000000000000e+03 2.485145158006238919e+00 1.228946187995143442e-02
2.070000000000000000e+03 2.485350885364153495e+00 1.226499966177559478e-02
2.100000000000000000e+03 2.486406601027230323e+00 1.204420230999459634e-02
2.130000000000000000e+03 2.487781087434010718e+00 1.207465629273267102e-02
2.160000000000000000e+03 2.492413762049426218e+00 1.191377939765436884e-02
2.190000000000000000e+03 2.492511580316556064e+00 1.229008431716816126e-02
2.220000000000000000e+03 2.493958209148819272e+00 1.234480927001722558e-02
2.250000000000000000e+03 2.492889445458319475e+00 1.273940994680118101e-02
2.280000000000000000e+03 2.493411872299779120e+00 1.204636639827711894e-02
2.310000000000000000e+03 2.493994144373886446e+00 1.215120058222592288e-02
2.340000000000000000e+03 2.491928161582235290e+00 1.229718680232149038e-02
2.370000000000000000e+03 2.491091515105440468e+00 1.251521727770034745e-02
2.400000000000000000e+03 2.493425542755389301e+00 1.244798130869484605e-02
2.430000000000000000e+03 2.493677688854484487e+00 1.273416537024390019e-02
2.460000000000000000e+03 2.493362026423676880e+00 1.239757199335564213e-02
2.490000000000000000e+03 2.493939471518854756e+00 1.307974849428129339e-02
2.520000000000000000e+03 2.494037037132430523e+00 1.239352235153790872e-02
2.550000000000000000e+03 2.493306274675898493e+00 1.245945166452728028e-02
2.580000000000000000e+03 2.496591689484623622e+00 1.220414964471956340e-02
2.610000000000000000e+03 2.496169992883847222e+00 1.181061105564320222e-02
2.640000000000000000e+03 2.494810513623006543e+00 1.156295691087692347e-02
2.670000000000000000e+03 2.495790604318632422e+00 1.136863171830065390e-02
2.700000000000000000e+03 2.495856602190159812e+00 1.134261417143136823e-02
2.730000000000000000e+03 2.497211275700851996e+00 1.154134265727460237e-02
2.760000000000000000e+03 2.498057309790613356e+00 1.195682828861664541e-02
2.790000000000000000e+03 2.499314455665297974e+00 1.194694349204201630e-02
2.820000000000000000e+03 2.500214304514349895e+00 1.205100910721703354e-02
2.850000000000000000e+03 2.501056471339917930e+00 1.174997072427833716e-02
2.880000000000000000e+03 2.502536219614924562e+00 1.209848757534579163e-02
2.910000000000000000e+03 2.503607255732615666e+00 1.196401963850241522e-02
2.940000000000000000e+03 2.502613136468562871e+00 1.230981870100004809e-02
2.970000000000000000e+03 2.503686141004933141e+00 1.200442379000641116e-02
