# # n, sigma
3.000000000000000000e+01 2.245504672987834738e+00 1.008701013792189655e-01
6.000000000000000000e+01 2.609549426187935506e+00 6.594359430612786732e-02
9.000000000000000000e+01 2.434367058239557124e+00 6.817013746788784523e-02
1.200000000000000000e+02 2.405330449482061983e+00 5.936506047032761441e-02
1.500000000000000000e+02 2.457395464647379235e+00 5.033419172273672498e-02
1.800000000000000000e+02 2.464264823830687234e+00 4.241774102927488299e-02
2.100000000000000000e+02 2.469276389403319172e+00 4.009352141655412455e-02
2.400000000000000000e+02 2.450826385762909787e+00 3.671861179812877657e-02
2.700000000000000000e+02 2.459774618295068827e+00 3.535857722303799300e-02
3.000000000000000000e+02 2.452877554653984493e+00 3.518632124586858201e-02
3.300000000000000000e+02 2.453235036017629156e+00 3.555613168336167057e-02
3.600000000000000000e+02 2.451819382407703252e+00 3.326319553764165576e-02
3.900000000000000000e+02 2.457142853747458222e+00 3.467437628814597217e-02
4.200000000000000000e+02 2.461858373639785658e+00 3.097733258384898283e-02
4.500000000000000000e+02 2.468731618206141398e+00 3.158303042152494494e-02
4.800000000000000000e+02 2.464274528338903369e+00 2.981372117892243725e-02
5.100000000000000000e+02 2.469198332299515020e+00 2.892527201651198115e-02
5.400000000000000000e+02 2.473295326399830962e+00 2.584196041479921643e-02
5.700000000000000000e+02 2.470132328876257777e+00 2.522049682653938751e-02
6.000000000000000000e+02 2.472513599178682409e+00 2.593000775424741597e-02
6.300000000000000000e+02 2.480843488563751364e+00 2.641505433265407474e-02
6.600000000000000000e+02 2.480709489028361414e+00 2.548244332344348426e-02
6.900000000000000000e+02 2.482227249229691513e+00 2.289744924730303596e-02
7.200000000000000000e+02 2.479251669178465622e+00 2.378175373041622326e-02
7.500000000000000000e+02 2.485162245809903414e+00 2.401946779006538038e-02
7.800000000000000000e+02 2.479999506855091074e+00 2.315128195254985422e-02
8.100000000000000000e+02 2.483257704859858084e+00 2.367412489671133838e-02
8.400000000000000000e+02 2.486053905086142102e+00 2.378169727401949901e-02
8.700000000000000000e+02 2.484585056041451523e+00 2.406516033435202734e-02
9.000000000000000000e+02 2.485619344091610117e+00 2.370741896976619884e-02
9.300000000000000000e+02 2.486221445244361394e+00 2.191287292447621424e-02
9.600000000000000000e+02 2.484585038282213887e+00 2.125215952111533455e-02
9.900000000000000000e+02 2.489190318481491637e+00 2.098579241642873489e-02
1.020000000000000000e+03 2.481372554315955270e+00 2.186649668800835430e-02
1.050000000000000000e+03 2.474830016716028869e+00 2.256545793003486566e-02
1.080000000000000000e+03 2.475065911506937777e+00 2.205557172003979813e-02
1.110000000000000000e+03 2.479688059237883824e+00 2.175598699588978877e-02
1.140000000000000000e+03 2.479697770265384626e+00 2.191829271296626136e-02
1.170000000000000000e+03 2.481631977330694738e+00 2.179961030708409825e-02
1.200000000000000000e+03 2.481552401558314802e+00 2.131898718241811638e-02
1.230000000000000000e+03 2.483194855777293153e+00 2.101450023030763947e-02
1.260000000000000000e+03 2.483708103225868769e+00 2.110916324014975795e-02
1.290000000000000000e+03 2.480933146752112073e+00 1.986720812524558899e-02
1.320000000000000000e+03 2.481072826124650632e+00 1.992289830362026920e-02
1.350000000000000000e+03 2.486414418258342529e+00 1.916202220045909108e-02
1.380000000000000000e+03 2.487119704440019063e+00 1.852538616809700292e-02
1.410000000000000000e+03 2.486306940665144349e+00 1.807877841465242372e-02
1.440000000000000000e+03 2.485842591640064825e+00 1.866218544232258608e-02
