# # n, sigma
3.000000000000000000e+01 2.577417938090335259e+00 6.991797804200461375e-02
6.000000000000000000e+01 2.527542325543250978e+00 1.860656005370902311e-01
9.000000000000000000e+01 2.524675457108796373e+00 1.131819694213862804e-01
1.200000000000000000e+02 2.490576125296633414e+00 8.405077097105029260e-02
1.500000000000000000e+02 2.131592039424362373e+00 1.928883690379929183e-01
1.800000000000000000e+02 2.123553065090036274e+00 1.855035251607924929e-01
2.100000000000000000e+02 2.522438773317867255e+00 6.586340527459245975e-02
2.400000000000000000e+02 2.503265703982544554e+00 5.255084826763725681e-02
2.700000000000000000e+02 2.479286454199582046e+00 7.077535295215907352e-02
3.000000000000000000e+02 2.492990886855547483e+00 5.391786047577375868e-02
3.300000000000000000e+02 2.489516302259222602e+00 4.993430494100768724e-02
3.600000000000000000e+02 2.513639410269090213e+00 4.454272135017368212e-02
3.900000000000000000e+02 2.500164731203729396e+00 3.894267155227916499e-02
4.200000000000000000e+02 2.514127152166463652e+00 4.127960590448269407e-02
4.500000000000000000e+02 2.537634870386068275e+00 4.113622787902097150e-02
4.800000000000000000e+02 2.529080876460413574e+00 4.101955680310889057e-02
5.100000000000000000e+02 2.529394022963421751e+00 3.805576786482998269e-02
5.400000000000000000e+02 2.530999300176865585e+00 3.707729311454853460e-02
5.700000000000000000e+02 2.530393267146274106e+00 3.479184616644136196e-02
6.000000000000000000e+02 2.517642139832010351e+00 3.738028493364515398e-02
6.300000000000000000e+02 2.511191626652831133e+00 3.583373093697135581e-02
6.600000000000000000e+02 2.508047180144480137e+00 3.411604735353236661e-02
6.900000000000000000e+02 2.506168858077978179e+00 3.314256488012542329e-02
7.200000000000000000e+02 2.499495437361510586e+00 3.147100899694595805e-02
7.500000000000000000e+02 2.499681515801966292e+00 2.650398815885198975e-02
7.800000000000000000e+02 2.503385861986924255e+00 2.590263670110538874e-02
8.100000000000000000e+02 2.509167438224034985e+00 2.759378619062496235e-02
8.400000000000000000e+02 2.518098870336916040e+00 2.615010946320102045e-02
8.700000000000000000e+02 2.520768683327134330e+00 2.585142263493761181e-02
9.000000000000000000e+02 2.525254674352397366e+00 2.566744421021937075e-02
9.300000000000000000e+02 2.523229273097840064e+00 2.463172343021597863e-02
9.600000000000000000e+02 2.520432841420613190e+00 2.489710330124989338e-02
9.900000000000000000e+02 2.520932762554912276e+00 2.587240785720750641e-02
1.020000000000000000e+03 2.514903336000896328e+00 2.654931672759392597e-02
1.050000000000000000e+03 2.508219373749005054e+00 2.532071202588618425e-02
1.080000000000000000e+03 2.508874430387767251e+00 2.416190919737567014e-02
1.110000000000000000e+03 2.509263583512149953e+00 2.234443769754860393e-02
1.140000000000000000e+03 2.504400921900135302e+00 2.171405054829115416e-02
1.170000000000000000e+03 2.501334617315798869e+00 2.097537810238264688e-02
1.200000000000000000e+03 2.501571898295595453e+00 2.119753976657299047e-02
1.230000000000000000e+03 2.503619381564881063e+00 2.206867228356508212e-02
1.260000000000000000e+03 2.505011664095251334e+00 2.150137714108947551e-02
1.290000000000000000e+03 2.510595618583304489e+00 2.194199435496465081e-02
1.320000000000000000e+03 2.517142857450020532e+00 2.170315135028592565e-02
1.350000000000000000e+03 2.515084280201611122e+00 2.046488717336644031e-02
1.380000000000000000e+03 2.511292539762211007e+00 2.023397039651575122e-02
1.410000000000000000e+03 2.512853442835584428e+00 1.941966484664780709e-02
1.440000000000000000e+03 2.509014176654781991e+00 1.869664960527396211e-02
1.470000000000000000e+03 2.505553299983544591e+00 1.742991039822368651e-02
1.500000000000000000e+03 2.503194220541977266e+00 1.730700031594943622e-02
1.530000000000000000e+03 2.499372892334418950e+00 1.731237400174553270e-02
1.560000000000000000e+03 2.500960659798377339e+00 1.773750472944855827e-02
1.590000000000000000e+03 2.503610342456302540e+00 1.794940314118728675e-02
1.620000000000000000e+03 2.503613635199117837e+00 1.816331959818413139e-02
1.650000000000000000e+03 2.504103495882949559e+00 1.749093334804557517e-02
1.680000000000000000e+03 2.503635688251289348e+00 1.701629808416631542e-02
1.710000000000000000e+03 2.503707503523812328e+00 1.711278758639122113e-02
1.740000000000000000e+03 2.506840841550146415e+00 1.842113343479828691e-02
1.770000000000000000e+03 2.506521928468871341e+00 1.815215260325376070e-02
1.800000000000000000e+03 2.507264217542947371e+00 1.879994168251420891e-02
1.830000000000000000e+03 2.511239295341864519e+00 1.842770302464571616e-02
1.860000000000000000e+03 2.513459988993061778e+00 1.790006544582279854e-02
1.890000000000000000e+03 2.515893417011155542e+00 1.792985653100893570e-02
1.920000000000000000e+03 2.515216206916941477e+00 1.684347772464963103e-02
1.950000000000000000e+03 2.510095567868431132e+00 1.639444221686303660e-02
1.980000000000000000e+03 2.508307564735206441e+00 1.659204845397300662e-02
2.010000000000000000e+03 2.511306923318546769e+00 1.744593938119587059e-02
2.040000000000000000e+03 2.512420527165213802e+00 1.661620248653052773e-02
2.070000000000000000e+03 2.510380753121048247e+00 1.680554632861844255e-02
2.100000000000000000e+03 2.509353059098023753e+00 1.660610568679864174e-02
2.130000000000000000e+03 2.509196723379328198e+00 1.693864880645909454e-02
2.160000000000000000e+03 2.508488535455887458e+00 1.620810637758044945e-02
2.190000000000000000e+03 2.507740713034347646e+00 1.585050401091187347e-02
2.220000000000000000e+03 2.508440320833966286e+00 1.566806177666110050e-02
2.250000000000000000e+03 2.504791668180415876e+00 1.587321697067388751e-02
2.280000000000000000e+03 2.504339406298733195e+00 1.531987349246639353e-02
2.310000000000000000e+03 2.504238070939388106e+00 1.432999533569958434e-02
2.340000000000000000e+03 2.503632002154852376e+00 1.413225823653921874e-02
2.370000000000000000e+03 2.505050202172097507e+00 1.386970158976173588e-02
2.400000000000000000e+03 2.505952614188346583e+00 1.421169216784462334e-02
2.430000000000000000e+03 2.506465240717052900e+00 1.331920662926411834e-02
2.460000000000000000e+03 2.504881144965172890e+00 1.296329585978436665e-02
2.490000000000000000e+03 2.508085452144865890e+00 1.329824458863466605e-02
2.520000000000000000e+03 2.509694256761631159e+00 1.349800682843148303e-02
2.550000000000000000e+03 2.509463323449589112e+00 1.353021417162949408e-02
2.580000000000000000e+03 2.510092758031058580e+00 1.263490095753976548e-02
2.610000000000000000e+03 2.510605565115611171e+00 1.363910932067828596e-02
2.640000000000000000e+03 2.510198906427838050e+00 1.277030349422714553e-02
2.670000000000000000e+03 2.509230658442466400e+00 1.248744355478284204e-02
2.700000000000000000e+03 2.509927568830197853e+00 1.292491189644407942e-02
2.730000000000000000e+03 2.509651512893738445e+00 1.336202727660637697e-02
2.760000000000000000e+03 2.508828159689100890e+00 1.299932699308007159e-02
2.790000000000000000e+03 2.508559794179899605e+00 1.254429058758240595e-02
2.820000000000000000e+03 2.509404691367016493e+00 1.228291392717193592e-02
2.850000000000000000e+03 2.506374381327427958e+00 1.233122829049245958e-02
2.880000000000000000e+03 2.506550340301323399e+00 1.243034993022336734e-02
2.910000000000000000e+03 2.507185033613062330e+00 1.232422509160653254e-02
2.940000000000000000e+03 2.507352015439033632e+00 1.280969251595559348e-02
2.970000000000000000e+03 2.508831792344844214e+00 1.275315477523916198e-02
3.000000000000000000e+03 2.506636972820539988e+00 1.306601576928668323e-02
3.030000000000000000e+03 2.506798210464631804e+00 1.279430912509769806e-02
3.060000000000000000e+03 2.509663135168469950e+00 1.248596002370468486e-02
3.090000000000000000e+03 2.510982850665986366e+00 1.212088474514749076e-02
3.120000000000000000e+03 2.510188336605539305e+00 1.219103559401421046e-02
3.150000000000000000e+03 2.510335929561255064e+00 1.195925893379323063e-02
3.180000000000000000e+03 2.509313205175387473e+00 1.199391120775369392e-02
3.210000000000000000e+03 2.511160651557328816e+00 1.187705278058181005e-02
3.240000000000000000e+03 2.509159985710923024e+00 1.177195371658426928e-02
3.270000000000000000e+03 2.508684970673945802e+00 1.138085977484848237e-02
3.300000000000000000e+03 2.508560035426152801e+00 1.119727780673632905e-02
3.330000000000000000e+03 2.510386488431296304e+00 1.091399310838417867e-02
3.360000000000000000e+03 2.510998564904416419e+00 1.059735276013334081e-02
3.390000000000000000e+03 2.512308907085960996e+00 1.041036091600951174e-02
3.420000000000000000e+03 2.511350326416936785e+00 1.041338098413036560e-02
3.450000000000000000e+03 2.512462601972734078e+00 1.024957429406527475e-02
3.480000000000000000e+03 2.511873473130105339e+00 9.917837414995722342e-03
3.510000000000000000e+03 2.510359082631781646e+00 9.524153851385675981e-03
3.540000000000000000e+03 2.509297460552509129e+00 9.194935860120715537e-03
3.570000000000000000e+03 2.508603623692976736e+00 8.935755306529404376e-03
3.600000000000000000e+03 2.509813083065938866e+00 9.028774832134090628e-03
3.630000000000000000e+03 2.509576241532672114e+00 9.093512612278920049e-03
3.660000000000000000e+03 2.509155311299830160e+00 9.184682355099027876e-03
3.690000000000000000e+03 2.509818982335091597e+00 9.053118550955984584e-03
3.720000000000000000e+03 2.509651449218260666e+00 8.917529057297269787e-03
3.750000000000000000e+03 2.510277494996499215e+00 9.231384419320816381e-03
3.780000000000000000e+03 2.513074290776127206e+00 9.397884596377362870e-03
3.810000000000000000e+03 2.513542743967280391e+00 9.850407697075888591e-03
3.840000000000000000e+03 2.515175528106922354e+00 1.000452813200730130e-02
3.870000000000000000e+03 2.515603450247552164e+00 1.014139415115402308e-02
3.900000000000000000e+03 2.514232466814394051e+00 1.029082139837218628e-02
3.930000000000000000e+03 2.514788547915818739e+00 1.022230001183638617e-02
3.960000000000000000e+03 2.515294806996481558e+00 1.024921243395670277e-02
3.990000000000000000e+03 2.516720960535386631e+00 1.038029927390935608e-02
4.020000000000000000e+03 2.517135431329306616e+00 1.022822214423108229e-02
4.050000000000000000e+03 2.516345975849095140e+00 9.997472058852060681e-03
4.080000000000000000e+03 2.515084127895164556e+00 1.000361678505072571e-02
4.110000000000000000e+03 2.516440378107900777e+00 9.716927925525154983e-03
4.140000000000000000e+03 2.516631611494251519e+00 9.803362475476999280e-03
4.170000000000000000e+03 2.515630293001195561e+00 9.928966949607152467e-03
4.200000000000000000e+03 2.515219683964925679e+00 1.001633052788458364e-02
4.230000000000000000e+03 2.516058568060937972e+00 1.007873746214860144e-02
4.260000000000000000e+03 2.515293673751027637e+00 1.025616019403899522e-02
4.290000000000000000e+03 2.514925120392626390e+00 1.023325073120915502e-02
4.320000000000000000e+03 2.515773470092786734e+00 9.984222695103612752e-03
4.350000000000000000e+03 2.517327018994505838e+00 1.001414436554191878e-02
4.380000000000000000e+03 2.517495978000428014e+00 9.605117088740774967e-03
4.410000000000000000e+03 2.515012443418989996e+00 9.851780019643858674e-03
4.440000000000000000e+03 2.515209128232772429e+00 9.906856428756589603e-03
4.470000000000000000e+03 2.516581945973952905e+00 9.610148188602708752e-03
4.500000000000000000e+03 2.518340705446394434e+00 9.677749071213215259e-03
4.530000000000000000e+03 2.517339278322951568e+00 9.742845387813834843e-03
4.560000000000000000e+03 2.515817117566713446e+00 9.362367279981898688e-03
4.590000000000000000e+03 2.515327305249862366e+00 9.602554000309706378e-03
4.620000000000000000e+03 2.515516892745104371e+00 9.823016897852424739e-03
4.650000000000000000e+03 2.517022710178303146e+00 9.874096346002182376e-03
4.680000000000000000e+03 2.517004005582375470e+00 9.558968220644824612e-03
4.710000000000000000e+03 2.515630854369788505e+00 9.455462875782767035e-03
4.740000000000000000e+03 2.515803635834414020e+00 9.254369743461105316e-03
4.770000000000000000e+03 2.516108744289629495e+00 9.167263939849259330e-03
4.800000000000000000e+03 2.516144778101396806e+00 9.197193210169273686e-03
4.830000000000000000e+03 2.515860769769151961e+00 9.115814745346359146e-03
4.860000000000000000e+03 2.516312395710527117e+00 8.943411014619592064e-03
4.890000000000000000e+03 2.518043487382450429e+00 8.479926140181292399e-03
4.920000000000000000e+03 2.517427109571544808e+00 8.821928860801317093e-03
4.950000000000000000e+03 2.516407820959948971e+00 8.857773989155562355e-03
4.980000000000000000e+03 2.517091690098894219e+00 8.930057800149144784e-03
5.010000000000000000e+03 2.518175343014321665e+00 9.009281164571272468e-03
5.040000000000000000e+03 2.518841323020565071e+00 9.305821604722574678e-03
5.070000000000000000e+03 2.518538184550293213e+00 9.388285856165877463e-03
5.100000000000000000e+03 2.520268955015171120e+00 9.310199706104388406e-03
5.130000000000000000e+03 2.519491847328145351e+00 9.351644226723972164e-03
