# # n, sigma
3.000000000000000000e+01 2.263742677220208499e+00 4.947634861732749800e-02
6.000000000000000000e+01 2.351089895232166160e+00 5.410463438872336467e-02
9.000000000000000000e+01 2.352165891474883086e+00 4.785012551667924136e-02
1.200000000000000000e+02 2.362932121566002852e+00 6.181106169041244991e-02
1.500000000000000000e+02 2.521891712580592415e+00 5.793171510249253697e-02
1.800000000000000000e+02 2.524246908168902070e+00 5.648283150466672231e-02
2.100000000000000000e+02 2.531084779131920204e+00 4.974277141902175986e-02
2.400000000000000000e+02 2.526843769690259922e+00 4.412796889772974823e-02
2.700000000000000000e+02 2.522189452888677241e+00 4.417693568270656540e-02
3.000000000000000000e+02 2.512041135696771121e+00 3.981532118265521114e-02
3.300000000000000000e+02 2.520142546714259080e+00 3.836483146978255515e-02
3.600000000000000000e+02 2.520234792654510780e+00 3.721212250741910005e-02
3.900000000000000000e+02 2.528760952080427504e+00 3.451209147645460662e-02
4.200000000000000000e+02 2.525092867753778947e+00 2.970737017058048754e-02
4.500000000000000000e+02 2.521353374670471048e+00 3.181657626041046322e-02
4.800000000000000000e+02 2.520172207965091449e+00 3.132580439265830741e-02
5.100000000000000000e+02 2.518680659211082862e+00 3.137336151341613838e-02
5.400000000000000000e+02 2.515929688566384659e+00 2.763524827292242192e-02
5.700000000000000000e+02 2.519000221656417349e+00 2.923017086529803785e-02
6.000000000000000000e+02 2.516868185161076354e+00 2.885851701953907888e-02
6.300000000000000000e+02 2.519403301669400186e+00 2.876023864701519189e-02
6.600000000000000000e+02 2.529204353721016485e+00 3.016076085712027233e-02
6.900000000000000000e+02 2.528632456208137480e+00 2.791959864952097553e-02
7.200000000000000000e+02 2.530235887047577847e+00 3.007212976901377927e-02
7.500000000000000000e+02 2.530813478731584354e+00 3.138033142154108418e-02
7.800000000000000000e+02 2.532972527259237605e+00 3.301013804379402533e-02
8.100000000000000000e+02 2.532081126758260581e+00 3.386616694886254025e-02
8.400000000000000000e+02 2.535073483576970599e+00 3.436812735704256744e-02
8.700000000000000000e+02 2.535777167753754835e+00 3.594957545553945089e-02
9.000000000000000000e+02 2.536815960622435639e+00 3.684312966987086241e-02
9.300000000000000000e+02 2.533938366140561449e+00 3.572319995803040910e-02
9.600000000000000000e+02 2.532129994737066347e+00 3.435693886964826665e-02
9.900000000000000000e+02 2.534546262231867519e+00 3.498967865553842538e-02
1.020000000000000000e+03 2.538927089061402409e+00 3.564021910719742531e-02
1.050000000000000000e+03 2.536690373912404706e+00 3.733221409301954591e-02
1.080000000000000000e+03 2.533911780239511469e+00 3.445587262683975915e-02
1.110000000000000000e+03 2.532430137100175838e+00 3.288801883108725954e-02
1.140000000000000000e+03 2.531255333982261213e+00 3.232206665150582497e-02
1.170000000000000000e+03 2.528480738022588881e+00 3.081568328534815479e-02
1.200000000000000000e+03 2.527175190050721554e+00 3.132026419381708782e-02
1.230000000000000000e+03 2.526196578844738472e+00 3.041279121395859542e-02
1.260000000000000000e+03 2.525591187449420794e+00 3.120142799946900442e-02
1.290000000000000000e+03 2.524085556747009296e+00 3.022617469609989449e-02
1.320000000000000000e+03 2.525163548219595544e+00 2.977563960821347569e-02
1.350000000000000000e+03 2.524681202767592669e+00 2.962227971608402677e-02
1.380000000000000000e+03 2.521278701270574185e+00 3.014836213159918440e-02
1.410000000000000000e+03 2.519352614899841747e+00 2.881562543485088890e-02
1.440000000000000000e+03 2.515580699058237002e+00 2.806605918662824495e-02
1.470000000000000000e+03 2.515572275515509215e+00 2.820905744713396793e-02
1.500000000000000000e+03 2.515769103476484858e+00 2.743837464161725734e-02
1.530000000000000000e+03 2.517791330324117727e+00 2.761927236221599358e-02
1.560000000000000000e+03 2.516881804907260545e+00 2.735514655253382110e-02
1.590000000000000000e+03 2.516938709351553616e+00 2.835434679646307160e-02
1.620000000000000000e+03 2.513815030718887567e+00 2.766027254788668011e-02
1.650000000000000000e+03 2.515888413722340733e+00 2.761144896079981842e-02
1.680000000000000000e+03 2.516256051409600403e+00 2.756770007052792085e-02
1.710000000000000000e+03 2.517985414603427063e+00 2.673239622365462115e-02
1.740000000000000000e+03 2.519976141273710724e+00 2.717960284955818831e-02
1.770000000000000000e+03 2.516819352906570995e+00 2.570466241816141834e-02
1.800000000000000000e+03 2.514234147770440853e+00 2.520912493969417259e-02
1.830000000000000000e+03 2.511993208673097833e+00 2.409871133637030496e-02
1.860000000000000000e+03 2.509675751619965922e+00 2.309417233073794706e-02
1.890000000000000000e+03 2.509654251059118657e+00 2.361093166731106571e-02
1.920000000000000000e+03 2.509752535488559477e+00 2.358634851261013493e-02
1.950000000000000000e+03 2.510478048199472401e+00 2.304280347006809615e-02
1.980000000000000000e+03 2.512354215662978785e+00 2.283224626349607267e-02
2.010000000000000000e+03 2.512894340805194915e+00 2.270840526812322596e-02
2.040000000000000000e+03 2.513126471696158326e+00 2.398633659851484232e-02
2.070000000000000000e+03 2.511168055092038554e+00 2.342573393056150005e-02
2.100000000000000000e+03 2.510493268029849290e+00 2.378800014900739335e-02
2.130000000000000000e+03 2.510519087172103703e+00 2.390784844836095144e-02
2.160000000000000000e+03 2.509290446922856965e+00 2.380824613607567669e-02
2.190000000000000000e+03 2.510500362524429541e+00 2.350626809202042283e-02
2.220000000000000000e+03 2.511173710878697563e+00 2.311377770297768156e-02
2.250000000000000000e+03 2.514280276711627238e+00 2.305101036378800344e-02
2.280000000000000000e+03 2.515101406818194274e+00 2.278747139635006400e-02
2.310000000000000000e+03 2.517711421910330039e+00 2.153079984669188304e-02
2.340000000000000000e+03 2.517504359718681695e+00 2.071142610710816068e-02
2.370000000000000000e+03 2.519401684863991076e+00 2.038893339845466654e-02
2.400000000000000000e+03 2.518625096865884760e+00 2.034479150140948434e-02
2.430000000000000000e+03 2.519795323367547635e+00 2.042059810367092068e-02
2.460000000000000000e+03 2.519183067649716445e+00 2.008290022678357184e-02
2.490000000000000000e+03 2.519662638139542388e+00 2.081066074462927309e-02
2.520000000000000000e+03 2.519553462576982650e+00 2.075440896862477264e-02
2.550000000000000000e+03 2.517763460863229330e+00 2.057582659964790617e-02
2.580000000000000000e+03 2.517462343618075415e+00 2.049735024235165362e-02
2.610000000000000000e+03 2.516631209016112702e+00 2.071939498599184235e-02
2.640000000000000000e+03 2.516594368711505769e+00 2.028355702664194279e-02
2.670000000000000000e+03 2.517487537312784518e+00 2.032029747325967556e-02
2.700000000000000000e+03 2.518581268410834628e+00 2.000676194947714759e-02
2.730000000000000000e+03 2.517461301594265066e+00 1.937779077758378446e-02
2.760000000000000000e+03 2.518058507598155416e+00 1.904281376085116204e-02
2.790000000000000000e+03 2.518252301368673063e+00 1.902390467274948233e-02
2.820000000000000000e+03 2.517107118995384862e+00 1.881752330237429494e-02
2.850000000000000000e+03 2.516550980692006778e+00 1.907005053761770541e-02
2.880000000000000000e+03 2.518592925184516051e+00 1.932926538483064130e-02
2.910000000000000000e+03 2.518924568183956492e+00 1.906640187455719768e-02
2.940000000000000000e+03 2.518417561867897447e+00 1.943597923462011060e-02
2.970000000000000000e+03 2.517886327380852496e+00 1.937395816293699391e-02
3.000000000000000000e+03 2.516936585576144747e+00 1.983337612420826152e-02
3.030000000000000000e+03 2.516754642022887012e+00 2.007783920417928816e-02
3.060000000000000000e+03 2.514596768491494494e+00 1.979170737706137384e-02
3.090000000000000000e+03 2.515512787832428820e+00 1.986175125296057650e-02
3.120000000000000000e+03 2.515588035802544198e+00 1.953240959712464891e-02
3.150000000000000000e+03 2.514210415342691185e+00 1.977131863712500853e-02
3.180000000000000000e+03 2.512909331644364919e+00 2.015538249239798296e-02
3.210000000000000000e+03 2.513400803719976651e+00 2.000065433117506619e-02
3.240000000000000000e+03 2.513487278766218136e+00 2.011276004635703316e-02
3.270000000000000000e+03 2.515450416116185028e+00 2.015952027691784651e-02
3.300000000000000000e+03 2.514890685488846866e+00 2.000457378095578387e-02
3.330000000000000000e+03 2.514379759431920824e+00 1.971544601292346890e-02
3.360000000000000000e+03 2.515339501344814543e+00 1.930591152103636188e-02
3.390000000000000000e+03 2.514950277628380526e+00 1.922886387053425808e-02
3.420000000000000000e+03 2.516437434225589964e+00 1.898718889225673237e-02
3.450000000000000000e+03 2.515522753139701528e+00 1.943113942621519166e-02
3.480000000000000000e+03 2.516876883804235909e+00 1.952362815422226117e-02
3.510000000000000000e+03 2.517210318009300174e+00 1.953857796874174449e-02
3.540000000000000000e+03 2.518018891039323748e+00 1.888053166805379879e-02
3.570000000000000000e+03 2.515528304590401554e+00 1.884028322423831128e-02
3.600000000000000000e+03 2.515498316538537171e+00 1.856357987403680146e-02
3.630000000000000000e+03 2.515312681509644932e+00 1.869899042537725639e-02
3.660000000000000000e+03 2.515323360706705369e+00 1.861123281350795036e-02
3.690000000000000000e+03 2.513590925065317894e+00 1.848517373112815512e-02
3.720000000000000000e+03 2.515271112740518067e+00 1.881807885065884395e-02
3.750000000000000000e+03 2.516409571152883107e+00 1.824806268229617334e-02
3.780000000000000000e+03 2.517903087575003251e+00 1.828612992898998382e-02
3.810000000000000000e+03 2.517877336379044095e+00 1.864285272213540151e-02
3.840000000000000000e+03 2.516769205725524206e+00 1.842188477128110444e-02
3.870000000000000000e+03 2.516120376449243246e+00 1.836183156799920529e-02
3.900000000000000000e+03 2.515361938912389572e+00 1.812970014308009845e-02
3.930000000000000000e+03 2.517145688926547997e+00 1.807654716987168800e-02
3.960000000000000000e+03 2.516201193596600660e+00 1.801453623636673287e-02
3.990000000000000000e+03 2.514944597752474031e+00 1.773472599445745368e-02
4.020000000000000000e+03 2.514137234476785832e+00 1.767549396903940820e-02
4.050000000000000000e+03 2.513262772751116980e+00 1.762219252860232344e-02
4.080000000000000000e+03 2.512409187002140776e+00 1.717948474676122064e-02
4.110000000000000000e+03 2.513612773480658369e+00 1.715473931931581555e-02
4.140000000000000000e+03 2.514655752612446893e+00 1.704799349466550387e-02
4.170000000000000000e+03 2.514838747772585759e+00 1.692905248842508856e-02
4.200000000000000000e+03 2.514730563919298056e+00 1.667249530894483397e-02
4.230000000000000000e+03 2.515786508137004329e+00 1.618953215940477364e-02
4.260000000000000000e+03 2.514613025014091452e+00 1.588669373593990658e-02
4.290000000000000000e+03 2.514678664955797061e+00 1.585543972332962431e-02
4.320000000000000000e+03 2.514679957479681871e+00 1.589680271198653377e-02
4.350000000000000000e+03 2.515101393839437094e+00 1.613754972980986288e-02
4.380000000000000000e+03 2.516670693190231844e+00 1.612845834228403621e-02
