# # n, sigma
3.000000000000000000e+01 3.192013779530806783e+00 6.143678065651571318e-02
6.000000000000000000e+01 2.499783946982640614e+00 5.921419955500143578e-02
9.000000000000000000e+01 2.443318762531129895e+00 5.852881807790587254e-02
1.200000000000000000e+02 3.153995779993947313e+00 1.011565734785213749e-01
1.500000000000000000e+02 2.498984928639677250e+00 3.731059929211850285e-02
1.800000000000000000e+02 2.508038695008611541e+00 4.144944614373492070e-02
2.100000000000000000e+02 2.493985813651593997e+00 3.600292531206866070e-02
2.400000000000000000e+02 2.507469598492117591e+00 3.021760835599140299e-02
2.700000000000000000e+02 2.508957221885980360e+00 2.639186768382916978e-02
3.000000000000000000e+02 2.498530243375109983e+00 2.159199260494263500e-02
3.300000000000000000e+02 2.497128744463910976e+00 2.216247361470463292e-02
3.600000000000000000e+02 2.499423441863212414e+00 2.220169329717572651e-02
3.900000000000000000e+02 2.486489904143216023e+00 2.550086864370789894e-02
4.200000000000000000e+02 2.485045962736942560e+00 2.653353218485915432e-02
4.500000000000000000e+02 2.470276854331704630e+00 2.774513284317414383e-02
4.800000000000000000e+02 2.467399638835308995e+00 3.054230567169873706e-02
5.100000000000000000e+02 2.469429654617411707e+00 3.040238827563159288e-02
5.400000000000000000e+02 2.478619107397770360e+00 2.943740647632129767e-02
5.700000000000000000e+02 2.472639996855067412e+00 2.913561608446667978e-02
6.000000000000000000e+02 2.468552005379842207e+00 2.940149500090088325e-02
6.300000000000000000e+02 2.466249306345861925e+00 2.788427712031273098e-02
6.600000000000000000e+02 2.471889609628394879e+00 2.685165519767609976e-02
6.900000000000000000e+02 2.473335981207729350e+00 2.436525241705123426e-02
7.200000000000000000e+02 2.477993030136442343e+00 2.494492396519775584e-02
7.500000000000000000e+02 2.474701274976832899e+00 2.425211346853220137e-02
7.800000000000000000e+02 2.477910925521037200e+00 2.525795948939222810e-02
8.100000000000000000e+02 2.487390423689932462e+00 2.466702031091213415e-02
8.400000000000000000e+02 2.486499484303753782e+00 2.472776872823676669e-02
8.700000000000000000e+02 2.487737734435010228e+00 2.420689543185087708e-02
9.000000000000000000e+02 2.487775529884168613e+00 2.639580058213391797e-02
9.300000000000000000e+02 2.489303815537967424e+00 2.575094491566804270e-02
9.600000000000000000e+02 2.490651850974485715e+00 2.493452901996717763e-02
9.900000000000000000e+02 2.489767515859202973e+00 2.511981381781781819e-02
1.020000000000000000e+03 2.485949523276334894e+00 2.449661242163975877e-02
1.050000000000000000e+03 2.480651294254236028e+00 2.420257631090715761e-02
1.080000000000000000e+03 2.478312939578656060e+00 2.212699433538722546e-02
1.110000000000000000e+03 2.479403534813543253e+00 2.238335098225076314e-02
1.140000000000000000e+03 2.475818587445137720e+00 2.165360951255291058e-02
1.170000000000000000e+03 2.471656035275173746e+00 2.206664226459843087e-02
1.200000000000000000e+03 2.471457032807389709e+00 2.265910906016867232e-02
1.230000000000000000e+03 2.470097171172802586e+00 2.237518532501492005e-02
1.260000000000000000e+03 2.472518689197786390e+00 2.242133677459163393e-02
1.290000000000000000e+03 2.472131217664462088e+00 2.201405918341631240e-02
1.320000000000000000e+03 2.472522568379126984e+00 2.015186981677927203e-02
1.350000000000000000e+03 2.471829639972165538e+00 1.968565277235222871e-02
1.380000000000000000e+03 2.472402325536669832e+00 2.034076241966508228e-02
1.410000000000000000e+03 2.467897625957418128e+00 1.998425212461727926e-02
1.440000000000000000e+03 2.465053497097350110e+00 1.954168029808218965e-02
1.470000000000000000e+03 2.467064748779141947e+00 2.044013978407557483e-02
1.500000000000000000e+03 2.466343079906917257e+00 1.993314874882665816e-02
1.530000000000000000e+03 2.462771957269454859e+00 1.987970697604436038e-02
1.560000000000000000e+03 2.464697206558993159e+00 1.823559215931113212e-02
1.590000000000000000e+03 2.462034798020726889e+00 1.770955874839486369e-02
1.620000000000000000e+03 2.461566078482210873e+00 1.689253002892448369e-02
1.650000000000000000e+03 2.462855822029727193e+00 1.631416636423209734e-02
1.680000000000000000e+03 2.465367827418631030e+00 1.580237107539727084e-02
1.710000000000000000e+03 2.467668413248417014e+00 1.578894714142639252e-02
1.740000000000000000e+03 2.470775722033180966e+00 1.573543864541422296e-02
1.770000000000000000e+03 2.464971555682535342e+00 1.568151809494809645e-02
1.800000000000000000e+03 2.465858770532926236e+00 1.613837223555179487e-02
1.830000000000000000e+03 2.470381451670278672e+00 1.623630569899791806e-02
1.860000000000000000e+03 2.469659806080367392e+00 1.657976686748231787e-02
1.890000000000000000e+03 2.471519570051797565e+00 1.590627142161457966e-02
1.920000000000000000e+03 2.473597789146025239e+00 1.601481070003836493e-02
1.950000000000000000e+03 2.473918558418218172e+00 1.520086829133434833e-02
1.980000000000000000e+03 2.477219720035041650e+00 1.527346232516103332e-02
2.010000000000000000e+03 2.477135399103878033e+00 1.529119681305792476e-02
2.040000000000000000e+03 2.477197482423661778e+00 1.485202356462166778e-02
2.070000000000000000e+03 2.482697388409414785e+00 1.483304481482371380e-02
2.100000000000000000e+03 2.479844490192472772e+00 1.421867079456167957e-02
2.130000000000000000e+03 2.479031804504821412e+00 1.433145854144616746e-02
2.160000000000000000e+03 2.479730090941196341e+00 1.422537285013417835e-02
