# # n, sigma
3.000000000000000000e+01 2.730657775692977740e+00 1.492605367082677215e-01
6.000000000000000000e+01 2.522623644614160110e+00 8.688621579325639388e-02
9.000000000000000000e+01 2.544939841382108270e+00 7.687932790177856579e-02
1.200000000000000000e+02 2.556338188633398012e+00 7.230574353582759628e-02
1.500000000000000000e+02 2.577613595098624089e+00 5.567517399143773194e-02
1.800000000000000000e+02 2.558478820397007247e+00 6.126627509082255285e-02
2.100000000000000000e+02 2.562813968968967515e+00 5.108058808681340685e-02
2.400000000000000000e+02 2.565781703861443663e+00 4.686466238200977241e-02
2.700000000000000000e+02 2.557090227280768069e+00 4.539235761182581347e-02
3.000000000000000000e+02 2.543278487685319167e+00 3.968288931178070439e-02
3.300000000000000000e+02 2.539230292941502931e+00 4.201068272244411900e-02
3.600000000000000000e+02 2.535861658489709569e+00 4.343135505302854471e-02
3.900000000000000000e+02 2.539429171389032458e+00 4.527388634566691800e-02
4.200000000000000000e+02 2.546716372921981719e+00 4.127718187323223265e-02
4.500000000000000000e+02 2.549313536373670086e+00 3.591782281558853623e-02
4.800000000000000000e+02 2.544217921305544028e+00 3.229933729305762419e-02
5.100000000000000000e+02 2.537719106079602938e+00 3.015632799075278550e-02
5.400000000000000000e+02 2.541226926973013001e+00 2.559422603948575611e-02
5.700000000000000000e+02 2.538713349435094191e+00 2.501947009760947110e-02
6.000000000000000000e+02 2.529400368439318925e+00 2.380714748879191739e-02
6.300000000000000000e+02 2.528245958943675653e+00 2.528148415074195701e-02
6.600000000000000000e+02 2.527827633966294396e+00 2.491093182778723186e-02
6.900000000000000000e+02 2.532322664210507668e+00 2.363417617691485756e-02
7.200000000000000000e+02 2.536945221893267988e+00 2.214775370916492042e-02
7.500000000000000000e+02 2.545651912117604443e+00 2.371804280743125548e-02
7.800000000000000000e+02 2.545568707026349742e+00 2.429485603692926876e-02
8.100000000000000000e+02 2.541597456597040949e+00 2.352205395499356796e-02
8.400000000000000000e+02 2.539876756578613115e+00 2.456378728330581643e-02
8.700000000000000000e+02 2.533706299724833855e+00 2.428098547447907207e-02
9.000000000000000000e+02 2.531693209173121684e+00 2.264927459024421164e-02
9.300000000000000000e+02 2.525403421482515398e+00 2.448659909137929080e-02
9.600000000000000000e+02 2.522673551536732894e+00 2.436524163560266007e-02
9.900000000000000000e+02 2.524008340178394150e+00 2.329968548571128770e-02
1.020000000000000000e+03 2.530247016467078947e+00 2.386380932195329707e-02
1.050000000000000000e+03 2.532532445211736594e+00 2.481518617557470704e-02
1.080000000000000000e+03 2.530471862741470179e+00 2.597217166426830925e-02
1.110000000000000000e+03 2.529167162649977652e+00 2.400207733830024559e-02
1.140000000000000000e+03 2.531991901192581995e+00 2.319160046029248093e-02
1.170000000000000000e+03 2.532974451820412476e+00 2.270698385424828672e-02
1.200000000000000000e+03 2.529798398882263211e+00 2.248925344954143257e-02
1.230000000000000000e+03 2.530011755888063263e+00 2.162630219708356130e-02
1.260000000000000000e+03 2.529905888673744219e+00 2.168509084017532229e-02
