# # n, sigma
3.000000000000000000e+01 3.105533396007122970e+00 1.403410574588689064e-01
6.000000000000000000e+01 3.876785858431901932e+00 4.017356412971648250e-01
9.000000000000000000e+01 2.451573865590483070e+00 8.095802449770450604e-02
1.200000000000000000e+02 2.442518931005467575e+00 7.799405234369455320e-02
1.500000000000000000e+02 2.460927410788022129e+00 7.015570678688903827e-02
1.800000000000000000e+02 2.492051869427634347e+00 5.032740083478889903e-02
2.100000000000000000e+02 2.503982961230283077e+00 4.392275943014124079e-02
2.400000000000000000e+02 2.510199719768499982e+00 4.211465974034378501e-02
2.700000000000000000e+02 2.507026753810639885e+00 4.683643631661893458e-02
3.000000000000000000e+02 2.499848675196206127e+00 4.836368553055941932e-02
3.300000000000000000e+02 2.493441740050775124e+00 4.110134746202491474e-02
3.600000000000000000e+02 2.496818834614857430e+00 3.943520022575564693e-02
3.900000000000000000e+02 2.511481927612897902e+00 4.431663582116202038e-02
4.200000000000000000e+02 2.513970597770458504e+00 3.882784468379069098e-02
4.500000000000000000e+02 2.512891512366996594e+00 3.585681294605010810e-02
4.800000000000000000e+02 2.515164137178561354e+00 3.327571582409832168e-02
5.100000000000000000e+02 2.520656425955049240e+00 3.183170804635533646e-02
5.400000000000000000e+02 2.521676581675411644e+00 2.934859147687924122e-02
5.700000000000000000e+02 2.509038713369605489e+00 2.847265685195062360e-02
6.000000000000000000e+02 2.510927665894939320e+00 2.683322385350835754e-02
6.300000000000000000e+02 2.511947157752521864e+00 2.724305684548476020e-02
6.600000000000000000e+02 2.510554352041196591e+00 2.728387669499521967e-02
6.900000000000000000e+02 2.506096569867245272e+00 2.497454320728098240e-02
7.200000000000000000e+02 2.507555770823003183e+00 2.479818229261729345e-02
7.500000000000000000e+02 2.507365224658433700e+00 2.687008721278975540e-02
7.800000000000000000e+02 2.506610841201526885e+00 2.583698210124523928e-02
8.100000000000000000e+02 2.506350673641221771e+00 2.638412308661190059e-02
8.400000000000000000e+02 2.503823984169877725e+00 2.652588210063107008e-02
8.700000000000000000e+02 2.505424472945243952e+00 2.572599684820028876e-02
9.000000000000000000e+02 2.508349222652720201e+00 2.414045816475696160e-02
9.300000000000000000e+02 2.513568379483819282e+00 2.439159897480561515e-02
9.600000000000000000e+02 2.516575326877629859e+00 2.362343442088292098e-02
9.900000000000000000e+02 2.520213835874319575e+00 2.380531726608624277e-02
1.020000000000000000e+03 2.521980431921006627e+00 2.251813244128254843e-02
1.050000000000000000e+03 2.520412318330591983e+00 2.262711633065784059e-02
1.080000000000000000e+03 2.520125751250530843e+00 2.311685953139185415e-02
1.110000000000000000e+03 2.519946344858814413e+00 2.292260272288400985e-02
1.140000000000000000e+03 2.522016720163799963e+00 2.285152030147454688e-02
1.170000000000000000e+03 2.521632822110904115e+00 2.227696940823533159e-02
1.200000000000000000e+03 2.522526336581647044e+00 2.440032860309492013e-02
1.230000000000000000e+03 2.523920534030097418e+00 2.488096055564415626e-02
1.260000000000000000e+03 2.524485755019104438e+00 2.569182257579187209e-02
1.290000000000000000e+03 2.530570885127059189e+00 2.546051570910071518e-02
1.320000000000000000e+03 2.525869653818332061e+00 2.633088672029000599e-02
1.350000000000000000e+03 2.523886259459283909e+00 2.617921814530533089e-02
1.380000000000000000e+03 2.524579701079688654e+00 2.387268263840708338e-02
1.410000000000000000e+03 2.522695079148350672e+00 2.407150435535291774e-02
1.440000000000000000e+03 2.523968015959770828e+00 2.218050907241305575e-02
1.470000000000000000e+03 2.526432344480315617e+00 2.071334513963796545e-02
1.500000000000000000e+03 2.525131096661783925e+00 2.089812813399794661e-02
1.530000000000000000e+03 2.523222933536186208e+00 1.998983095797803380e-02
1.560000000000000000e+03 2.525942667755107784e+00 2.070650000118795520e-02
1.590000000000000000e+03 2.526275962467500857e+00 1.978153045894841602e-02
1.620000000000000000e+03 2.527121987603207831e+00 1.983966747243114462e-02
1.650000000000000000e+03 2.525453624497970395e+00 1.921632398271767156e-02
1.680000000000000000e+03 2.525323215645293828e+00 1.983260591954643173e-02
1.710000000000000000e+03 2.525540313515670654e+00 1.986652567742518138e-02
1.740000000000000000e+03 2.524180974159469404e+00 2.013035034949021626e-02
1.770000000000000000e+03 2.524816612652901249e+00 1.941700902994230801e-02
1.800000000000000000e+03 2.527238488400703087e+00 1.856492875121879688e-02
1.830000000000000000e+03 2.525706871613679905e+00 1.889071970084158295e-02
1.860000000000000000e+03 2.524959079151409380e+00 1.894952103362464169e-02
1.890000000000000000e+03 2.524406344239006561e+00 1.828618784330519539e-02
1.920000000000000000e+03 2.522950434193498293e+00 1.830948050855926018e-02
1.950000000000000000e+03 2.526025333558714170e+00 1.732563534676194103e-02
1.980000000000000000e+03 2.526584538559948800e+00 1.640856413072657588e-02
2.010000000000000000e+03 2.525552221054327973e+00 1.518114816664117156e-02
2.040000000000000000e+03 2.520850817555596368e+00 1.455884027062886651e-02
2.070000000000000000e+03 2.522327136141192305e+00 1.370510023660072470e-02
2.100000000000000000e+03 2.520939502370271867e+00 1.348691930760270545e-02
2.130000000000000000e+03 2.519755966991297669e+00 1.329283046659830540e-02
2.160000000000000000e+03 2.520142292061946510e+00 1.307936071538828328e-02
2.190000000000000000e+03 2.517567344006731656e+00 1.373866675467566578e-02
2.220000000000000000e+03 2.516908149142136342e+00 1.395581191137186018e-02
2.250000000000000000e+03 2.515921007158827827e+00 1.309876923452302049e-02
