# # n, sigma
3.000000000000000000e+01 3.453020157207673524e+00 7.615877887812216862e-02
6.000000000000000000e+01 1.704501434431475726e+00 1.802583207298275869e-01
9.000000000000000000e+01 2.082336636978085576e+00 8.846242209506871568e-02
1.200000000000000000e+02 2.069359128010464843e+00 1.255031954900744373e-01
1.500000000000000000e+02 1.872013161431175909e+00 5.506209837151252451e-01
1.800000000000000000e+02 4.274310571930731939e+00 9.088761232040827587e-02
2.100000000000000000e+02 4.296154155272248865e+00 1.183877188352725623e-01
2.400000000000000000e+02 2.487604561125296598e+00 6.630590259741818426e-02
2.700000000000000000e+02 2.454077462937190202e+00 6.518857970127583945e-02
3.000000000000000000e+02 2.453751853209686473e+00 6.992851229049305839e-02
3.300000000000000000e+02 2.454476872728962977e+00 6.428063419194232631e-02
3.600000000000000000e+02 2.456776291764643627e+00 5.775712121695766865e-02
3.900000000000000000e+02 2.443750829463996688e+00 5.015115403312709469e-02
4.200000000000000000e+02 2.464785882219205693e+00 4.879289215306964467e-02
4.500000000000000000e+02 2.451984553784612775e+00 4.567536226679879546e-02
4.800000000000000000e+02 2.448780759997037926e+00 4.454393481012698663e-02
5.100000000000000000e+02 2.455515340031641625e+00 4.631663994826961533e-02
5.400000000000000000e+02 2.461939931339003795e+00 4.390214636514062907e-02
5.700000000000000000e+02 2.466771910079802232e+00 4.433932875838752369e-02
6.000000000000000000e+02 2.468898049252755023e+00 4.095148578481909440e-02
6.300000000000000000e+02 2.474535651944858028e+00 4.191795621801853305e-02
6.600000000000000000e+02 2.480982228439495785e+00 3.958559765254330426e-02
6.900000000000000000e+02 2.478986428002853071e+00 3.919488628215819781e-02
7.200000000000000000e+02 2.473941150900493824e+00 4.230356407943993563e-02
7.500000000000000000e+02 2.464905079241668684e+00 3.910032223401746498e-02
7.800000000000000000e+02 2.467927602781951890e+00 3.724726526930938891e-02
8.100000000000000000e+02 2.468288000935826343e+00 3.684407087974654604e-02
8.400000000000000000e+02 2.465741678284446792e+00 3.458471737314575828e-02
8.700000000000000000e+02 2.467428943254502460e+00 3.158935677776898016e-02
