# # n, sigma
3.000000000000000000e+01 4.089369482712684523e+00 5.862239574249198532e-02
6.000000000000000000e+01 4.101769577460824046e+00 9.921209627528361497e-02
9.000000000000000000e+01 2.546533293691180866e+00 1.689847003594844854e-01
1.200000000000000000e+02 2.549577284305814207e+00 9.924541061209159187e-02
1.500000000000000000e+02 2.533750277709735155e+00 9.944559285300290374e-02
1.800000000000000000e+02 2.519510977919228623e+00 9.323643412926568841e-02
2.100000000000000000e+02 2.554039264607648629e+00 8.131137436749558134e-02
2.400000000000000000e+02 2.537220402289990684e+00 8.059042886787828874e-02
2.700000000000000000e+02 2.548083506650251184e+00 7.973621773405832613e-02
3.000000000000000000e+02 2.536350706056353044e+00 7.294153918290846583e-02
3.300000000000000000e+02 2.526360472602095619e+00 5.490827544716900960e-02
3.600000000000000000e+02 2.517249828837833103e+00 4.871079391015319116e-02
3.900000000000000000e+02 2.522630948223224756e+00 4.652660524363757405e-02
4.200000000000000000e+02 2.508631620982459065e+00 4.034441134372955540e-02
4.500000000000000000e+02 2.513194111615854709e+00 4.322883878913991867e-02
4.800000000000000000e+02 2.520405426357882561e+00 4.399681822306501788e-02
5.100000000000000000e+02 2.522149769337580061e+00 3.819495873729543411e-02
5.400000000000000000e+02 2.521559805945472466e+00 3.738586527697553702e-02
5.700000000000000000e+02 2.535195519973556966e+00 3.588807116396625779e-02
6.000000000000000000e+02 2.539577339299674996e+00 3.400985253426665883e-02
6.300000000000000000e+02 2.539363737054285419e+00 3.663893976960538867e-02
6.600000000000000000e+02 2.532837977276563901e+00 3.454326713862442694e-02
6.900000000000000000e+02 2.542719405018742940e+00 3.409847612428286434e-02
7.200000000000000000e+02 2.536901284866293516e+00 3.307413827428953151e-02
7.500000000000000000e+02 2.532206927535646912e+00 3.000412291121485123e-02
7.800000000000000000e+02 2.536907141220352990e+00 2.798531539993025230e-02
8.100000000000000000e+02 2.538093944913196065e+00 2.928448312946098017e-02
8.400000000000000000e+02 2.531935834601338087e+00 3.015908989826569103e-02
8.700000000000000000e+02 2.528614018545245479e+00 2.933143391222587520e-02
9.000000000000000000e+02 2.532291210342353605e+00 2.796327143042025287e-02
9.300000000000000000e+02 2.528886146144394775e+00 2.602490113959262524e-02
9.600000000000000000e+02 2.527513808473877521e+00 2.486059750245387875e-02
9.900000000000000000e+02 2.529785472774550570e+00 2.525012431230073962e-02
1.020000000000000000e+03 2.526327434862107424e+00 2.627499854068795007e-02
1.050000000000000000e+03 2.527582824985727949e+00 2.589489829065153015e-02
1.080000000000000000e+03 2.531180289942039252e+00 2.619863731215687011e-02
1.110000000000000000e+03 2.533439136410828851e+00 2.747894037040997037e-02
1.140000000000000000e+03 2.529483622891725236e+00 2.645077961456815049e-02
1.170000000000000000e+03 2.538004729968809770e+00 2.485814060649033444e-02
1.200000000000000000e+03 2.532874829208043632e+00 2.430015282691631515e-02
1.230000000000000000e+03 2.533654568871607005e+00 2.375483992992273932e-02
1.260000000000000000e+03 2.536565103345532535e+00 2.302565583126795282e-02
1.290000000000000000e+03 2.532384697954414232e+00 2.369681789812520117e-02
1.320000000000000000e+03 2.536440606383850049e+00 2.315076351718432443e-02
1.350000000000000000e+03 2.535583058317196770e+00 2.291722800834387549e-02
1.380000000000000000e+03 2.535420662593039776e+00 2.287463635798473241e-02
1.410000000000000000e+03 2.533150618394799825e+00 2.237063479793213391e-02
1.440000000000000000e+03 2.531955510724182012e+00 2.242112868074635015e-02
1.470000000000000000e+03 2.532651161655529837e+00 2.137158164063034799e-02
1.500000000000000000e+03 2.532516252312396965e+00 2.140249059121947239e-02
1.530000000000000000e+03 2.530699287149754451e+00 2.054915010969775649e-02
1.560000000000000000e+03 2.526975623360031342e+00 2.038743371153444242e-02
1.590000000000000000e+03 2.524142444175804911e+00 2.122133923380075185e-02
1.620000000000000000e+03 2.519675544109494680e+00 2.047806866488346283e-02
1.650000000000000000e+03 2.517332896127343567e+00 2.174021083667876039e-02
1.680000000000000000e+03 2.519566758054254230e+00 2.118712565949064028e-02
1.710000000000000000e+03 2.519581834134309695e+00 2.102917736906998944e-02
1.740000000000000000e+03 2.519574492895212625e+00 2.166554488026212547e-02
1.770000000000000000e+03 2.521659138229267683e+00 2.200531562164516342e-02
1.800000000000000000e+03 2.521842869884247662e+00 2.257324354239329672e-02
1.830000000000000000e+03 2.527233542577609793e+00 2.247986145533426711e-02
1.860000000000000000e+03 2.526960552224681411e+00 2.236604462555777384e-02
1.890000000000000000e+03 2.529604105318154605e+00 2.320354184303681858e-02
1.920000000000000000e+03 2.528379860404361690e+00 2.329896175410082690e-02
1.950000000000000000e+03 2.534113703323124245e+00 2.301372681504526563e-02
1.980000000000000000e+03 2.531178230363886783e+00 2.216296470692008178e-02
2.010000000000000000e+03 2.533378524105549534e+00 2.146228833781406442e-02
2.040000000000000000e+03 2.535325938979872351e+00 2.169864070563287672e-02
2.070000000000000000e+03 2.534863602753922418e+00 2.155419187438357281e-02
2.100000000000000000e+03 2.536740476307035141e+00 2.150013594062420014e-02
2.130000000000000000e+03 2.534059365748026149e+00 2.077081248731905971e-02
2.160000000000000000e+03 2.533420161865371778e+00 2.022981243451792144e-02
2.190000000000000000e+03 2.534009232803426936e+00 1.983327445233736691e-02
2.220000000000000000e+03 2.531294239284307857e+00 1.968754436139009967e-02
2.250000000000000000e+03 2.530355415488577453e+00 1.890112048306002990e-02
2.280000000000000000e+03 2.529083208295304086e+00 1.930379469467071937e-02
2.310000000000000000e+03 2.531357148004990343e+00 1.872433204669633061e-02
2.340000000000000000e+03 2.531611579464235096e+00 1.858291279842737634e-02
2.370000000000000000e+03 2.531368419224160782e+00 1.711301298214305128e-02
2.400000000000000000e+03 2.531295579073288060e+00 1.674127996485832992e-02
2.430000000000000000e+03 2.532803682371696841e+00 1.611446175754645271e-02
2.460000000000000000e+03 2.530696394598906274e+00 1.608346065683256138e-02
2.490000000000000000e+03 2.528450465935365710e+00 1.701796326133463155e-02
2.520000000000000000e+03 2.529675763820908863e+00 1.721358264876587246e-02
2.550000000000000000e+03 2.530480656663065098e+00 1.639524522867244830e-02
2.580000000000000000e+03 2.532798295905974495e+00 1.640144097933225742e-02
2.610000000000000000e+03 2.532302292639393659e+00 1.635451061774860840e-02
2.640000000000000000e+03 2.533155790835761589e+00 1.584860877374520693e-02
2.670000000000000000e+03 2.534023955786609328e+00 1.576274016823922194e-02
2.700000000000000000e+03 2.535699487383389350e+00 1.545516078653050296e-02
2.730000000000000000e+03 2.535950883705933023e+00 1.490242085023123220e-02
2.760000000000000000e+03 2.536795848601905323e+00 1.475931703768958332e-02
2.790000000000000000e+03 2.536629747070469953e+00 1.485053932913632004e-02
2.820000000000000000e+03 2.538952077364815985e+00 1.440409814109926134e-02
2.850000000000000000e+03 2.539805293657792618e+00 1.377412452190344624e-02
2.880000000000000000e+03 2.540244024064919337e+00 1.410187324826250692e-02
2.910000000000000000e+03 2.541125378976683447e+00 1.380901735878638410e-02
2.940000000000000000e+03 2.542385030564664028e+00 1.343035235536692816e-02
2.970000000000000000e+03 2.542113806722603897e+00 1.317553705515669624e-02
3.000000000000000000e+03 2.542969818136466387e+00 1.261399465624872887e-02
3.030000000000000000e+03 2.541379349429553791e+00 1.279382266872342022e-02
3.060000000000000000e+03 2.539387785272416487e+00 1.283691411703135644e-02
3.090000000000000000e+03 2.539133474422514247e+00 1.316782515563672852e-02
3.120000000000000000e+03 2.538912666728910139e+00 1.338106470397843091e-02
3.150000000000000000e+03 2.538468855362456811e+00 1.349961764831511535e-02
3.180000000000000000e+03 2.538182519824613959e+00 1.325655039168346754e-02
3.210000000000000000e+03 2.537580738681807890e+00 1.328386889850921050e-02
3.240000000000000000e+03 2.536301434845895653e+00 1.357894403718713089e-02
3.270000000000000000e+03 2.537741064673584734e+00 1.351247365557970738e-02
3.300000000000000000e+03 2.537144743426984039e+00 1.313774815115858856e-02
3.330000000000000000e+03 2.538229550879814056e+00 1.314863075450450544e-02
3.360000000000000000e+03 2.540616005103335073e+00 1.322328649320668459e-02
3.390000000000000000e+03 2.539994965090912604e+00 1.324794959807154039e-02
3.420000000000000000e+03 2.540181334959843440e+00 1.274863442942484638e-02
3.450000000000000000e+03 2.538847032164712303e+00 1.283573060330492170e-02
3.480000000000000000e+03 2.539761140130542660e+00 1.292652510806229643e-02
3.510000000000000000e+03 2.539653415925551272e+00 1.317656992369531897e-02
3.540000000000000000e+03 2.538298389977807989e+00 1.288407603912735191e-02
3.570000000000000000e+03 2.537666626539726078e+00 1.260169639440480646e-02
3.600000000000000000e+03 2.535343106705692851e+00 1.233414514679150031e-02
3.630000000000000000e+03 2.534325781939119615e+00 1.231832983794445280e-02
3.660000000000000000e+03 2.532915601916935433e+00 1.229018033116787388e-02
3.690000000000000000e+03 2.531593833484838907e+00 1.225930402960692493e-02
3.720000000000000000e+03 2.531999032284721896e+00 1.258686565863854044e-02
3.750000000000000000e+03 2.532361518282749024e+00 1.244535612870351950e-02
3.780000000000000000e+03 2.534193496631214959e+00 1.220019208430541888e-02
3.810000000000000000e+03 2.532637702890995435e+00 1.205151357538838952e-02
3.840000000000000000e+03 2.534056094831538264e+00 1.188037163747021271e-02
3.870000000000000000e+03 2.534565639381854751e+00 1.142359467471631106e-02
3.900000000000000000e+03 2.534151900017237224e+00 1.114216597433047989e-02
3.930000000000000000e+03 2.532502506594050740e+00 1.136441424567500962e-02
3.960000000000000000e+03 2.532377963711185398e+00 1.150650376434902804e-02
3.990000000000000000e+03 2.532964981634171941e+00 1.142337096146528973e-02
4.020000000000000000e+03 2.531560850404607876e+00 1.158362824273019044e-02
4.050000000000000000e+03 2.529664161408168077e+00 1.105347891989056676e-02
4.080000000000000000e+03 2.530602031647335881e+00 1.104718604921638495e-02
4.110000000000000000e+03 2.530550607756871795e+00 1.107417390471945179e-02
4.140000000000000000e+03 2.530664225526694011e+00 1.131206209116961819e-02
4.170000000000000000e+03 2.532061318495822722e+00 1.094404148071142710e-02
4.200000000000000000e+03 2.530838333373616855e+00 1.113526343969937354e-02
4.230000000000000000e+03 2.530832440874116074e+00 1.088711570534504902e-02
4.260000000000000000e+03 2.528936542751657690e+00 1.128440257088225880e-02
