# # n, sigma
3.000000000000000000e+01 3.361523540590857451e+00 1.942316201947329735e-01
6.000000000000000000e+01 2.441154498777704074e+00 1.066958674582520472e-01
9.000000000000000000e+01 1.584875442178242944e+00 9.879065848963655694e-02
1.200000000000000000e+02 2.427697177299680931e+00 7.395794214144611745e-02
1.500000000000000000e+02 1.569301767823521931e+00 7.799792483755986494e-02
1.800000000000000000e+02 2.455954228474036771e+00 5.239227902045472812e-02
2.100000000000000000e+02 2.460949593318616291e+00 4.580148488784750033e-02
2.400000000000000000e+02 2.481437426228214171e+00 4.173551150543897137e-02
2.700000000000000000e+02 2.475857192389544714e+00 4.549478871641473438e-02
3.000000000000000000e+02 2.481797587509590564e+00 4.665735132986779249e-02
3.300000000000000000e+02 2.470146289238700277e+00 4.705139284330444455e-02
3.600000000000000000e+02 2.480481040641348667e+00 4.636011487570823597e-02
3.900000000000000000e+02 2.473338549732706060e+00 4.229987736989108266e-02
4.200000000000000000e+02 2.495401054501054539e+00 4.524716240018428898e-02
4.500000000000000000e+02 2.495895787917697284e+00 4.384327107698557380e-02
4.800000000000000000e+02 2.491025833091109032e+00 3.768924892448237418e-02
5.100000000000000000e+02 2.487820565040595788e+00 3.550518011708559546e-02
5.400000000000000000e+02 2.472788505904070622e+00 3.262093755154790720e-02
5.700000000000000000e+02 2.476246874173897439e+00 3.046582591888833541e-02
6.000000000000000000e+02 2.468693422060473264e+00 2.978354170134626250e-02
6.300000000000000000e+02 2.465398664392707051e+00 3.071037696083809762e-02
6.600000000000000000e+02 2.463438837036237228e+00 2.845812491245178211e-02
6.900000000000000000e+02 2.458071539943686545e+00 2.932721440087698514e-02
7.200000000000000000e+02 2.460747254656522109e+00 2.667690875455594121e-02
7.500000000000000000e+02 2.455158795329984045e+00 2.866862775413579409e-02
7.800000000000000000e+02 2.458477090700625922e+00 2.790597142748305753e-02
8.100000000000000000e+02 2.460712243754025419e+00 2.895213223803957958e-02
8.400000000000000000e+02 2.461896122777526230e+00 2.908460031880452309e-02
8.700000000000000000e+02 2.462056275367238367e+00 2.920092634385437758e-02
9.000000000000000000e+02 2.460928853373737901e+00 2.883506190095139546e-02
9.300000000000000000e+02 2.461866358618619355e+00 2.693403119768300255e-02
9.600000000000000000e+02 2.464625364013047104e+00 2.669389587296558744e-02
9.900000000000000000e+02 2.464126698254049064e+00 2.575292760849340334e-02
1.020000000000000000e+03 2.465979739627389922e+00 2.400095430346113959e-02
1.050000000000000000e+03 2.476491753508331062e+00 2.347848782166979398e-02
1.080000000000000000e+03 2.475747517114527785e+00 2.336937360979859934e-02
1.110000000000000000e+03 2.474437991751460508e+00 2.398571749956480634e-02
1.140000000000000000e+03 2.484593587831422035e+00 2.316148426128582932e-02
1.170000000000000000e+03 2.486321518043751233e+00 2.312117387568564039e-02
1.200000000000000000e+03 2.490015840316564866e+00 2.212625676638351260e-02
1.230000000000000000e+03 2.487676106218141836e+00 2.124480675549962963e-02
1.260000000000000000e+03 2.486304017507486641e+00 2.079140638442111486e-02
1.290000000000000000e+03 2.486791521495944401e+00 2.053182880162089663e-02
1.320000000000000000e+03 2.481057960033372201e+00 1.972641180949652462e-02
1.350000000000000000e+03 2.482085273097558442e+00 1.974263766031256195e-02
1.380000000000000000e+03 2.482245620869564906e+00 1.959586163478415147e-02
1.410000000000000000e+03 2.481228281950656367e+00 1.884745763821110698e-02
1.440000000000000000e+03 2.486808585087423751e+00 1.768764821815688865e-02
1.470000000000000000e+03 2.486362488691939099e+00 1.784129910628468388e-02
1.500000000000000000e+03 2.484666122257830789e+00 1.763471882767995991e-02
1.530000000000000000e+03 2.484747656690283524e+00 1.778524109845202109e-02
1.560000000000000000e+03 2.486810422306148460e+00 1.710446395289512075e-02
1.590000000000000000e+03 2.489300156734514324e+00 1.626354238336582755e-02
1.620000000000000000e+03 2.496134142609161000e+00 1.586233584263964380e-02
1.650000000000000000e+03 2.500990278929103194e+00 1.520291795798898137e-02
1.680000000000000000e+03 2.498623893992051315e+00 1.509563251282773633e-02
1.710000000000000000e+03 2.499798772699697746e+00 1.463228240983427408e-02
1.740000000000000000e+03 2.499393409153185086e+00 1.453297699918767831e-02
1.770000000000000000e+03 2.504302709520115577e+00 1.519754631519547663e-02
1.800000000000000000e+03 2.505815511564353670e+00 1.514012434036122491e-02
1.830000000000000000e+03 2.501730243420805966e+00 1.494090022240057020e-02
1.860000000000000000e+03 2.501747578709477171e+00 1.446901607435445956e-02
1.890000000000000000e+03 2.498286260056470365e+00 1.444423001183042787e-02
1.920000000000000000e+03 2.498368543902161676e+00 1.456512544306990016e-02
1.950000000000000000e+03 2.496869763518539287e+00 1.423123525723000646e-02
1.980000000000000000e+03 2.494258249383547010e+00 1.454447415460421479e-02
2.010000000000000000e+03 2.491831220172114225e+00 1.416053451196058917e-02
2.040000000000000000e+03 2.490688291995951875e+00 1.408200129434821792e-02
2.070000000000000000e+03 2.490818876471781351e+00 1.365217750254165904e-02
2.100000000000000000e+03 2.490557110983982803e+00 1.323347575955602547e-02
2.130000000000000000e+03 2.489382628667031749e+00 1.281371030101801853e-02
2.160000000000000000e+03 2.490392982178586401e+00 1.264123714427595191e-02
2.190000000000000000e+03 2.491336143707830963e+00 1.217905145571579820e-02
2.220000000000000000e+03 2.494231939142283583e+00 1.228155962639977325e-02
2.250000000000000000e+03 2.492819056735390504e+00 1.227923622198405854e-02
2.280000000000000000e+03 2.491622782052370422e+00 1.286207531808878507e-02
2.310000000000000000e+03 2.493474700733237182e+00 1.287752470153878670e-02
2.340000000000000000e+03 2.496599172340308037e+00 1.282795155753558777e-02
2.370000000000000000e+03 2.497275332457631780e+00 1.306378427048940187e-02
2.400000000000000000e+03 2.496793047160482892e+00 1.285390486264186873e-02
2.430000000000000000e+03 2.499145976407003200e+00 1.268328242492510090e-02
2.460000000000000000e+03 2.497531854528606488e+00 1.302358204109836139e-02
2.490000000000000000e+03 2.499440067485522388e+00 1.307095366147089169e-02
2.520000000000000000e+03 2.498345970112551218e+00 1.282984021429853065e-02
2.550000000000000000e+03 2.501129156088615524e+00 1.294156169604476075e-02
2.580000000000000000e+03 2.502767536440183349e+00 1.269189857488225645e-02
2.610000000000000000e+03 2.503585591850218783e+00 1.222671995434122111e-02
2.640000000000000000e+03 2.502652322419046449e+00 1.170314828880213674e-02
2.670000000000000000e+03 2.503709352351014772e+00 1.228215528906096733e-02
2.700000000000000000e+03 2.503831530205274269e+00 1.210890658781122765e-02
2.730000000000000000e+03 2.505289073614548556e+00 1.195571641035383416e-02
2.760000000000000000e+03 2.507160900415135618e+00 1.186242235097540593e-02
2.790000000000000000e+03 2.507363047816132173e+00 1.153670802204570002e-02
2.820000000000000000e+03 2.508422328734729145e+00 1.163712299602227482e-02
2.850000000000000000e+03 2.509151111703220138e+00 1.166756043263732050e-02
2.880000000000000000e+03 2.509686284370775677e+00 1.172872672480199455e-02
2.910000000000000000e+03 2.507809821321225208e+00 1.224574341345462808e-02
