# # n, sigma
3.000000000000000000e+01 2.733486052517673848e+00 1.132172896780928029e-01
6.000000000000000000e+01 2.546015919065529154e+00 9.879246113006133478e-02
9.000000000000000000e+01 2.565250819723007503e+00 5.825098196168475295e-02
1.200000000000000000e+02 2.602760627120209946e+00 5.363718505411544518e-02
1.500000000000000000e+02 2.573073901892090731e+00 6.023727471789171867e-02
1.800000000000000000e+02 2.589651382847508287e+00 5.228627658386179183e-02
2.100000000000000000e+02 2.589160865050617932e+00 5.705876562231770172e-02
2.400000000000000000e+02 2.587284378478616809e+00 4.720364748760968315e-02
2.700000000000000000e+02 2.561782468401721413e+00 6.025138619696894515e-02
3.000000000000000000e+02 2.541651905807411183e+00 6.260337134718928220e-02
3.300000000000000000e+02 2.514211908569905507e+00 5.833708896997930743e-02
3.600000000000000000e+02 2.517871450866442373e+00 4.994232349633015433e-02
3.900000000000000000e+02 2.515245216049760035e+00 4.233240880919273558e-02
4.200000000000000000e+02 2.517270759365463739e+00 3.508290710427426629e-02
4.500000000000000000e+02 2.504788680246577304e+00 3.275055784985917567e-02
4.800000000000000000e+02 2.506095666416919610e+00 3.200590399996371821e-02
5.100000000000000000e+02 2.498970405143565721e+00 3.189473915120757258e-02
5.400000000000000000e+02 2.502369195721247053e+00 3.455214828971579083e-02
5.700000000000000000e+02 2.496306839281820178e+00 3.516975979248022216e-02
6.000000000000000000e+02 2.479398495085357368e+00 3.242294038692367791e-02
6.300000000000000000e+02 2.479702742488858025e+00 2.983756607488952800e-02
6.600000000000000000e+02 2.478363306549475897e+00 3.038035571838109197e-02
6.900000000000000000e+02 2.483413794832159738e+00 2.920443317824536825e-02
7.200000000000000000e+02 2.481905248472733305e+00 2.862540412866228581e-02
7.500000000000000000e+02 2.480615470470972195e+00 2.919247761764051305e-02
7.800000000000000000e+02 2.488378793084998986e+00 2.927680289808329284e-02
8.100000000000000000e+02 2.483517215868676242e+00 2.874578812490497653e-02
8.400000000000000000e+02 2.493246919542041695e+00 2.919539856630888608e-02
8.700000000000000000e+02 2.486222295055423359e+00 2.917095792979087360e-02
9.000000000000000000e+02 2.482006234971156466e+00 2.755239246526990093e-02
9.300000000000000000e+02 2.483256017943531457e+00 2.716253045299878502e-02
9.600000000000000000e+02 2.489082302100922739e+00 2.780353759952813170e-02
9.900000000000000000e+02 2.486901807040934109e+00 2.608769565761556372e-02
1.020000000000000000e+03 2.488947882327323224e+00 2.445185509620920183e-02
1.050000000000000000e+03 2.487281846235819938e+00 2.384263637949554995e-02
1.080000000000000000e+03 2.492338619303589464e+00 2.409896141349630178e-02
1.110000000000000000e+03 2.495243811313817339e+00 2.466808337447200239e-02
1.140000000000000000e+03 2.495521297375785874e+00 2.500075665158887905e-02
1.170000000000000000e+03 2.488892991744324323e+00 2.408833112032985474e-02
1.200000000000000000e+03 2.491779089927333768e+00 2.308740733010797644e-02
1.230000000000000000e+03 2.502143223046708886e+00 2.439212308944481780e-02
1.260000000000000000e+03 2.511881903887447365e+00 2.410488344061132229e-02
1.290000000000000000e+03 2.506149746963601821e+00 2.228871726831527927e-02
1.320000000000000000e+03 2.519014853700862311e+00 2.223420336436724917e-02
1.350000000000000000e+03 2.523062688511502394e+00 2.157647454789661176e-02
1.380000000000000000e+03 2.525984958080791376e+00 2.054905076988022133e-02
1.410000000000000000e+03 2.524974605577265052e+00 2.067471286522960458e-02
1.440000000000000000e+03 2.521554357059709872e+00 2.086749680152898481e-02
1.470000000000000000e+03 2.523685816529367631e+00 1.956881933343782021e-02
1.500000000000000000e+03 2.525610217292711290e+00 2.044486406686688365e-02
1.530000000000000000e+03 2.526684628917713837e+00 1.998572218299137643e-02
1.560000000000000000e+03 2.522517111511833665e+00 1.943651086435254846e-02
1.590000000000000000e+03 2.518449485568410751e+00 1.843807722520890771e-02
1.620000000000000000e+03 2.515250445914060329e+00 1.793243860956213187e-02
1.650000000000000000e+03 2.511082136537861054e+00 1.772890331519252904e-02
1.680000000000000000e+03 2.511777014512774908e+00 1.764653769152886922e-02
1.710000000000000000e+03 2.512207385388965708e+00 1.831637295831175724e-02
1.740000000000000000e+03 2.510540428523385881e+00 1.920574698609724823e-02
1.770000000000000000e+03 2.509595554364165260e+00 1.910858234190308119e-02
1.800000000000000000e+03 2.512093613770618461e+00 1.831140762761409094e-02
1.830000000000000000e+03 2.509219651700226095e+00 1.815584017682910639e-02
1.860000000000000000e+03 2.511668119363272833e+00 1.772094916757703531e-02
1.890000000000000000e+03 2.508382357776441474e+00 1.712997255342102801e-02
1.920000000000000000e+03 2.513859938981513942e+00 1.776832529793348145e-02
1.950000000000000000e+03 2.513084816565691160e+00 1.800935775635702576e-02
1.980000000000000000e+03 2.512874226467228134e+00 1.750481206375899615e-02
2.010000000000000000e+03 2.515104548290190589e+00 1.740309997193787567e-02
2.040000000000000000e+03 2.516104119967200958e+00 1.722700822549865646e-02
2.070000000000000000e+03 2.516794548029591905e+00 1.706847727943635804e-02
2.100000000000000000e+03 2.514861104613188569e+00 1.640334959377544657e-02
2.130000000000000000e+03 2.511703379651263113e+00 1.597708254810307343e-02
2.160000000000000000e+03 2.513109799733924010e+00 1.599683462463611858e-02
2.190000000000000000e+03 2.515554142816748939e+00 1.589523158718506024e-02
2.220000000000000000e+03 2.516024609048084670e+00 1.645196967078333544e-02
2.250000000000000000e+03 2.510060517895546184e+00 1.657640672585428479e-02
2.280000000000000000e+03 2.509050074909319861e+00 1.579202463634699766e-02
2.310000000000000000e+03 2.512692755483741713e+00 1.496256266330256782e-02
2.340000000000000000e+03 2.513806073500175042e+00 1.427946382230733252e-02
2.370000000000000000e+03 2.514297645314170548e+00 1.443062651447385783e-02
2.400000000000000000e+03 2.514233062760986570e+00 1.434103695292022508e-02
2.430000000000000000e+03 2.512507913105795687e+00 1.383975664512604974e-02
2.460000000000000000e+03 2.510281877113603954e+00 1.355903692273996430e-02
2.490000000000000000e+03 2.511176617158067170e+00 1.348150215746454772e-02
2.520000000000000000e+03 2.510541990333422735e+00 1.363564717090986686e-02
2.550000000000000000e+03 2.506836989149347161e+00 1.400356075994393587e-02
2.580000000000000000e+03 2.507644157602789026e+00 1.446684452531456916e-02
2.610000000000000000e+03 2.504395725695234720e+00 1.457007833253957593e-02
2.640000000000000000e+03 2.504409856394958389e+00 1.479263642178209673e-02
2.670000000000000000e+03 2.505358290475533156e+00 1.445053007023789846e-02
2.700000000000000000e+03 2.505338034133908653e+00 1.469668853402836955e-02
2.730000000000000000e+03 2.503655643017839161e+00 1.434865041628871803e-02
2.760000000000000000e+03 2.504055865714196472e+00 1.396845511471065185e-02
2.790000000000000000e+03 2.505102382982009157e+00 1.424072548290895510e-02
2.820000000000000000e+03 2.502152725521829879e+00 1.462133956944306444e-02
2.850000000000000000e+03 2.499217976211449255e+00 1.451913387842835440e-02
2.880000000000000000e+03 2.500246626825827878e+00 1.434471607732983219e-02
2.910000000000000000e+03 2.498682012961412902e+00 1.371363712515313513e-02
2.940000000000000000e+03 2.496478504242350294e+00 1.318259914184071596e-02
2.970000000000000000e+03 2.496164893141349150e+00 1.330006860161612146e-02
3.000000000000000000e+03 2.496189279302459152e+00 1.341537782866810205e-02
3.030000000000000000e+03 2.496531395133260833e+00 1.331355553793290257e-02
3.060000000000000000e+03 2.497867180174480062e+00 1.324822294766308389e-02
3.090000000000000000e+03 2.498783003071305853e+00 1.343511079904312344e-02
3.120000000000000000e+03 2.500891290993001004e+00 1.377386982550628941e-02
3.150000000000000000e+03 2.498949555784647725e+00 1.383556075180346692e-02
3.180000000000000000e+03 2.500250814496087326e+00 1.362163044979657588e-02
3.210000000000000000e+03 2.496371241590611856e+00 1.312767674894224461e-02
3.240000000000000000e+03 2.498001869300114919e+00 1.334666610839712816e-02
3.270000000000000000e+03 2.498727004608367608e+00 1.340832342550032918e-02
3.300000000000000000e+03 2.499152908297569198e+00 1.356540126167462071e-02
3.330000000000000000e+03 2.497693791183656753e+00 1.370813717697581292e-02
3.360000000000000000e+03 2.497502825916845026e+00 1.344936023605268309e-02
3.390000000000000000e+03 2.499450391265656712e+00 1.350203808027364977e-02
3.420000000000000000e+03 2.498999723519905292e+00 1.323179217588030948e-02
3.450000000000000000e+03 2.499008450360427958e+00 1.303347728158354632e-02
3.480000000000000000e+03 2.498091170919728654e+00 1.325515395676656223e-02
3.510000000000000000e+03 2.497717463823759587e+00 1.297761379127489526e-02
3.540000000000000000e+03 2.498585384331518444e+00 1.270780809380253618e-02
3.570000000000000000e+03 2.499813578816615145e+00 1.285412059983409051e-02
3.600000000000000000e+03 2.500285620223911209e+00 1.318675011081919118e-02
3.630000000000000000e+03 2.500157727389810347e+00 1.335845693025837326e-02
3.660000000000000000e+03 2.500818313643388802e+00 1.331609398267177488e-02
3.690000000000000000e+03 2.501091316216780047e+00 1.293567229879351473e-02
3.720000000000000000e+03 2.501680737042331515e+00 1.296982571501920957e-02
3.750000000000000000e+03 2.503124213197662318e+00 1.290572494392388386e-02
3.780000000000000000e+03 2.503936962748343209e+00 1.287346499073293779e-02
3.810000000000000000e+03 2.503237183503241869e+00 1.224475112776218441e-02
3.840000000000000000e+03 2.500937356115568555e+00 1.222430154073016542e-02
3.870000000000000000e+03 2.501713874294296591e+00 1.220970876380259723e-02
3.900000000000000000e+03 2.501654459969226973e+00 1.187293696181318178e-02
3.930000000000000000e+03 2.500346492494399886e+00 1.243569912116872754e-02
3.960000000000000000e+03 2.500990608171771434e+00 1.252357374195356941e-02
3.990000000000000000e+03 2.501552790884072230e+00 1.233708249793046170e-02
4.020000000000000000e+03 2.500586458755640340e+00 1.168035297605925574e-02
4.050000000000000000e+03 2.501413796884814911e+00 1.170024600718363485e-02
4.080000000000000000e+03 2.502963052761375540e+00 1.167867741833215206e-02
4.110000000000000000e+03 2.501743677892485529e+00 1.191123216227516976e-02
4.140000000000000000e+03 2.501954196794577090e+00 1.205836972841400206e-02
4.170000000000000000e+03 2.502019244323268943e+00 1.179951927334563222e-02
4.200000000000000000e+03 2.501031874139624467e+00 1.150932969369425872e-02
4.230000000000000000e+03 2.500781085170168172e+00 1.143891518873072811e-02
4.260000000000000000e+03 2.502183576538060006e+00 1.128376561738389690e-02
4.290000000000000000e+03 2.502691110943521924e+00 1.136649987254868821e-02
4.320000000000000000e+03 2.501765580806264655e+00 1.140457320108342193e-02
4.350000000000000000e+03 2.502070815041068652e+00 1.171188280245327035e-02
4.380000000000000000e+03 2.502100662479303850e+00 1.174474833598517821e-02
4.410000000000000000e+03 2.500986539930789121e+00 1.152278807191989968e-02
4.440000000000000000e+03 2.501667772674941226e+00 1.137215796436827873e-02
4.470000000000000000e+03 2.501383642607383884e+00 1.140834311859414280e-02
4.500000000000000000e+03 2.501562165429069839e+00 1.110707763213507511e-02
4.530000000000000000e+03 2.500415372792987867e+00 1.074277695180930053e-02
4.560000000000000000e+03 2.501142467726322760e+00 1.039808345496008070e-02
4.590000000000000000e+03 2.502253975629127325e+00 1.033517090970323578e-02
4.620000000000000000e+03 2.502280271341351447e+00 1.005638216405599882e-02
4.650000000000000000e+03 2.503203314080687303e+00 9.824488294037623387e-03
4.680000000000000000e+03 2.502066501778159591e+00 9.973593750462811033e-03
4.710000000000000000e+03 2.502467409544380406e+00 1.025281743817960979e-02
4.740000000000000000e+03 2.503433781742594455e+00 1.021109529663059672e-02
4.770000000000000000e+03 2.504297759064785911e+00 1.054345996130977292e-02
4.800000000000000000e+03 2.504319921611809274e+00 1.020182063105483719e-02
